page 2	社評泰國應如何自處
page 3	英國注視遠東局勢將調艦隊至太平洋英澳陸軍勁旅已開緬甸增防
page 3	美再派要員來遠東策劃對日加緊制裁
page 3	美日敵對形勢已無妥協餘地日報如此觀察並對蘇恫嚇
page 3	日本輪船停止駛美
page 3	美議員喬治觀察尚不明
page 3	夏威夷大演習攻守情態逼真
page 3	宜昌東北激戰敵受重創潰退我軍乘勝尾隨追擊中
page 3	郭外長報告國際外交情勢軸心的崩潰先見於日本民主的勝利從遠東開始
page 3	晉豫前線捷報頻傳我軍陸續渡過黃河
page 3	澳外長再發表聲明嚴厲限制對日貿易
page 3	廣州灣敵撤退回艦赤坎遂溪安謐如恆
page 3	故態複萌日排外運動趨劇烈華北英僑同遭虐待
page 3	傳黑龍江畔蘇日曾激戰
page 3	敵退伍海軍官准許再入軍籍
page 3	敵機襲湘竄入衡陽投彈並飛鄂桂窺察
page 3	美國日絲市場我可取而代之
page 4	德軍已呈頹勢士氣不振進攻乏力基輔前線蘇展開反攻
page 4	蘇軍敵後轉進切斷德軍聯絡
page 4	德機襲莫斯科大部仍被阻截
page 4	長敗軍抵前線自稱進退敏捷
page 4	羅斯福總統乘艦出海巡弋遨遊紐英倫沿岸
page 4	柏林被猛襲吐　如火山漢堡亦受重大損害英空軍實力增強之明證
page 4	地中海英潛艇擊中義巡艦連中魚雷雨枚料已受傷義海岸一英哩內英潛艇活躍
page 4	蘇聯空軍的質與量二
page 4	美煤油巨子台維斯逝世
page 4	印貴族院常務委會會議討論戰局及政治問題
page 4	中東英空軍猛炸克裏特西西裏機場亦被轟炸德機襲北非英艦不逞
page 4	戈林被下獄德人亦不否認
page 4	秘魯取消德公使特權
page 4	豫田賦管理處彭若之兼處長
page 4	星洲僑胞電蔣委長請嚴令十八集團軍維持軍紀團結抗戰
page 4	霍金斯已返抵倫敦勾留莫斯科凡四日
page 4	粵敵調動忙市況蕭條人心浮動
page 4	教部積極推進全國電化教育
page 4	英艦隊將東來
page 4	巴黎德國報紙不斷攻擊維希並指里海干涉法內玫
page 4	佛教宣傳隊由緬返滇緬對敵暴行深惡痛絕
page 5	粵計劃策動僑商投資建設韶關新市區工務局開劃界會議積極進行各部建築將仿照園林都市式
page 5	樂西路上的處女地
page 5	西江敵軍空虛我軍部署反攻江會方面仍在我控制中
page 5	敵機騷擾南路各縣防城陽江均遭轟炸
page 5	美英凍結資金對中日的利害觀綜合幾位金融家的意見
page 5	粵農田水利三年計劃三千萬貸款行將簽約
page 5	西江駐軍當局推動荒山造林擬於年內遍植松杉桐木積極疏濬河道修葺基圍
page 5	粵貪污員吏又有多人被扣
page 5	潮州兵燹天災哀鴻遍野旅韶同鄉會電請振濟
page 5	澳門米潮當局發售公米米商暗中作梗
page 5	粵省六個月來財政狀況良好收支不但相抵尚有盈餘專稅營稅收入占最大宗
page 5	贛省測量全省水道贛南各縣業已勘畢
page 6	日本貨九萬噸以上被迫停止運來港大部貨物已運粵澳傾銷日領自承商務打擊重大
page 6	香港大學教授許地山昨逝世今日正午入殮三時行告別禮燕大港大同學參加追悼
page 6	我勸告募戰債港准貼標語我當局嘉勉銅鐵商會
page 6	周至柔新函嘉勉港模型飛機運動模型飛機協會展覽比賽報名定於本月十日截止
page 6	深水埔欽州街巴士貨車相撞巴士欲閃避駛入人家屋內女子兩人被輾傷
page 6	海明威眼中香港外貌富翁多美女多
page 6	繳保登陸辦法昨日撤銷澳輪來港無證禁乘搭
page 6	八一三獻金運動商會主席負責領導舉行僑團學校紛紛籌備響應
page 6	特務警察將分批受訓練出巡不配武器
page 6	港自殺案數字驚人一年內竟達千餘宗昨日自殺四宗遺屍四具
page 6	風燈昨晚除下颶風威脅解除颶風四度壓境俱告倖免
page 6	美名攝影師過港赴渝談菲島防務頗嚴密渠在菲拍有海軍根據地及馬尼拉砲台等新聞片
page 7	港菲埠際游泳賽中止舉行內幕校際游泳對抗參加者僅六校中西義泳西隊今晚最後試賽
page 7	卓雄杯球員毆打案昨開會審訊
page 7	夏令籃球初級賽到最後階段仿林金銀團結三強鼎立看誰是本屆冠軍
page 7	滬越野接力賽虹口第一白光獲亞軍
page 7	來屆足球聯賽座價增加問題南華會擬照原價不提高
page 7	譚進杯籃球戰仿林對抗團結改在下午六時卜公球場交鋒樂斯杯星島對黑貓改期
page 7	東星隊在澳戰程結束即將趁輪返港
page 7	星東征澳記第三戰五比三勝北區聯隊詳情
page 7	上半年重要國產經港出口統計總值約達國幣一萬萬元近因交通不便多經仰光出口
