page 2	望外交當局迅速注意兩事
page 3	南昌武寧近郊激戰中高安我迭重創Ｘ軍我軍猛攻信陽連克要地
page 3	一週戰況三月廿三日至廿九日軍事委員會發表
page 3	威海衛Ｘ犯榮成受創我軍英勇收復縣城
page 3	廣西學生軍三月二十五日桂林航訊一
page 3	Ｘ機轟炸川東重慶曾發空襲警報
page 3	南京一醜劇傀儡奴顏婢膝
page 3	義輪駛滬在崇明北遇劫
page 3	Ｘ機濫炸美已提出抗議
page 3	津Ｘ兵厭戰由氣球躍下自殺游擊隊活躍市郊
page 3	黃花崗紀念各地隆重集會
page 3	克萊琪赴滬所傳使命內容英方注意中日戰事遠東形勢將有發展
page 3	滬Ｘ恐慌組織一委員會預防意外事件
page 3	Ｘ人的妄想竟圖肅清我游擊隊
page 3	中蘇文化協會籌辦中蘇學院
page 3	英蘭銀行要員羅傑士將來港
page 4	波蘭當局採取特別軍事措置柏克接見德大使毛奇表示仍尊重德波協定
page 4	反侵略宣言英法將會同發表英密切注意遠東局勢蘇主德日應同予遏止
page 4	戈培爾抵匈訪晤匈國當局然後轉赴雅典
page 4	英國援華運動下三月十四日倫敦航空信
page 4	英美醞釀對德經濟抵制貝奈斯呼籲不購德貨
page 4	英法積極進行軍事同盟談判英軍事代表團已抵法法航空部長亦將赴英
page 4	赫德森抵芬蘭商改善英芬商業關係對莫斯科之行甚滿意
page 4	美購銀法決定延期兩年
page 4	西國民軍進駐凡倫西亞德義首揆電賀弗朗哥英報盛讚共和軍英勇
page 4	美中立法修正案助長侵略國我國各界致電美當局請分別侵略與被侵略
page 4	贛北戰
page 4	西班牙
page 4	英閣員對徵兵制意見不一致張伯倫否認報紙謠傳
page 4	倫敦近郊發生爆炸案
page 4	南商業使節本週赴德促進兩國貿易
page 5	Ｘ犯江門谷埠順鶴新中團隊奮戰鄧龍光部包圍Ｘ軍來犯之Ｘ遭我猛擊未得深入北街小欖被炸平民死傷極多
page 5	過汕赴韶
page 5	劉侯武談粵糧食恐慌解決省府籌款購湘贛米暹平糶米五批將到
page 5	汕頭民船演習
page 5	中山石岐火警
page 6	救濟本港水荒掃桿笏興建水塘勘測工程已開始進行大霧山導源工程已至第三期
page 6	還債運動
page 6	昨日黃花節各學校開會紀念光華男女兩校分發黃花文化中學舉行國民宣誓
page 6	Ｘ將再度封鎖珠江沿岸游擊隊活躍Ｘ汽船常遭襲擊
page 6	全港學生舉行國民公約宣誓學生賬濟會明日召集昨發出精神動員綱要
page 6	越南政府新訂過境居留手續持過境護照較為便利持入境護照作移民論
page 6	青記學會設立中國新聞學院即日招生下月舉行試驗所聘職教員均各報編輯
page 6	赴南洋僑胞均受檢驗被遺埋山者頗多
page 6	梁俊群個人藏畫公開展覽籌賬
page 6	搜獲賊黨行劫計劃警探當局正式否認
page 7	世運會田賽規定預賽成績新標準截至二月止已三十國參加本屆游艇競賽決採用淘汰制
page 7	麗都會稱雄滬濱又奪得初級盃五對一痛擊測量隊
page 7	勃琪入勝潘雷
page 7	歡迎星洲中華足球隊
page 7	昨晚公開男子籃球賽培英不敵鍾聲結果五六比三八戰情殊平淡
page 7	公開草地網球徐潤培擊退蛟爾特李惠堂輕取梁炳照
page 7	出爐新聞
page 7	歐局動盪不定港外匯市勢趨緊申匯牌價不動市況穩而沉寂暹匯略漲兩咽其餘均告低縮
page 7	股票市欠靈活投機者買賣仍多猶豫半日成交不過八萬元
page 7	八九金市略形堅挺買戶較多價格稍漲
page 7	暹米大批到港售價下降
page 7	英金微漲英銀近跌遠平
