page 2	社評日議會之唯一點綴
page 3	豫鄂日軍分路進犯我軍迎擊予以重創合溪之役日軍死傷達千餘人
page 3	松岡狂態復作對美肆意恫嚇妄言日本須稱霸西太平洋仍圖以軸心盟約為護身符
page 3	新任英武官晉謁蔣委長
page 3	中緬會談結果雙方同意直達通車滇緬運輸當可轉旺
page 3	日議員川崎克指摘近衛違憲
page 3	陪都之熱流
page 3	各地響應勞軍運動
page 3	我將在伊朗等國添設領事館以促進近東各國貿易計畫正待政院批准
page 3	粵建設廳籌設兩工廠滇雲豐紙廠成立
page 3	日扣留貨船
page 3	日對泰越狡圖初步獲逞泰越同意甘受干涉曼谷遴選談判代表
page 3	邊境衝突尚未全息
page 3	越當局尚作僥倖之想
page 3	贛電訊網初步完成
page 3	美對蘇聯貿易適用出口特許證制威爾斯已致函蘇大使聲明解除道義禁運
page 3	中國逐漸把握空中優勢英陸軍季刊之評論
page 3	對林雄吉案英態度強硬日人破壞法律秩序工部局不應增日員
page 3	橫濱英僑一律撤退英總領事發出通知
page 3	蔣委員長嘉獎李品仙
page 3	立法院會議
page 4	紐約方面盛傳義國發生內亂並傳德軍已佔米蘭德向法要求佔用突尼斯
page 4	北非英軍挺進傳又攻陷竇那
page 4	美租借法案論辯布列特主張援助中英美國必須支持中國抗戰眾院通過造船案
page 4	羅國內亂漸平鐵衛軍首領被捕羅國全境仍宣告戒嚴重要運油管傳被炸毀
page 4	今日的柏林
page 4	英駐美大使訪美國務卿討論國際局勢凡一小時美報界對哈氏印象甚佳
page 4	羅代表團赴蘇談判續議商務問題
page 4	阿爾巴尼亞中區希軍繼續推進距瓦隆那灣僅一公里半義機械化部隊反攻不逞
page 4	蘇格蘭人民同情我抗戰
page 4	智利外長將訪秘魯討論政治經濟問題
page 4	義西商約
page 4	渡邊之言
page 5	羅翼群過桂談粵南路最近狀況農工業方面沿待積極改良教育將力求量之發展
page 5	西南區工合運動湘桂黔三省積極推行中現有合作社二百卅二所
page 5	粵礦業發展迅速銻鎢兩種已由中央統制民營礦業積極改良
page 5	桂林擴充電力供給
page 5	湘桂穀米源源運到四邑
page 6	爆竹一聲除舊歲各行休業度新春昨日市況情形遜於往年年宵市場遊者多購者少
page 6	周啟剛談新四軍問題在統一的國家並不足奇此種措施原非派別之分
page 6	去年東華三院收容病人數目
page 6	高卓雄募集經費籌組鍾聲救護隊支配權則全歸粵省救委會現正招募有救傷學識青年
page 6	中航機來港途中被迫降落焚燬機師搭客六人五人罹難傳兩搭客為四行要員
page 6	歲暮影響蔬菜市價奇昂來源短少易於囤積居奇去年菜欄無不大獲厚利
page 6	華商總會舉行節約獻金
page 6	中華書局香港分局遷陸佑行新廈
page 6	無入境證旅客須繳示其他證件如種痘證等由當局保存取回保證金辦法望改善
page 7	麗華杯賽第二戰華聯大戰軍聯下午三時半在銅鑼灣場上演我陣容完整勝券可操
page 7	西文員勢如破竹海軍遭洶汰一比四輸得一塌糊塗阜拉個人射四球
page 7	滬西青籃球賽華星氣走麥白卅三比卅二僅勝一分
page 7	華星屢誤良機
