page 2	日本假道滅越之幕揭開
page 3	日本提出最後通牒脅迫越南對日屈服日艦集中東京灣有登陸企圖
page 3	日本色厲內荏竟圖恫嚇美國
page 3	滬孤軍領袖向英美呼籲要求主持公道尊重法紀
page 3	英民眾要求開放滇緬路
page 3	鄒琳整理粵財政實行開源節流香翰屏偕郎擎天抵曲江談郎部此次反正之經過 
page 3	皖政治經濟最近設施
page 3	英輪在海門被日艦砲擊
page 3	扶南我軍活躍皖北擊斃日陸軍將領
page 3	張發奎召開戰區黨政軍會對軍政配合等議定辦法
page 3	貿易委員會收買禁銷物品業已制定詳細辦法公佈
page 3	陳嘉庚等由贛轉赴浙東
page 3	滬發生大工潮電車汽車工人罷工要求改善生活待遇
page 3	滬美商正言報昨日發刊報紙尚未出售被人全部收購
page 3	綏東亞同盟軍萬餘人反正日軍被攻損伯奇重
page 3	越南危局的發展二
page 3	法外長談越局力為妥協辯護
page 3	越境日僑開始撤退
page 4	希墨不久會晤里賓特羅甫再謁義相揚言將建歐洲新秩序
page 4	麥克納特演講為民主黨鼓吹能改進非特權階級生活惟有民主黨一黨要勝任 
page 4	埃北英艦砲轟義軍德機又作鞦韆戰術
page 4	堀內臨去秋波羅斯福態度坦率對日政府表遺憾
page 4	蘇勞働報評論中日戰局中國人民決心抗戰困難階段業已度過
page 4	美英澳續商廣泛密切合作曾討論各方重要事件包括太平洋防務問題
page 4	日失業者眾
page 4	日新體制名稱組織決定定名為大政翼贊運動本部置四局另設東亞部改革議院法案在草擬中 
page 4	黑龍江蘇艦隊演習完竣砲兵實習水兵登陸
page 4	太平洋兩法殖民地宣佈參加自由法國
page 4	蘇駐土大使月底返任兩國關係稍緩和
page 4	法向土保證不以聚利亞根據地予義
page 4	英美在太平洋合作
page 4	所謂歐洲新秩序
page 4	候選人威爾基演說抨擊新政反對經濟極權制度給翰遜非難羅斯福
page 4	澳洲在太平洋的地位三 
page 4	桑納在德活動
page 5	足球聯賽今日開幕南華出兵攻打蘇軍球王率領新陣容初試啼聲聖九光香兩戰均因故改期
page 5	基本球員外向東方不克成軍對星島之戰已被迫棄權調遣滬將準備重起爐灶
page 5	今天棒球決戰港啤對抗水兵 
page 5	雙翼齊飛記
page 5	光華甲組今天練習賽約戰米杜息
page 5	談談球海狂瀾
page 6	粵省振會指導下首批義民昨日啟程千人登記半數辦妥手續將以迅速方法分批遣發
page 6	港越交通前途緲茫難測法輪提前返越以應徵用越商電港辦莊暫緩付貨
page 6	真中芸荒社演劇籌款明日在娛樂公演
page 6	基督教團體勸銷儲券成績優異個人成績以譚進為最優僑胞踴躍存儲熱心可嘉
page 6	港蘇貿易蓬勃去年八個月達五千餘萬較去年同期增加一倍餘
page 6	化學分會今日舉行演講會
page 6	華南醫學院報名者甚為踴躍
page 6	嶺大同學日明日在嶺中舉行
page 6	余賀增義演振難定下星期一表演一場
page 6	畫家張善子日內由美抵港知友多人聯合各界歡迎
page 6	利舞台改裝近況工程浩大需款甚鉅
page 6	日本酒店拿不出四盤牛扒美商某君談日本之窘狀汽油恐慌午夜即無的士 
page 6	本港對澳門來客昨晨實施防疫凡持有防疫證方准登陸歹徒進行兜售偽防疫證
page 6	何鐵華　彩色影展將於雙十節舉行
page 7	粵教聽頒佈津貼教師米穀辦法每月得貼米一至三市斗由兒童家庭分任或勸募
page 7	旅居閩浙台灣同胞組織義勇隊分任救護宣傳及製造軍用品
page 7	中山日軍退集荷包三灶兩島
page 7	合浦茂名行新縣制展至下月一日實施
page 7	股票市況好轉存戶堅持成交尚少
page 7	國幣略淡
page 7	四四金市穩靜金條全無成交 
page 7	港圓外匯牌價昨日無變更美匯穩靜申匯略淡
