page 2	社評論遠東大局
page 3	英美積極準備應變澳洲菲島加緊戒備加拿大亞拉斯加間增築機場日如大規模南進我決協助英美
page 3	澳開重要會議
page 3	英美繼續撤僑
page 3	日南侵準備在各據點續集軍力仍向泰越苛索根據地
page 3	歐戰通訊之十六封鎖中的戰時法國四
page 3	我獲日方密件現已押運往某地有日海軍南侵計劃
page 3	蘇日商約談判尚未開始
page 3	滬洋貨價漲
page 3	荷蘭政府對日態度絕不示弱日本提出五項苛刻要求石澤要求賡續談判
page 3	凍結外國資金加嚴對日禁運美特許證制運用益靈活
page 3	我與澳洲交換使節年內即可實現
page 3	國府明令褒揚徐龍驤
page 3	豫南殲日一幕
page 3	西江繼續激戰我軍猛烈向龍岡反攻淡水日軍築工事企圖久踞
page 3	中美中蘇締結新易貨協定傳我方在討論中
page 4	巴爾幹形勢日緊南總理忽赴德又傳德軍兩萬開保英土參謀會議結束
page 4	佛朗哥返西在法曾受熱烈歡迎
page 4	葡京方面盛傳西將恢復君主
page 4	里比亞之戰英軍致勝原因事前派出沙漠長征隊刺探義軍防務之虛實
page 4	阿拉木圖旬日雜記三
page 4	參院定期開始討論
page 4	美參院外委會通過租借法案並極力向參院全體推薦美舊艦四十艘傳將讓英
page 4	國際簡訊
page 4	日本議會仍有無謂爭執議員將再質問近衛
page 4	張彭春公使抵保京公幹
page 4	日擬統制絲織工業
page 4	陸部興築六根據地
page 4	阿境希軍猛攻備比連砲隊活躍協助進攻東非克倫附近展開激戰
page 4	土方否認日報謠言
page 4	倫敦羅使館職員返國一批飛抵里士本
page 4	佛朗哥之謎
page 4	巴勻幹愈緊
page 5	斗門混戰五晝夜日軍侵入後大肆搜索新會古井方面仍在我手中
page 5	桂省優待征屬省府派員調查推行情形各界商定今後慰問工作
page 5	西康日記二二八第十二編永寧雜寫
page 5	澳門居民減少屋租亦見低跌
page 5	日輪水手在星被捕價繪港口形勢判處苦監九月
page 5	樂昌榮譽軍人捐款獻機湘省發起捐獻商車號
page 5	合浦屠商為徵收屠場稅一度聯合罷業
page 5	西南區工合事業趙光宸談最近概況
page 5	桂推行冬耕達三百萬畝
page 5	桂林充實防空設備
page 5	歐戰發生後南洋生活不易去年華僑返國為數增加馬來亞統計共四萬餘人
page 5	欽縣機場限期破壞犁成稻田以利春耕
page 5	桂女子教育增設高中班
page 5	廣州灣被拐婦女省府設法救濟
page 5	滬西各賭窟紛圖遷移南市將成罪惡淵藪
page 6	駐港美國領事再勸論美僑返國遠東政治不穩定仍存在目前本港美僑約二千人
page 6	大部美僑不願離港
page 6	青年會徵求會友昨日開始舉行到各界僑領等約五百人隨軍服務團同時募經費
page 6	海外參政員紛集本港由周啟剛就近招待
page 6	上海西商會要求闢港滬空線因受戰爭影響船期無定此間聯美公司尚未接到
page 6	中航機被迫降落已證實失事情形無報告
page 6	防空當局擴築防空洞並決定購抽水機四千具開始增募通訊員五百人
page 6	英財部電謝港僑捐助
page 6	干諾道中大廈三所利豐有限公司購得
page 6	中大同學中大留港畢業同學
page 6	上海市商會遷港事尚未決定被騷擾情形刻尚無詳報重要文件及案卷已運港
page 6	汽車行商營業頗受打擊電油漲價有車者且停用交通梗塞無法運貨返國
page 6	中西書局前日正式開幕
page 7	今日愉園有劇戰星島迎擊米軍宋靈聖寃獄未成決出馬助陣米杜息不懷好意星島要小心
page 7	球圃菜根集惠堂二十八
page 7	宋靈聖官司案總會宣判無罪球證卑押撞倒純係出於意外盼望觀眾今後看球遵守秩序
page 7	掃桿埔頭士葛遇香港
page 7	界限街場警察逢九龍
page 7	霍斯籃球隊犯港港方準備迎抗將開遴選會挑精銳上陣比賽地點決在中青球場
page 7	越野跑廿一開始報名下月廿三舉行
page 7	中青冬泳團野火大會定今晚舉行
page 7	中華棒球隊今晚舉行餐舞
page 7	遠東時局緊張美匯昨仍放長英匯沉寂申匯穩定
page 7	股票市況靜寂僅均益貨倉買賣較多各股成交共六萬餘元
page 7	四四金市仍極沉寂
page 7	國幣市況依然堅穩
