page 1	社評攤販問題的嚴重性
page 2	政府改組積極准備國大今日續談憲草
page 2	內蒙問題展開會外活動蒙旗代表呼籲保障其自治權熱察綏代表團同時發表意見
page 2	和談未關門美國調人仍在努力與政府中共有接觸
page 2	左舜生來滬李璜昨已出院
page 2	陵園管理委員會昨招待華僑代表
page 2	青年黨發表宣言說明對時局及憲草意見
page 2	東北共軍結集甚眾哈埠永吉附近有五十餘萬人共方宣稱攻入晉境石樓蒲縣
page 2	宿遷情勢轉穩通榆線上戰事仍進行中
page 2	馬超俊設茶會招待職業代表
page 2	美報論我時局
page 2	朱經農患病
page 2	長春鐵路的風波下
page 2	葉劍英談赴哈經過據謂曾與林彪李立三等晤談否認會晤司徒係奉延安之命
page 2	安東市面上九十華里外不凍的大東港日人九年前動工計畫現在僅完成十分之四
page 2	浙江監察使朱宗良昨正式視事
page 2	鄂省參會檢討省政鄉間攤派多人民負擔重民政教育治安均待改進昨日開幕禮中翁文德致詞
page 2	晉省人民痛苦東滬區各校山西同鄉會昨日接待國大代表報告
page 2	美派聯絡官駐哈中共已表示同意
page 2	公務員懲戒委會發表上兩月審議懲戒案件
page 2	京市參議會昨成立陳裕光王潞當選正副議長
page 2	軍官總隊即行編併陳誠昨指示各總隊長
page 2	冀省綏靖工作中央將撥款九億辦理孫運仲赴保定參加中區會議
page 3	裁軍計劃一再爭論中美蘇均提出新意見
page 3	論國歌問題
page 3	對原子能問題蘇堅持使用否決權中美英法表示反對
page 3	英國支持希臘貝文函希臘總理保證蒙帥即可到雅典
page 3	希通知蘇聯擬向安理會申訴
page 3	南希分配賠款莫洛托夫讓步
page 3	蘇聯人口迫近二億關口
page 3	南非印度之爭應該由行解決託管委會決議
page 3	尼赫魯昨習英艾德禮關懷印局
page 3	希臘謎話
page 3	貝爾納斯接見繆維爾
page 3	德酋判死義人歡呼
page 3	美南極探險隊昨日分途啟程
page 3	鮑萊賠償計畫日人表示滿意
page 3	法社會共產兩黨會議討論組織聯合政府事　人民共和黨尚未放棄總統要　
page 3	英商務團赴高雄參觀
page 3	路易士準備法律戰美煤礦工潮解決難
page 3	越南華僑復員法當局公佈辦法
page 3	美軍寒帶試驗在阿留申阿拉斯加開始
page 3	省會警局改制政院決定辦法
page 3	陶行知葬禮昨舉行京文化教育界隆重致祭
page 3	府令褒揚王立夫
page 3	日本戰犯高橋死刑平軍事法庭宣判
page 4	攤販騷動昨更擴大全滬入半停市狀態各處群眾入夜始行散去
page 4	槍聲又起十餘人受傷
page 4	社評我們的聲明
page 4	高生大號又遭焚燒
page 4	中匯大樓忽來槍聲
page 4	憲兵出動協助維持秩序
page 4	各處紛擾頻仍警備車裝甲車巡行全市絡繹不絕公共交通時斷時續
page 4	警察被圍開槍傷人
page 4	青白足籃球隊定四日訪問香港籃球有健將多名好生了得足球賽以預排秩序四場
page 4	桂中行表示意見當前首要問題在恢復秩序警察態度應徹底檢討改善
page 4	鶴鳴帽落鳥飛去大新窗破貨猶全
page 4	商店多處被人搗毀大光明玻璃門亦碎
page 4	殃及池魚美軍禁足崗警不見紅悉綠慘
page 4	宣鐵吾談戒嚴令仍有效治安絕對無虞
page 4	攤販代表晉謁市長
page 4	新成區攤販擬在跑馬廳開會經警局勸解散去
