page 2	抗戰建國與建軍治軍
page 3	新四軍事件完全結束蔣委長訓詞盼全國維護軍紀
page 3	執行紀律軍令問題甚為單純
page 3	敵人造謠挑撥離間
page 3	在軍紀前一律平等
page 3	外交協會春宴款待英美蘇三大使陳教長即席發表演講希望民主國比肩作戰
page 3	襄西日軍全潰豫南殲滅戰將完成
page 3	在日方操縱下泰越休戰談判在日艦舉行中
page 3	美軍一批將抵菲島
page 3	節儲運動各地成績良好
page 3	星澳防務合作澳空軍參謀長抵星與普法姆有所商討新加坡黃軍源源增加
page 3	伊洛河堤即將動工修築
page 4	美總統與議會領袖會商租借法案問題財外長重申援助中英之重要
page 4	希總理逝世希臘國民同聲哀悼柯理齊斯繼任總理
page 4	蔣委員長訓詞以上接第三版
page 4	大島赴德
page 4	不忘北進東條強調防蘇美報痛斥松岡之恫嚇狂言
page 4	中立國繼續接獲義騷動消息法西斯黨漸失人望貴族有心恢復王權
page 4	羅新閣組成大部閣員係海陸軍將領西馬逃出羅馬尼亞
page 4	東北非英軍將再展開攻勢伊里特利亞義軍無鬭志希軍繼續追擊義軍
page 4	威爾基氏在英分訪政府首腦
page 4	貝克抵渝將訪我政府當局商振品運輸問題
page 5	全緬中外人士熱烈歡迎吳部長此行目的宣慰僑胞敦睦邦交各地僑胞獻金已達三千萬元
page 5	告緬甸僑胞書
page 5	粵東沿海各縣又遭狂炸淡水墟死傷多人馬　隍鎮災情亦重
page 5	惠陽撫卹災民
page 5	我夜襲會城衝入南門毀日工事
page 5	桂節儲券已銷五百餘萬元本月底即可足額
page 6	移民局便利居民往來發臨時收據可暫作保證總代理處昨遷至雲咸街
page 6	服務貴陽英籍醫生白萊遜由黔來港貴陽紅會醫院設備簡單工作人員精神極為旺盛
page 6	天星小輪支年獲利三十餘萬
page 6	鯉門號輪昨由越南返港
page 6	魯警欲享齊人福黃臉婆投海自殺聞夫在港納妾來港理論被電阻南來遂自萌短見
page 7	鐘聲慈善救護團舉辦籃球義賽星島男女分別對抗東方平正下月三日在中青舉行
page 7	緬甸華僑足球隊定期興兵犯港全隊十七人名單寄到銅頭譚江柏隨軍
page 7	甲組銀牌足球賽光華佈陣戰九龍
page 7	印象記麗華杯與我無緣旭和杯賽南華先搶頭籌
