page 1	社評馬歇爾歸國任國務卿
page 2	馬歇爾昨離華歸國繼任美國務卿任命發表國際大勢重東方駐華美軍或將撤
page 2	行矣馬歇爾三月前已表示接受新職最後調處不成始決返國
page 2	青島去來
page 2	馬歇爾發表報告和平最大障礙為國共猜忌挽救之道在自由份子主政
page 2	最近談判決裂要素
page 2	中共宣傳不顧事實對美國行動極盡詆毀之能事政府公布新聞亦多錯誤報道
page 2	政協決議失敗
page 2	華府反響良好認已明白揭出中國政治輪郭
page 2	實施憲法將為一種試煉
page 2	訓政時期結束
page 2	彭學沛談馬帥報告出於懇摯友好精神關於大赦謂無純粹政治犯
page 2	立法委員會增加名額任期延至依憲產生立院為止中樞昨集會曾談馬帥報告事徵實流弊過多主廢除者甚眾
page 2	民盟決定盟員地位概以個人資格參加在滬籌辦日報及期刊
page 2	張治中將留中樞任職
page 3	越南事件殆將擴大繆戴認為唯有武力解決始能恢復秩序法軍已依照宣戰狀態動員
page 3	願與民主法國合作希望雙方尊重協定越盟駐法代且團發表公報
page 3	在美八十屆國會席上杜魯門演詞全文續
page 3	安理會本年首次會特港管理問題展期討論
page 3	克萊頓晤龐萊商談煤油協定
page 3	喀斯貝裏在美訪晤忙杜魯門對義表同情
page 3	日相吉田不孚眾望倒閣運動方興未艾日報不斷抨擊內閣措施
page 3	日在野黨將開協議會
page 3	杜魯門施政方針共和黨國會反對
page 3	法國否認調處巴勒斯坦爭端
page 3	蒙哥馬利擬使蘇聯當局明瞭英美協定並不排他
page 3	荷印成立初步協定東印共和軍自巴倫浜撤退
page 3	貝爾納斯辭職早因體弱請辭近復申前請杜魯門接受並讚揚其貢獻
page 3	法蘭選舉美國提出要求
page 3	黃河復堤堵口即將在滬召開會議董必武昨應邀來滬
page 3	美國關切越南局勢
page 3	莫斯科新聞撰文抨擊英法荷殖民政策
page 3	日本地方選舉事中蘇代表質問艾其森
page 4	清查滬倉庫使用情形查勘大儲棧碼頭道路港務整理委員會昨議決要案
page 4	一年來審理漢奸案共計七百三十五件判處無期徒刑二十一名死刑八名執行梁鴻志一名
page 4	毛紡織工人年賞未解決
page 4	地檢處看守所已釋罪犯一八六名
page 4	毛巾被單業年賞糾紛已解決
page 4	長城快輪週六處女航天津
page 4	郵政代辦所郵票代售處上海郵局普遍增設
page 4	行總工振會議定十三日揭幕
page 4	新亞藥廠瀕於危境現正設法借款支撑渡過目前難關前途極有希望
page 4	小火輪兩艘無端失慎金剛電廠熔鐵間燒燬
page 4	四維屯內司閽捕蔣福臣被人扼殺其妻報警後正在查緝兇手
page 4	大學籃球聯賽同濟迎戰大同女子組滬江大學對大夏三時起工專與新專對壘
page 4	婺源旅滬同鄉為宋尚齡伸冤
page 4	自殺一男子吃了安眠藥聽申曲送治後尚未脫險境
page 4	昨日滬市下雪
page 4	晨友盃籃球賽華南勝隊
