page 2	醜劇導演者的悲哀
page 3	南昌外圍戰況猛烈我軍續克重要據點西江軍趕築工事時出滋擾
page 3	參政會特種委會完滿休會對於地方政制及通貨商妥辦法請中央核辦
page 3	本屆參政員任期延長
page 3	阿部已抵南京熟知汪偽組織內幕者稱本年八月中將鬧大笑話
page 3	日機襲川重慶發出警報
page 3	粵全省兒童保育會議開會五日圓滿結束
page 3	福州盛會春禮勞軍游藝大會參加民眾十餘萬人
page 3	歐戰爆發後之馬來亞三
page 3	淪陷區工廠日人實行全部霸佔所謂將予發還之說乃係汪派麻醉作用
page 3	後方工業貸款四聯總處積極推動計劃最近即可公佈
page 3	公債下跌投機商無利可圖多拋售換取現金 
page 3	平抑滇省物價已商妥辦法何廉今日由滇返渝覆命滇省米糧儲銷處已成立
page 3	桂省府決定裁撤兩機關
page 3	捲土重來輪盤大王茄西亞擬在上海恢復舊業
page 3	渝市舉行航空宣傳週
page 3	建設新贛南蔣經國專員發表論文決嚴厲掃除不法事業
page 3	桂省府嘉獎救護人員
page 3	參政會五屆大會蔣議長休會詞全文 
page 3	實施憲政
page 3	重視實際
page 3	晉南繼續激戰日勢已呈不支 
page 4	聯軍聲勢益壯哈馬有已克復消息
page 4	賽雅抵滬談話斥黷武國家人類文化備受摧毀美國對此極為關切
page 4	英德飛機激戰德機卒被擊落四架英德機飛踰比領空
page 4	美議員主張重提禁運案將請求舉行辯論
page 4	麥剛森突乘機返柏林
page 4	瑞士陸軍司令談決心維持自由
page 4	英蘇商約問題英方表樂觀認為將能順利進行對德封鎖將更週密 
page 4	歐洲人民投資美國多來自德國及德國鄰邦
page 4	英戰時預算西門將在眾院發表重要談話
page 4	羅代表無國籍訪義大利外交界極重視
page 4	日外務省發言人一串謊話對美不準備作諒解第三國利益仍尊重
page 4	英法向義申明對地中海立場現有形勢不容變更南歐安全感已恢復
page 4	參政會又一收穫 
page 4	仰光械鬥
page 4	美製機能力年建二萬五千架
page 4	多瑙河之空氣
page 4	歐戰通訊之十鐵打開了北歐戰局一九四○年四月九日巴黎航訊
page 4	德國礦苗來源益覺渺茫無著
page 4	英軍捷訊頻傳挪人甚感欣慰
page 4	德機飛越領空瑞典加緊準備
page 5	西紅日軍無進展我夜襲石岐奏捷中山斗門情勢尚稱安定
page 5	全國專科以上學生競試初試定下月十五開始競試要點已公布
page 5	一頁傷心史暹羅僑校封閉殆盡學習華文亦成問題
page 5	閩合作事業一年以來進展順利各項生產均有可觀
page 5	關於農業方面 
page 5	國府公佈修正內政部組織法 
page 5	關於工業方面
page 5	本年度新計劃
page 5	目前的廣東糧食 
page 5	粵普遍設立軍民合作站
page 5	余漢謀召開綏靖會議今後工作已多所決定
page 5	省振濟會設小工廠中央助款辦理
page 5	瓊崖日軍增兵白沙慘遭侵擾
page 5	內政部長周鍾嶽談禁煙問題決於本年底澈底完成
page 6	李耀祥否認港府擬收回東院留醫者須西醫准許說不確但患有傳染病者則須隔離
page 6	兒童保育院改組重定院名章程全部修改賀惠瓊接任後積極整頓
page 6	昨日德輔道西黃宅發生劫案賊黨以送生蠔為題入屋失贓事主尚未呈報警署
page 6	賑聯會常委會議撥款助難童習藝院
page 6	失主之家
page 6	四賊擁進
page 6	旅港紐西蘭與澳洲人紀念韃靼海峽戰役上次歐戰該處犧牲多人廿五日在紀念碑前獻花
page 6	搜刦情形
page 6	警探查究
page 6	商輪之武裝內容不得洩露太古渣甸日前發出通告除搭客貨客外不准登輪
page 6	全港義學請當局改善新例今日招待新聞界
page 6	兒童遊樂場禁成年人舉行球賽
page 6	順德籌賑會響應傷兵之友運動 
page 6	商賑會將局部改組
page 6	送禮為題 
page 6	鋼琴家姚錦新明晚在半島酒店舉行獨奏會
page 7	昨夜港菲籃球戰中華勇克協會陳聚才探籃奇準得廿一分三三比二九戰情激烈
page 7	東方足球遠征隊敗於菲冠軍零比一在菲遭首次失利飛剪號不悞期明晨返港
page 7	東方征菲隊今日乘機返港
page 7	南華女子部複選職員公布
page 7	公開男籃球賽月杪開始後天開小組會
page 7	外匯牌價昨日略漲英美申匯市況均穩
page 7	八九金市轉趨鬆馳買賣不多價格稍降
page 7	股票市仍靜寂全日成交僅值八萬餘元
page 7	南華會足球隊準備遠征南洋選出球員加緊訓練擬定五月中旬出發
page 7	世運停辦
page 7	甲組足球尚有五場補賽
page 7	本屆上海足球最佳陣容檢討
