page 2	社評國聯與蘇聯
page 3	南昌附近日軍被圍鄂中我軍渡襄猛攻湘北交通線大部被我控制
page 3	粵參議會二次會已圓滿結束提案百餘件送省府執行並推定九人為駐會委員
page 3	日犯中條再度失敗晋南大戰已成尾聲
page 3	浙北我軍衝入杭城大火四起偽軍反正
page 3	漵昆鐵路向法借款成功總額一萬八千萬法郎
page 3	緬甸訪問團抵渝記
page 3	桂當局加強民眾動員工作擴大全省動委會組織使前線軍民打成一片
page 3	愛國兒童不顧危險奮勇當先協助軍隊撲滅野火
page 3	王纘緒業已抵達前線協助反攻軍事
page 3	傀儡集會汪兆銘未參加
page 3	顧孟餘抵渝
page 3	汪黨又一罪惡茅麗英重傷逝世
page 3	滬搶米風復熾工部局警告各囤米商人工潮一波未平一波又起
page 3	滬日商公共汽車被迫使用軍用票明年一月一日實行
page 3	鄭螺生在南洋怡保病逝
page 3	滬被捕華捕偽方卽將釋放毆辱英探長日人竟開釋
page 3	蔡元培親撰反侵略歌獨立寧辭經百戰眾擎無愧參僻責
page 3	日以開放長江為餌圖誘美國上鈎詹森在津與美僑商談雅納爾主張打破日本迷夢
page 4	國聯議程結束行政院秘密會議中我代表述抗戰情形
page 4	英政界人士論援芬問題望義能供給一切必需品北歐人士踴躍捐款援芬
page 4	英法對德經濟戰雷諾盛讚英法經濟協定摩根韜謂不妨礙美利益
page 4	德國煤荒天寒結冰情勢嚴重
page 4	英秘密會議保持討論自由不因戰時而異
page 4	英德空軍在北海上空激戰
page 4	英外相演說勗國人團結一致
page 4	英德海戰尾聲斯比上將躲入烏露圭港英艦增集在附近海面伺候烏民眾示威反對德艦滯留
page 4	淪陷區域經濟政策之再檢討
page 4	蘇德友好條約兩國互換批准書
page 4	美工聯會長演說反對納粹主義美應附上侵略行為深盼對德封鎖成功
page 4	影星嘉賓捐款援芬
page 4	王正廷抵菲向記者發表談話
page 4	古巴僑胞匯款回國捐助寒衣
page 4	中國統計學社第九屆年會將在渝舉行
page 4	失寵者的悲哀
page 4	蘇德協定換文
page 5	我軍猛攻龍塘克復數重要據點清遠情勢已漸趨穩定粵漢路正面在相持中
page 5	反攻江會戰事我進展順利犯小黃圃偽軍盤踞未去結集北街日艦蠢蠢欲動
page 5	我國赴菲難民統計
page 5	西康日記廿五
page 5	粵南沿海日艦不斷騷擾肆虐冠頭嶺一帶我嚴加戒備合浦靈山各縣迭遭轟炸
page 5	桂學生界倡議捐國防建設個人負擔有限國家受益無窮
page 5	建長朱暉日談粵省建設事業試驗提煉煤油成績良好調查農林水利進行開發
page 5	主計預備會議總決議案全文
page 6	婦女慰勞會主辦慈善賣物會昨開幕何予珍致開會詞向各方道謝會場分廿七部物品遊藝俱全
page 6	青記學會明日舉行座談會
page 6	英賑華分會昨日結束會務招待各界宣佈籌得款項實得六萬五千九百餘元
page 6	西北之行印象淩道揚博士昨為聯青社講演
page 6	九龍油蔴地明日舉行白晝防空演習時間是上午九時至十時該區被炸地共有四處
page 6	反婢會選出幹事值理
page 6	九龍商業總會二十八日開幕為旺角商業總會之改組現在會員人數已逾三百
page 6	全港基督教團體聖歌團聯合演唱十八日在聖保羅堂舉行參加團體甚多節目豐富
page 6	的士加價未獲批准的士公司擬再請求
page 6	滬永安公司改向美國註冊
page 6	華英中學員生購節約蓄券私立華英中迷為贊助政
page 6	天壽堂買藥贈送日曆
page 6	全港自衛團元旦舉行大檢閱主事人已通知各區主任屆時派團員參加檢閱禮
page 7	甲組足球精采戰國軍今日渡海南華南在界限街初逢警察東方出師紅磡對抗九龍兵
page 7	滬籍球員聯署一封公開信決計不參加港滬埠際賽恐外間誤會特鄭重聲明
page 7	泗水全白籃球隊在蔴連奏捷義款收入匯返祖國賑難
page 7	公開女子籃球明晚開代表會
page 7	記者體特委會陸運展期舉行
page 7	衛國好男兒芬選手從軍
page 7	南華慶功宴今晚設席陶園
page 7	丹普西下週過港赴菲
page 7	中量級拳戰格倫李有望
page 7	外匯牌價無變動美匯市況沉寂英匯仍乏生氣申匯市況穩定銀行拋出不少
page 7	股票市仍蓬勃買戶雲集股價再度趨漲全日成交約近二十萬元
page 7	八九金市益見沉寂買賣稀少價少變動
