page 2	社評蘇聯與巴爾幹
page 3	蔣委長勉全國同胞踴躍購買戰時公債
page 3	參政會決通電全國擁護領袖抗建到底之訓詞
page 3	菲律濱防禦措施美眾院業已予以通過美報界咸認美日戰爭極可能
page 3	賀國光補行宣誓就職
page 3	英蘇德日四國海軍實力一斑英國海軍雜誌的報導
page 3	粵省軍政余漢謀之報告
page 3	國父逝世紀念日推行造林運動各地將舉行植樹典禮
page 3	東京英大使訪晤日外次
page 3	及川覲日皇
page 3	駐澳日領無聊呼籲
page 3	贛東激戰中彭澤日軍兩路進犯閩海面日艦結集百餘艘
page 3	英大使抵滬否認中英軍事同盟
page 3	日在越南陰謀我方嚴密注視
page 4	蘇聯對保嚴厲警告認為德軍入保足以擴大戰禍希特勒忽派一特使飛抵土京
page 4	美凍結保存款
page 4	薩隆尼加警報
page 4	租借法案冗長辯論政府正謀早日結束傳已准備接納一項修正案
page 4	希軍沉著應戰義軍反攻又敗義屬索馬利蘭首府危殆
page 4	阿爾方索遺體安葬義王族衣喪服觀禮
page 4	德機集中轟炸英港口設備藉以增加英國航運困難
page 4	前加駐法使館職員僕僕英法間負有秘密使命兩度晤見貝當達蘭又赴巴黎談判
page 4	羅斯福總統感冒仍未痊愈
page 4	重申抗建決心
page 4	東京談判餘波
page 5	開發鳳山河灌溉區桂籌組墾殖公司成立創立會集資一百五十萬那波水利工程已完成
page 5	粵省婦女界紀念三八節通過遊藝節目及募捐辦法
page 5	湘省一切建設均有長足進展商務暢通人民生活安定王應榆視察後抵桂談片
page 5	美僑駕小帆船橫渡太平洋
page 5	曲江等縣禁絕娼妓限三月底完成
page 5	上海日軍拉伕繼續蔓延中蘭路永安紗廠成集中營少壯被拉老弱轉輾溝壑
page 5	中山日軍續增三千餘名
page 5	我突襲龍崗殲滅日兵一百餘人
page 6	我在港設領事館籌備工作大致完竣首任總領事人選尚未定副領事將有五人至六人
page 6	中國紅十字會增強行政機構潘小萼兼總辦事處處長資送入學儲備醫務人材
page 6	失蹤中航機尋獲遺跡在湖南廣西邊境
page 6	富勵士氏回局長任麥基利哥將開始調查
page 6	移民局在渝設辦事處
page 6	本港藝術界昨歡讌梁又銘
page 6	記者公會昨舉行會員大會增選理事及監事十八人決向國內主管機關立案
page 6	擔桿山島日軍築砲台某船主曾見該處有小艇登陸之日軍不過數百人
page 6	明日立法局討論新娛樂稅通過後由四月一日實施票價四仙以下始免收費
page 6	保衛團日內出動經訓練完畢者二百餘人將來再經訓練發給槍械
page 6	美義麥百噸本月中旬抵港
page 6	斯義桂個人歌樂會
page 6	新運會換物會明日正午開幕
page 7	督憲杯華聯戰陣定期開會遴選十日下午假座勝期酒店舉行西聯軍馬今日可產生
page 7	白蘿仙杯賽傑志出師迎戰尖沙嘴
page 7	青支籃球賽定期開始
page 7	恩德杯賽今晚開會議
page 7	本週足球比賽節目
page 7	協會致函六會派員商討修章
page 7	美菲荷匯牌價略縮英匯沉寂申匯略淡
page 7	股票市況穩靜昨日成交五萬餘元
page 7	四四金市先靜後穩
