page 2	由義希戰局說到義大利
page 3	龍門港日艦均遁去南路一帶完全肅清贛北我軍正向瑞昌反攻中
page 3	在越日軍逮捕美記者并指揮越方壓迫美商
page 3	大東亞膨脹澳洲亦被列入日本野心無止境
page 3	邕江通航黃主席赴龍州
page 3	整飭紀綱國府令各機關注意
page 3	蔣夫人對美廣播辭美婦女界感動甚深
page 3	英再勸告僑民速由日撤退在日軍侵佔區英僑尚未再接是項勸告
page 3	日機轟炸威脅下我公路運輸暢通龍主席談我國之偉力並揭發日本南進陰謀
page 3	賀耀組返渝
page 3	上海綁匪指使有人贖款須分六成
page 3	歐戰特約通訊大時代的巴黎十三
page 3	日軍部喉舌警告近衛勿令現狀派存在應澈底改革政治
page 3	資助僑胞回國升學
page 3	僑胞經營緬茶市場貿易額逾二萬萬
page 3	各地紀念
page 3	首屆防空節蔣委長訓詞陪都紀念會情況甚熱烈
page 4	希軍空前勝利佔科爾加繼續猛進雅典民眾歡欣若狂義軍部撤換大批軍官
page 4	羅總理抵柏林
page 4	土國加緊警戒
page 4	英王及首外兩相發表重要演說決予希臘以有效援助打擊德義之侵略行動
page 4	烏拉圭參院反對美烏談判不批准借款建築根據地
page 4	美戴斯委員會調查納粹活動海通社為重要宣傳機關
page 4	傳維希法政府將遷凡爾賽美將任潘興為駐法大使
page 4	美女教士在日被捕格魯允予營救
page 4	十足無聊
page 4	並非偶然
page 4	羅南將舉行商務談判
page 4	法國人民情緒大多擁護英國
page 4	抗戰資源中的鎢銻錫二
page 4	德國外交仍極活動援義方式尚費斟酌
page 5	今日甲組賽主力戰南華海軍會師加山快活谷中星島戰警察界限街頭光華逢約瑟米杜息對士葛雙方勢均力敵
page 5	星島戰警察
page 5	光華逢約瑟
page 5	南華征澳凱旋歸來最後一戰勇克聯隊
page 5	傳利沙上訴獲勝利明年元旦恢復出場 
page 5	星島雄師亦將出征
page 5	德權鼎小球冠軍決戰今日開始角逐
page 5	學界籃球兩場激戰相差均是兩分
page 5	督憲杯初賽前夕的感想
page 5	南華對海軍
page 6	港九各街段保衛團隊陸續成立徵求團員期限家為十天預料農曆年關即可出勤
page 6	各段紛紛舉出團員
page 6	保衛團團員志願書
page 6	送入警校訓練三週
page 6	中國文化協進會文化講座定期開課所定科目適合大眾要求主講教授皆為碩學之士
page 6	李清泉公子來港迎運父柩返菲 
page 6	皇室行八樓百樂門跳舞廳特聘專家裝飾華麗寬敞擬趕於十二月十日開幕
page 6	嚤囉下街天和椰子棧火警損失不多椰子被頑童拾去曾向全安公司購火險千元
page 6	港副按察司連素在反港途中病逝輔政司署昨日正式發表噩耗傳來知好皆為悼惜
page 6	後備警察
page 6	防空人員
page 6	捕獲積犯
page 6	小童行搶
page 6	駐港簽證處布告港僑赴越須知移民須有中華民國護照或港府准予登陸之文件
page 6	兒童劇場明日開幕
page 6	偷竊書信
page 6	港鯊客貨運擁擠天一號輪加入航行載貨東江一帶行旅異常便利
page 6	李星衢等昨參觀堅民公司
page 6	已疏散英婦孺目前不准返港港府已得英殖民部復電遠東局勢尚無改善象徵
page 6	粵當局歡迎僑團返粵參觀視察省內建設進行投資各縣現設立僑民指導處
page 6	港澳航運日趨不景各輪船將減少班次
page 6	關德興在菲律賓
page 7	欽縣克復地方正趕辦善後義民登記者三千餘人南路籌組欽防慰問團
page 7	我軍克復欽城經過
page 7	欽縣縣長入城善後
page 7	瓊崖日軍最近動態
page 7	麥子浩發明水力低壓發動機在桂試驗頗為滿意
page 7	桂下年度擴充植桐指定三十二縣實施
page 7	四川橫斷記二
page 7	桂林籌建新市區建委會有四項決定
page 7	西營寸金橋設招待所輸送站辦理難民華僑歸國事務戰區退出教員百餘赴韶
page 7	戴古赴廣州灣前當地忙於戒備法艦一般駛灣保護陳斯靜靈柩運灣日內開祭
page 7	渝文化工人登記已近二千人將予以組訓編隊
page 7	股票沉寂成交三千餘元
page 7	外匯牌價不動美匯市況黯淡
page 7	四四金市仍乏生氣
page 7	國幣市況依然穩定
page 7	重慶康定無線電話交部已開放
