page 2	歐戰又一教訓
page 3	豫鄂會戰又一階段日軍增援企圖北竄棗陽外圍再度展開大血戰我軍以機動戰術大舉圍殲
page 3	日機再度襲渝又遭我痛擊一架墜落兩架重傷
page 3	僑胞陳竹娘愛國情殷匯款回國慰勞將士
page 3	駐華比大使呼籲援助為比國紅十字會募款
page 3	美記者著文論中蘇關係蘇聯援華不出商務範圍軍事顧問亦能恪守本分
page 3	遷桂工聯會電陳嘉庚歡迎蒞桂參觀指導
page 3	經濟部翁部長下令誥誡所屬持躬必須清廉治事務求公正如有徇私舞弊查出定必重懲
page 3	川省禁烟成績甚桂
page 3	南僑慰勞團在贛慰勞榮譽兵士
page 3	常錫一帶盜匪橫行富戶祖墳多被發掘事主不敢下鄉收租
page 3	重慶掃蕩報論河北災情
page 3	中央決撥巨款充實司法機構先由川滇黔等九省實施
page 3	日本憲兵搜查滬西捕去暴徒八人
page 3	王曉簌在渝視察童軍團部
page 3	英眾院辯論中國問題議員注意我捷音
page 3	開封我志士夜襲日本特務機關目標高田竟被倖免
page 3	荷印問題德國答覆日本牒文日官方竟別有會意
page 3	莫斯科電台定期對我特別播音歌曲音樂俱屬名作
page 3	政務巡視團一組抵湘沅陵
page 3	甘豫贛湘四省設銓聚處定本年內成立
page 3	行政院例會粵省委吳飛免職
page 3	日偽的和平謠諑
page 3	京滬路日軍檢查忽嚴傳目的為找外快
page 3	粵桂日軍蠢動受創
page 3	陽城近郊正激戰中
page 4	法軍克復阿拉松末河大戰仍猛烈魏剛親臨前線指揮德機轟炸英海峽區域
page 4	海峽附近將有激戰英法具有絕對信心
page 4	美國朝野關懷歐洲戰局情況
page 4	萊諾報告戰況愷陳過去錯誤
page 4	德夫古柏廣播舉陳三項事實
page 4	美兩院委會主席提海軍撥款案增加海軍飛機一萬架加緊鞏固太平洋防務
page 4	英國王弟在前線被炸傷
page 4	法境難民達五百萬慘況難以形容
page 4	法近東司令日間將可委出竇赫呼聲最高
page 4	德機屢次侵入瑞典領空瑞外部將提抗議
page 4	注意義大利
page 4	日本的邏輯
page 4	英議會一幕
page 4	英當局嚴防德國跳傘部隊如遇此輩格殺勿論加派警探保護王族
page 4	地中海局勢仍緊直布羅陀婦孺奉令疏散英經濟首度代表赴羅馬
page 4	英軍精神奮發空戰依然激烈
page 5	南僑總會製藥廠數月後即可出品現與中國藥產提煉公司合作總會通告僑眾希望繼續捐助
page 5	西江上下游形勢仍緊張廣州日軍主力向北移動我軍事當局已嚴加戒備
page 5	各縣定年底禁絕娼妓省府特訂定辦法
page 5	中央派員抵粵發展小工業鼓勵民眾興辦日常必需品
page 5	川省通令各校整頓學風嚴督各校校長認真辦理責成地方官吏切實輔導
page 5	桂省改進農業設農林畜種墾殖試驗場所縮小督導範圍取銷轉導區
page 5	浙西行署決定推廣戰時民教本年內辦足民校三千所杭嘉等五縣設補習中學
page 5	掃除文盲辦法
page 5	登記技術人員
page 5	擴大禁煙紀念
page 5	槍決偽軍隊長
page 5	成立義民墾區
page 5	發展各縣空防
page 5	星洲文化界追悼蔡元培
page 5	全川學生集中訓練已定七月間入營
page 5	西康日記九五
page 5	第四編康定及其附過西康風俗概述
page 5	一○八赴金蓋坪途中
page 6	本港各團體昨歡送英服務團中英友誼得藉此充分表現拳拳相勉同為反侵略努力
page 6	廣大學生開會歡送
page 6	學振會設茶會歡迎
page 6	關素人術國內現況
page 6	華人代表開會歡送
page 6	華商總會演劇籌款勞軍聘請蘇州妹到場客串
page 6	鄒敏初遺體昨日大殮各界名流親往弔唁本月二十六日出殯
page 6	音樂座談會旁聽記林語堂氏翩然蒞止大受歡迎對我國女性之活動不勝驚異
page 6	千金一笑
page 6	瑞士小姐
page 6	廣東民族英雄集第一集書目選定文化協會舉行第四次會議
page 6	明日例假郵局變更辦公時間
page 6	中等學校學生遺失畢業證書證明資格辦法粵教廳規定分寄各僑校證明人應負法律上責任
page 6	林語堂離港記
page 6	討論促進中英友誼
page 7	飛剪機一誤再誤東方出師被阻如天氣轉晴明晨即可飛岷戰士名單仍待行前始發表
page 7	成都五大聯運會萬公尺跑出色李學高榮膺本屆冠軍觀眾熱烈凡五千餘人
page 7	九龍學界籃球開代表會首週賽程發表
page 7	青年甲了得打倒培英長虹虹勝悠悠
page 7	美菲荷匯牌價回縮英匯沉寂申匯穩定
page 7	八九金市轉趨堅挺 
page 7	國幣仍穩最高價二七五
page 7	股票市況傾頹人心益淡買賣寥落 
page 7	滬西聯會對麗都施非法壓迫無理由停止孟蔣出場權麗都依章抗議竟遭拒絕
page 7	學界排球保羅輕取西南
page 7	乒乓義演
page 7	斥劉長春等
