page 2	社評論鬥志
page 3	太行山兩側激戰中日軍又被殲二千餘晉東北及冀省我軍出擊獲勝
page 3	赫爾國務卿談話美注視日荷談判對原料偷運軸心將採行動
page 3	美報之觀察希特勒將迫日參戰以便主動壓迫美國
page 3	德義使節訪晤大橋
page 3	泰總理接見英使商外交問題
page 3	華盛頓郵報評中美換函足以掃除最近之謠言足以粉碎日人之迷夢
page 3	不列顛之戰
page 3	嚴辦貪污粵普寧縣長扣留
page 3	節儲實踐運動陪都各界熱烈推行
page 3	美駐菲行政官繼任人選未定
page 3	旌德歡送出征戰士
page 3	澄田返越日軍一部撤離河內
page 3	陪都空防愈臻嚴密
page 3	美大使拜會我政府長官
page 3	四行籌辦工業貸款總數逾一億元
page 3	兩大學學生反對總考與平日考試重複且不能測驗學力
page 3	甘積極建設盼專家前往服務
page 3	美國加緊援助飛機分批來華飛行員已陸續抵華投效
page 3	滑翔運動皖青年團提倡
page 3	贛改良造紙將推銷各省
page 3	桂南駐軍協助民眾耕作
page 3	糧食部下週成立重要職員均已內定
page 4	聚利亞邊境英國大軍雲集德遊客紛紛赴聚利亞
page 4	德國慫恿維蘇希武力對抗英國法派空軍赴敘利亞
page 4	蓋達搖旗吶喊謂屆行動時機
page 4	英輪損失過半美緊爭援助美派輪代英行駛加澳紐諾克斯氏鼓勵船廠努力生產
page 4	美總統接見魏南會談歷一小時霍金斯亦在座
page 4	美國民意測驗結果半數贊成海軍護航
page 4	五月二十七日美總統廣播全文三
page 4	英工黨領袖主張作戰到底阿特裏在大會演說表示政府絕未動搖
page 4	克里特島之戰澳紐軍之損失失跡者約餘人
page 4	威廉二世病逝曾三見德國作生死之鬥爭遺體將安葬荷蘭
page 4	美陸軍部訂造大批轟炸機總額達三萬萬餘元期達到每月出機五百架目的
page 4	羅斯福總統闡述徵用私產法目的
page 4	法人不甘屈辱巴黎德人常遭夜襲
page 4	法駐土使館兩館員辭職反對達蘭投德
page 4	貝當送禮
page 4	威廉二世逝世
page 4	馬夏爾康華爾被譽為英軍精幹將領
page 5	修築韶興公路初步工程已完成新闢之星坪路月底將可通車南路各省縣道亦已測量完竣
page 5	民廳積極辦理禁煙善後工作發勤各界舉行煙毒總檢舉並限期抽查斷癮煙民
page 5	粵東僑匯規定運送費率
page 5	粵省糧食實行統籌配銷糧管局兼辦軍糧供應戰區購糧委會將撤銷
page 5	澈底清勦粵北邊匪連縣連山設立聯防處
page 5	馬超俊等經西江返韶
page 5	曲江等十九縣實施強迫入學教廳嘉獎梅縣民眾損資興學
page 5	新會團隊猛烈反攻古井日軍狼狽潰退
page 5	巡察團嚴懲兵役舞弊虐待新兵強拉頂替犯事官兵扣留訊辦
page 6	穀米專營局主席表示將盡力貶低米價專營後米價視運費而定登記米店達六百五十間
page 6	開發大嶼山計劃進行經過詳情決定利私人資本開發司徒永覺在中委會報告
page 6	鯊魚涌實地視察某輪船公司夥伴返港談該處仍駐有日偽軍數百
page 6	全港電話總數八萬八千八百餘號接駁不靈現象之發生因使用過多談話過長
page 6	福克斯今日始可抵港飛機因風延誤碼率
page 6	各酒樓茶室決改建水廁
page 6	糧食統制專員招待各罐頭伙食商通知取銷每月呈報辦法改令貯存定量罐頭備用
page 6	霍亂近又活躍
page 6	職業界募債七日出發婦女界函聘隊長
page 6	督轅石柱傾圯花崗石樑亦隨之崩落幸未有傷人事件發生
page 6	港學生美術勞作昨日開始展覽各校學生參觀者甚踴躍作品分組陳列琳琅滿目
page 6	本年首次颶風警告在黃海方面醞釀
page 6	專破鐵閘匪三人被獲彼等利用氫氣吹管等
page 6	醫科畢業生教部函請返國服務嶺大經已著手遣送
page 6	跑馬地闢設大溜冰場定本月中旬開幕
page 6	十萬青年致美總統書日內航寄美國全部簽名裝訂成百餘頁一部簽名未能收回實屬遺憾
page 6	銀行實業界擬組交易場買賣債券股票
page 7	中西首次水上義演下月廿六舉行前夜會議決定比賽七大項目內分四組全部多係接力對抗
page 7	南華隊初遭敗績星軍聯勝仗四比二南華失常敗得慘球迷飽受刺激同聲一哭
page 7	力對抗南華泳場明晚開水藝會
page 7	全港中學籃球賽漢華勇克培正思思青商兩隊均獲勝利今天按表仍有兩場舉行
page 7	最後一球失利冤枉
page 7	夏令籃球下週開始報名球員資格照舊
