page 1	社評論修正聯合國憲章的不當
page 2	副總統選舉風波漸平息國大續休會待局勢澄清蔣主席昨召見李宗仁白崇禧
page 2	三候選人的態度李宗仁競選與否是我的權利孫科不再堅持退讓但不競了程潛只希望大會能順利進行
page 2	民青兩黨聯合聲明對於選舉紛擾表示遺憾希望趕快解決以重觀瞻
page 2	張君勱談話法治不能意氣用事代表投票應當自由
page 2	一波未平一波又起立委選舉糾紛在醞釀中
page 2	簽署當選國代昨領當選證書每人拿到旅費五千萬
page 2	上海選舉官司四件都解決了
page 2	總統就職大赦是否包括漢奸某司法界人士有解釋
page 2	論政治家的風度中
page 2	司法官脫黨政院研究中
page 2	都市計畫委會內政中將設立
page 2	盟總代表紛紛來華有的打算商洽中日貿易有的抵滬參觀各大紗廠
page 2	平津市長傳將易人
page 2	兩機構裁撤
page 2	寶鷄東北有戰事國軍奪回扶風長武魯境濰縣局勢危殆
page 2	中航中日航線定明天試航
page 2	加大使抵台
page 2	靖江不靖兩軍砲戰
page 2	美報論中國戰局認為打仗不該只顧面子
page 2	開發華南輪廓畫出軍事經濟雙管齊下美軍顧問團將擔任重要角色傳這是司徒日前南來的任務
page 2	張篤倫講治鄂方針
page 2	粵漢路常遇劫路局加強戒備將派裝甲車隨車保護
page 2	縣長們的苦悶無權無兵卻負重大責任待遇太低縣級人員艱苦避免徵兵壯丁都逃走了
page 2	廣州手車夫集團大門毆三人受傷五十人被拘
page 2	薩拉柴執政廿年澳門舉行慶祝會
page 2	穗昨檢查汽車街頭汽車排列如長蛇陣市民感到詫異　足團觀
page 2	五九日環蝕美觀測隊已抵中國將在浙境武康設站工作中央研究也組觀測隊
page 2	生無溫暖同情死無葬身之地穗教師請闢教師墳場
page 2	保警隊名額依然難湊足警保處要派員下鄉督徵
page 2	下月配米價格提高每市擔三百六十萬元穗郊區及汕頭將配米粵穗三糧食機關開會決定
page 3	美國將實行軍事援歐桂魯門即向國會提出計畫以軍火運給西歐同盟五國
page 3	紀念米蘭解放義共黨員遊行齊集墨魔處死廣場示威警察禁止舉行引起衝突
page 3	德國的前途蘇指英美法無權決定
page 3	翻觖斗的外交
page 3	英國有多強下
page 3	美國援助物資首批運抵荷蘭
page 3	承認暹新政府我尚未採行動
page 3	千夫所指的佛哥朗十五國社會黨大會決議要求推翻他的獨裁政權
page 3	傳三國外長將會晤檢討世局商議抗共策略
page 3	日對韓僑態度強硬指騷動是共黨主使神戶被捕韓人將近一千朝鮮僑民會發言人表明立場
page 3	美當局袒護日人說韓僑罪有應得
page 3	美方積極籌備普選南韓騷動未已濟州城已死了四十九人美機起飛被人開槍射擊
page 3	暹局變動下的華僑
page 3	聯合國不容聖城遭劫擬採取緊急防護措置蘇聯也終止對託管委會抵制
page 3	猶人繼續進攻雅法阿聯軍即開赴聖地
page 3	全世界基督徒醞釀聯合運動
page 3	英將建國家劇院擬請議會撥款一百萬鎊
page 3	印度制憲完成制憲大會通過新憲法
page 3	英王伉儷銀婚紀念倫敦昨有慶祝儀式
page 3	偷看裸體飛機師被控告調戲女人售貨員吃苦頭
page 3	星洲工潮未了只有小部分工人復工
page 4	交通顧問委員會建議改善本港交通辦法多增單程馬路加設停車處禁止行人隨意穿馬路
page 4	中區不准鳴喇叭尚有幾點要考慮
page 4	華商會值理開會革新派將請審查新會員
page 4	鑾貪隆昨日來港將赴廣州
page 4	區士觀即將調任
page 4	界限街幾百農民今日派代表請願要求暫緩讓出現有耕地
page 4	人力車夫談判惡化
page 4	一週以來生死登記
page 4	水水黃泥涌水塘有漏洞九龍截水渠將延長
page 4	浪費食水罰百五十元
page 4	上海怡和紗廠將在界限街設廠
page 4	英王英后銀婚紀念本港海面昨放烟火
page 4	總統就職日各社團籌備慶祝
page 4	國際航空協會查代理人資格
page 4	出售偽暹幣萬餘銖被告說是從滬運來
page 4	買進賣出發現破綻
page 4	青年作品展覽今日開始舉行定廿九日當眾評選送英展覽
page 4	香港的扒手二
page 4	暹文差一筆
page 4	徐繼莊引渡案續審證人陳述立達借款經過
page 4	兩警被控勒索證據不足無罪釋放被告說原告曾偷他的錢
page 4	鵪鶉吹氣被罰百元偷香口膠坐牢一年吃肥皂水自殺獲救
page 4	友醉代開車警士發現無牌照被罰二百五十元
page 4	勞工處公布五月份津貼
page 4	肥婆蘇案證人尚多
page 5	資金南流日增申省厦匯同步下游上海黃金最高四千三百萬元廣州港紙最高十四萬六千元
page 5	申匯賣風盛現鈔滾滾來
page 5	穗港紙暴升廈門匯跌價
page 5	黃金美匯牛皮股市成交五十六萬餘元
page 5	美國三月份金銀輸出入統計輸出黃金八萬二千盎斯輸入黃金三百萬餘盎斯
page 5	貢紙疲軟
page 5	仰光的金市與匯市仰光特約通訊
page 5	走私者的樂園吃金的大皮囊
page 5	行局匯率昨起修正行局調整內匯率
page 5	金市穩定沒有炒家
page 5	通常買賣兩種飾金
page 5	仰光金市三大特色
page 5	緬獨立後貨幣種類
page 5	卻說美金用武無地
page 5	國幣匯價永遠看跌
page 5	仰民信局包辦匯兌
page 5	信局牌價看港市價
page 5	公債抽籤還本規定起訖日期
page 5	有獎儲券開始清償
page 5	香港海關宣布禁止洋釘出口聞將停供捷貨外匯
page 5	菲島僑胞對國幣貶值失望國幣百萬折換菲幣三元
page 5	總統登台米價下跌
page 5	輸入證炒賣行市通常為百分之五十至八十
page 5	港穗廈澳貿易活躍
page 5	國內工廠生產停頓聞國內大多數工廠
page 5	漢市金價破四千萬由於放棄競選所引起
page 5	物價總指數倍漲桐油收購價提高
page 6	港僑參加全運會足球選手正式產生共十五人雷瑞熊領對勝利盾華聯陣容排定
page 6	德華盾小足球賽球證打贏記者三比一球王建兩功伊景光一脚破光蛋
page 6	世運足球隊改卅日動程
page 6	乙組足球爭亞軍改下月二日舉行
page 6	網球比賽昨又改期
page 6	史堅拿在星洲盛讚馮景祥並談遠東埠際球賽盼馬來亞派隊參加
page 6	體壇尖事幕後客
page 6	劉景琨破五千公尺全國紀錄
page 6	排球預選急轉直下足球領隊突爆冷門水球籌款七上八落籃球組軍水到渠成
page 6	全運會與運會六
page 6	粵穗全運選手首批今天出發職員選手共九十六人本月底全部開拔完竣
page 6	少數觸雷代表願意自費參加
page 6	拳擊選手參加全運楊邦服擔任領隊
page 6	一批檢舉名單
page 6	馬華全運選手明起分批動程羽球代表畧有變更
page 6	美教育獎學金推定候選五人名單送去仍待圈選
page 6	華北選手動程赴滬
page 6	四位遊英學生兩全已經返港英國人民都夠刻苦英王英後后沒有派頭
page 6	台灣選手抵滬老將張星賢隨軍
page 6	傑志體育會舉行祝捷宴並歡送世運選手
page 7	競選的一項副產品瓊島修譜之風盛行各地紛出現修譜辦事處立委選舉韓漢藩王俊等得票較多
page 7	隊副回鄉辦案鄉人拒絕入境架起機槍不許進村南海官窰緊張一幕
page 7	賭債事小罰款事大
page 7	不堪揩油商車停駛粵北坑口停車數十
page 7	博羅黃瓜會縣府禁演戲
page 7	團隊抓人出錢可放鶴山自衛隊的辦法
page 7	南海徵新兵不及配額十分之一
page 7	瓊島清剿部副司令赴西路督戰參謀長由鄭彬接充
page 7	上饒診治瘋病寡婦過火焰山
page 7	海南實業公司最近即可成立又請四日人幫忙設計
page 7	台灣到上海船上巧克力專家失踪
page 7	瀘縣一學校師生共五人
page 7	四川奇聞何多石砫出了奇女子富順又有怪男孩
page 7	為了兒女私情兩街人起械鬥擲手榴彈傷三人廣西六塘鎮近事
page 7	南丹一瘋牛撞傷十三人
page 7	開封拆民房花了三百億有辦法的人向東逃
page 7	金山寺燒了多少三十六處一百九十九間
page 7	警察斷案由雞作主
page 7	秘書彷彿失竊劉媽被逼跳井
page 7	副總統與賭
