page 1	德國往那裏走
page 2	馬歇爾覆莫洛托夫拒絕討論中國局勢建議交換有關莫斯科宣言內涉及中國部份規定之情報並以副本一份送達中國
page 2	反對干涉我國內政各地民眾續有表示
page 2	白崇禧飛抵台灣宣布處理台變基本原則
page 2	民盟發表書面談話說明立場及對時局意見
page 2	參加政府問題民社黨今開中常會討論草擬建議書將提交政府
page 2	羅隆基答問
page 2	粵南召開治安會議羅卓英視察粵東後返抵省垣據談各地官吏仍多貪污情事
page 2	國軍續向泰安外圍推進陝北有接觸共軍向南攻
page 2	王鴻韶談戰局
page 2	冀熱察聯防尚未具體化
page 2	李宗仁昨由平飛京
page 2	桂永清飛青島公幹並將視察海軍學校週後返京鮑毅德昨日乘旗艦抵青訪問
page 2	救濟物資運共區黃河三人委會昨開會
page 2	黃水流歸故道水頭尚未到魯境舊漕
page 2	三中全會昨舉行紀念週蔣總裁檢討內外環境勉黨員擔負建國重任大會昨日聽取軍事報告
page 2	整軍建軍進行情形陳誠向中全會提出報告
page 2	泛亞洲會議蔣主席甚為重視召見代表團團員
page 2	滬渝線一貨機失事在漢口機場起飛忽下墜正副機師及報務員受傷
page 2	青年團二屆指導員評議員聘定
page 2	本報駐台灣辦事處一度被警備部封閉
page 2	南昌鼠疫市防疫會正防堵中
page 3	外長會議進入第二週討論統一德國經濟美提組德臨時政府計劃
page 3	德政黨從事團結各黨正謀召開聯席會議以奠定中央政府之基礎
page 3	台灣善後問題
page 3	越南法軍佔領南定蒙開
page 3	印度旁省局勢惡化
page 3	紀念羅斯福小白宮將成美聖地
page 3	英埃蘇丹總督霍羅培繼任
page 3	巴勒斯坦宣布解嚴
page 3	麥帥發表重要談話恢復日本對外貿易紡織工業必須立即擴充賠償問題須有若干伸縮
page 3	安理會辯論託管問題美將拒絕英澳修正案
page 3	巴拉圭政府下令討伐叛軍京城居民大多對叛軍同情
page 3	叛亂內幕塔斯社如是說
page 3	美將擴大防蘇政策貸款援助計劃遍及東歐各國新中東政策立法草案已擬成
page 3	為匈牙利內政問題美將再度譴責蘇聯傳已擬成措辭嚴峻之照會
page 3	日光節約英提早實行
page 3	機車八十輛將由歐分兩次運華
page 3	英閣討論杜氏演說
page 3	莫斯科電台抨擊社魯門
page 3	皖北災情甚重蚌埠阜陽間一片荒涼
page 3	穗各報復刊勞資糾紛解決
page 3	土耳其靜候援助
page 3	杭州車潮平息
page 3	重慶行情
page 4	楊思橋匪警衝突雙方開槍接觸約十分鍾現正查究該匪來源動機
page 4	啟明等九家電珠廠工人因差額金罷工新華火柴廠勞資協議解雇
page 4	電鍍業資方毀約工人向社局控告
page 4	煤業公會要求增加配煤
page 4	房地產業請願要求政府變通房租限額
page 4	美新聞處圕週一起改訂聞放時間上午九時至下午七時滬市美國新聞處之圖
page 4	火車竊犯初審兩個都是大赦犯一個承認復犯一個否認
page 4	社會救濟事業協會請接辦行總救濟事宜並決舉辦急症貸金
page 4	旅行華南考察工商太平洋旅行社舉辦
page 4	無錫同鄉會改建廳樓定期招標
page 4	婦女工藝品合作社定期開成立會
page 4	職業婦女節女青年會今日聚餐慶祝
page 4	快速部隊會師汕隊戰恩卡斯
page 4	滬星乒乓隊南征港粵澳
page 4	大學乒乓賽今日揭幕
page 4	大學籃球賽滬江對大同
page 4	足球聯賽本週秩序
page 4	暨大自治會發表護權運動聲明
page 4	同濟高職昨日罷課
page 4	私校收費數額教局抽查完畢
page 4	兒童圖書館將於兒童節舉行讀物展覽
page 4	中英文化的交流英科學家薛樂即來華履新
