page 2	社評美日商約宣布廢止
page 3	美國對日當頭一棒宣布廢止美日商約為禁止運載原料赴日先聲日態度狼狽證券市場震動
page 3	美輿論擁護表示美國強硬態度
page 3	倫敦感興奮認將影響東京談判
page 3	日侈言報復謂擬廢除對美特惠
page 3	哈勒欣河沿岸戰事猛烈展開日機數十架被擊落
page 3	Ｘ方之末路竟乞助於上芝居華中傀儡作應聲蟲
page 3	汪逆走狗又恫嚇中美日報暴動案共拘捕十一人
page 3	晉省黨務恢復推進活動者五十餘縣各區縣黨員踴躍報到
page 3	周鯁生發表對英日談判意見希望英方謹慎將事
page 3	魚藏鈔在滬被搜破獲
page 3	蘇境我軍進攻南京泰縣被Ｘ機慘炸
page 3	趙冕任桂省府顧問
page 3	鄂中我軍渡河反攻潛江附近Ｘ被我擊退
page 3	英對華成立新信用借欵雙方已於上週簽約建設材料繼續供給
page 3	蟻光炎謁蔣委長致敬並獻金二萬元
page 3	西康國民日報定九月初出版
page 3	博愛偽軍反正
page 4	津租界警權問題英日傳又妥協日在華軍人得寸進尺又圖以上海步津後塵
page 4	津封鎖加緊塘沽英僑被逐
page 4	英眾院討論東京協定問題
page 4	西內爭仍未息弗朗哥排斥異己復辟說又復盛傳
page 4	猶太醫士願來華服務英名醫設宴招待代彼等籲請援助
page 4	莫斯科談判有急轉直下勢英法政府再發新訓令最後難題可望予澄清
page 4	向暹羅當局進一言五應該與中國攜手共求進步
page 4	藝術史學會在英開幕謝壽康出席報告
page 4	英貸款額小波感失望
page 4	倫敦利物浦發生炸彈案愛總理對此舉表不滿阻止犯罪案三讀通過
page 4	未來的歐洲某著名英國人推測二次大戰議和條件
page 4	柏林舉行防空演習
page 4	抵制日貨馬來之成績
page 4	敘利亞破獲暗殺陰謀五人被逮捕
page 4	美兩黨主席連袂赴歐
page 4	荷新閣危機議會反對派竟佔大多數
page 4	收買小熱昏
page 4	莫斯科談話進步
page 4	美僑被誤會
page 5	Ｘ偽昨再增兵猛犯橫門激戰甚烈張惠長親赴第四區督戰Ｘ機又擊岐關車岐澳昨開夜班
page 5	粵桂邊境的八排徭族
page 5	軍官團三千戰士深入民間協助社訓粵北十縣先行試辦
page 5	粵南Ｘ艦焚劫船隻
page 5	博羅取締偽軍
page 6	立法局會議港督解釋英對華政策不變強迫兵役法昨日已通過陸軍司令力言保衛香港
page 6	九龍柯士甸道千餘住客被迫遷港九住客聯合會派員調查依據保障條例作個別研究
page 6	昨晚管制燈火假想敵機進襲全港黑暗多處中彈起火港督出巡消防隊員出動
page 6	女青年會組織業婦女聯誼會手車伕成立互助社
page 6	水上的新女性參加識字班並將剪辮準備投向祖國的懷抱
page 6	國茶貨少價昂茶室等將增茶價增加若干日間開會決定壽眉茶每擔漲至三百元
page 6	中青籌賑會八一三下鄉宣傳分隊赴長洲香港仔等處方式有演講歌詠戲劇等
page 6	全民抗戰社徵集慰勞信已超過十萬封
page 6	天津出入口貨無形中取銷限制港英輪船公司接津方電準備派輪恢復往日班期
page 6	香港聯青社昨日餐敘請普愛德演講
page 6	英庚款官費生在港考試完竣
page 7	網球名將多人秋冬間赴印表演印代表在國際網球協會中就近接商我國許承基亦被邀請參加
page 7	蘇聯慶祝體育節各地開運動會二千四百公里汽車賽業已分別開始爭逐中
page 7	溫布爾頓比賽後煮酒論英雄這裏有很多的覆雜問題
page 7	十七歲童子釣竿跳高成功在幹或死
page 7	國際棒球賽在醞釀中下月可實現
page 7	天曉得美台杯選擇賽力古兩人慘敗
page 7	南遊日記
page 7	德權鼎小型球本週賽程昨編定公佈
page 7	喬加拳門影片將運到港環球公司攝製
page 7	零碎新聞
page 7	外匯牌價仍不動英美匯市先緊後穩申匯市再趨淡銀行拋出頗多
page 7	華僑樂用國貨港馬貿易激增過去半年內增加三百餘萬元馬運港貨物以樹膠柴薪多
page 7	八九金市大致穩定
page 7	股票市更鬆弛時局不定投機者多觀看全日成交僅得五萬餘元
