page 2	社評日本之南侵步驟
page 3	英美澳作重要討論菲島積極充實防務敵結集陸海軍南侵企圖益亟
page 3	我駐蘇邵大使訪晤莫洛托夫聞蘇向我保證援華政策不變
page 3	孫院長撰文論抗建國策
page 3	粵省組織節儲實踐會戰債勸募隊成立
page 3	滬租界變質工部局面目全非漢奸兩名竟獲充華董
page 3	袁履登被漢奸劫持
page 3	宋祖式氏寧死不屈鄂省府將予優卹
page 3	美國通信第三封
page 3	湘省頒行民生公約嚴禁囤積居奇
page 3	法根據地借予美國法副領事比比里向美總統之獻議
page 3	比利時大使歡宴我長官
page 3	粉碎日偽陰謀滬中交各行決繼續營業中行兩職員又被刺殉職
page 3	西貢汽油缺乏採分配制度大德能號駛返西貢
page 3	農林部撥款發展閩農產
page 3	崛切諷刺墨索里尼竟致賀義軍獲勝
page 3	敵經濟窘態美官方發表之報告
page 3	敵政府與軍部昨又舉行會議
page 3	英外長艾登餞別郭大使
page 3	日海次易人
page 3	嶺東我軍追擊汕尾殘敵肅清鄂北大洪山南激戰中
page 4	希北大戰展開英希軍堅守新陣地
page 4	美國防生產正順利推進中美船塢優先修理英軍艦美貨輪多艘將轉讓英國
page 4	加總理訪美總統聞將舉行重要會議
page 4	義輪五艘圖駛北非盡遭英艦擊沉里比亞沿岸亦遭砲轟德軍進攻多布魯克又被擊退
page 4	西北工業建設之一瞥二
page 4	英外相艾登與蘇使會談設法改進兩國關係目前難題仍在波羅的海
page 4	德又將發動外交攻勢西班牙將成活動中心
page 4	德機猛炸倫敦俯衝轟炸機極活動經濟專家斯丹氏被炸斃
page 4	德土將訂貿易協定巴本擬返柏林
page 4	赫爾闢謠並未勸愛爾蘭讓根據地與英
page 4	墨西哥地震損失極重大
page 4	羅斯福總統斥責匈牙利進侵南國毫無理由
page 4	南非黃金運抵美國共值一萬三千餘萬元
page 4	英國放鬆對法封鎖兩糧食船將由美赴馬賽義報展開反法運動
page 4	滬四行暫停營業
page 4	租界之變質
page 5	南洋閩僑代表大會主張澈底改進省政通過組織總會等要案廿八件決在星洲創辦南洋華僑師校
page 5	西康日記第十五編由麗江返昆明
page 5	粵北暴雨韶關東河大漲
page 5	省振會六工廠出品日見增加各廠義民工作成績優良
page 5	粵對入口煤油准予補稅銷售已完省稅者不得查緝
page 5	糧食增產計劃之一減種糯稻改植秈粳中央已通令各省辦理
page 5	粵省行改正收買白銀價格毫券一元值國幣八角四分推行券進行甚順利
page 6	鄭鐵如談滬四行停業不致牽連本港市場此間人心堅定國幣仍穩滬行職員當予必要保護
page 6	昨晚舉行燈火管制演習陸空軍演習扼守沿海敵艦圖闖入終被擊退
page 6	舊金山廣播電台中國廣播明晚開始約合本港下午三時三十分太平洋及國內各地均能收
page 6	省振會募得國幣四萬元將匯粵救濟難民
page 6	官米發售後購者極為擁擠制裁米商作弊已有辦法在未實施之前暫不公布
page 6	港澳振濟會組織社會服務處定期下月初正式成立代僑胞辦理委託事項
page 6	士大加大兩校同學會廿日歡宴鄺炳舜
page 6	航業界注意
page 6	王泉笙抵港或將赴渝一行
page 6	清華校友慶祝母校三十周年紀念廿七日晚舉行餐舞大會孟祿博士等將出席參加
page 6	調查移民局報告書已遞呈總督
page 6	培英中學
page 6	東江兵賑書畫展定期開幕
page 6	中華文教基金會今晨舉行年會將改選本屆董事及職員昨召開預備會聽取報告
page 6	梁又銘個展今日舉行何明華主持開幕禮
page 6	英大學生曾健士演講在華服務經驗
page 7	恩德杯排球義賽改在加山上演南華昨函覆允予借場收入撥歸華雄義學及服役團
page 7	遠征澳洲球員體重比較相宜李惠堂談澳洲足球情況
page 7	足球縱橫談十二
page 7	全港學振運動會廿一開各部會議
page 7	鐘聲女籃球在澳揚威昨已班師返港
page 7	公開籃球賽本屆繼續舉辦
page 7	華人游泳會旅行鑽石山
page 7	真光女中明日運動日
page 7	東方籃球隊返港後作義賽兩場
page 7	中英田徑對抗報名參加踴躍
page 7	五邑杯賽今日五場
page 7	全馬羽球賽在星舉行
page 7	美菲荷匯牌價稍縮申匯市況復略趨淡
page 7	股票略趨下游昨日成交一萬九千餘元
page 7	國幣市況繼續傾疲
