page 2	社評德義同盟後的國際大勢
page 3	蔣委員長視察災區官民合作團結益堅國府仍在重慶Ｘ謠無稽
page 3	重慶遭刼後政府努力善後輸送救濟慰問撫恤極度緊張中的工作
page 3	被炸災區巡視一頁慘痛的記載
page 3	不怕轟炸更要抗戰五月五日重慶航信
page 3	行政院會議三次內政會議決定延期舉行
page 3	平舟壯丁自動從軍殺Ｘ
page 3	昨日五九紀念滬愛國青年出動勸令各商店懸旗
page 3	廣州之Ｘ
page 3	大批Ｘ機昨日飛閩轟炸
page 3	華北偽幣政策失敗Ｘ目標轉向華中財部發言人發表意見認其新陰謀必歸失敗
page 3	我四面包圍南昌Ｘ圖在洞庭登陸未逞我空軍轟炸德安機場
page 3	滬Ｘ會議加緊壓迫言論
page 4	英大使訪蘇外長賡續英蘇談話英眾院議員督促政府早日完成英蘇法協定
page 4	英土協定日內即可公布法國亦將加入
page 4	德義軍事同盟下月初簽字義法西斯最高會議開會討論動員計劃虛張聲勢
page 4	Ｘ對歐外交圖乘機漁利有田報告滿口陳言爛調重光葵大碰英外相釘子
page 4	日機濫炸重慶不能摧毀中國本港英文南華早報著文痛斥此種殘殺平民行為
page 4	英當局表示將調解德波糾紛妥協政策傳又將復活波拒絕義出面調解議
page 4	英徵兵法案眾院二讀通過工黨修正案被否決
page 4	南在華利益請法代為保護
page 4	東京板橋區工廠失慎焚毀八家
page 4	西班牙宣布退盟已通知國聯會
page 4	溫莎公爵向美廣播呼籲世界和平大戰有重演今日之勢若不消弭將同歸於盡
page 4	奧蘭群島芬蘭決定設防已得德國同意
page 4	立陸軍總司令昨抵華沙談判立波合作
page 4	北歐四國外長在瑞典京城開會討論德所提建議
page 4	南攝政外長已抵義國與義當局舉行談話
page 4	大學學生借讀辦法暫時停止施用
page 4	Ｘ野心日張加緊南進政策劃一赤道北屬地管轄協助僑民作陰謀活動
page 4	闢惡謠
page 4	中英文化協會歡迎英使
page 5	會城殘Ｘ突圍不逞我軍一度衝入西門Ｘ僅恃東門高地據點頑抗我前仆後繼四面包圍掃蕩
page 5	Ｘ機濫炸結果汕市民渡海避難狂風覆舟英艦搶救相形之下乃見邦交
page 5	粵參議會仍趕十五日成立議長吳鼎新抵韶
page 5	官司山之役梁卓有功古鼎華呈請嘉獎
page 6	香港歐洲間貨運保險費減低地中海附加保險費取消間接原因為歐局略遲緩
page 6	領導僑商宣誓案華商總會未討論已函覆提議人不予舉行
page 6	河豚魚含有毒質司徒永覺勸告居民
page 6	印刷業商會成立聯絡同業感情推進文化第一屆執監委昨已選出
page 6	婦女兵災會閨秀名流義演貂蟬與紅樓夢兩劇演員內定六月一日起連演四晚
page 6	重演黃花崗賑聯會昨議決地點普慶戲院日期未定撥米三十包作散賑之用
page 6	中環街市攤位出投經過商人競爭租值超過底價當局年獲租值三十四萬
page 7	征菲二敗一勝埠際隊昨晨返港人不和地不利為失敗主因痛定思痛李惠堂一片感想
page 7	江干憶語
page 7	港埠際隊臨別表演四比一大破菲冠軍
page 7	公開網球雙打今日舉行決賽徐家兄弟對何家鎏李汝榮賽畢即頒獎明年再來算賬
