page 2	全國軍民的覺悟
page 3	粵贛戰場搏鬥方酣我軍克復新會舊三水高安Ｘ偷渡錦江不逞
page 3	一週戰況上三月三十日至四月五日軍事委員會發表
page 3	我國財政金融過去與現在一孔院長之重講演
page 3	我進攻武康已收復重要據點在城郊與Ｘ相持
page 3	南昌浩刧房屋多被焚燒民眾不堪蹂躪
page 3	英兩大使在滬會談性質重要法使離港赴滬會晤
page 3	英政府考慮保護在華利益伯特勒答覆議員質問
page 3	李逆耀華在小站被擊斃
page 3	滬公共租界漢奸活動遍貼反英標語
page 3	國民兵訓練軍委會決實施
page 3	Ｘ人新陰謀制定欺騙世界辦法今在華Ｘ尊切實執行
page 3	中條山南無Ｘ踪大武Ｘ北犯受重創
page 3	馬相伯先生百齡壽典渝隆重慶祝中樞要人均參加林主席致詞贊揚
page 3	民族掃墓節陝省府主席祭陵
page 3	躍馬橫戈紅粉陣人人爭道蔡金花
page 4	張伯倫將發表英波聯合宣言倫敦談話已成尾聲美國輿論轉趨積極
page 4	德義軍事當局會商密謀對付民主國傳海陸空軍秘密調動將向南西兩國施壓力
page 4	阿對義侵略野心決予以抵抗內閣考慮動員計劃義僑奉令開始撤退
page 4	張伯倫在眾院為海相辯護謂所發演詞出於不經意海相在貴院亦表示抱愧
page 4	美積極備戰瓊森謖美工業實質動員陸部徵募壯丁編後備隊
page 4	史汀生仗義執言痛斥侵略國家主張美廢棄孤立政策以經濟力量制止侵略
page 4	日本各種軍事費總觀察一
page 4	法航空部長返抵巴黎即晉謁達拉第報告赴英經過
page 4	Ｘ軍人干政要求內閣設立商務省並研究軍用器材價格
page 4	勒伯倫膺選連任法報深表滿意內閣將照例請辭
page 4	羅外長應邀本月中旬赴德並將續訪比法英義諸國
page 4	畢爾祿受命組織比新閣
page 4	Ｘ樞密院審查蘇日漁業協定對內容多不滿無法通過定明日再舉行臨時會議
page 4	祝馬相伯先生
page 4	史汀生氏的名言
page 5	Ｘ圖吞併四邑寧陽鐵路展開劇戰台山開平各地連日被Ｘ轟炸甚慘龍江龍山鄉民反正江門近郊激戰
page 5	在淪陷區工作五十天脫出海南島一
page 5	湘米抵粵
page 5	四邑左翼獲勝我克沙坪墟證實Ｘ軍大敗退守九江鄧龍光有官電報捷
page 5	粵北清明節祭張九齡張代長官主祭
page 5	瓊崖當局設黨政處專署秘書被Ｘ擄去
page 5	漳州組自衛團
page 6	昨日清明節僑胞紛赴墳場掃墓車輛求過於供利市三倍薄扶林道汽車失事傷人
page 6	藉名招搖行騙善棍已挾款私逃義賣所得未見匯諸當局酒店石印局欠款未償付
page 6	菲赴日觀光團十日過港各團體準備歡迎報告我抗戰實情
page 6	粵慰勞會今日在英京宴報界
page 6	勞工司談修改勞工法例昨日召見印刷工人代表擬將條例提立法局討論
page 6	劉湛恩氏逝世週年各團體今日追念
page 6	男青年會徵求結束打破十餘年紀錄得三萬二千餘元
page 6	學賑會今後工作方針
page 6	索賄四仙入獄三月印警向小販兩人索賄被承審員侯士頓瞥見
page 6	時人往來
page 6	世界語學會舉辦世界語班
page 6	本港天氣仍將繼續寒冷受西伯利亞冷流之影響漢水西安落雪昆明降雹
page 6	業餘聯誼社響應焚債運動
page 6	星僑機工四百餘抵昆明傳來港說不確
page 6	赴海峽殖民地出口移民三月份六千餘人
page 7	旭和杯第二次賽南華逢戰陸軍聯定本月十日在海軍球場舉行軍聯人選決定全隊實力平平
page 7	昨日公開草地網球賽德孚組遇勁敵何家鎏李汝榮落力苦戰勝負未分尚待改日再賽
page 7	鐵爾頓老當益壯
page 7	蔡惠全功虧一簣
page 7	加入職業界一片否認聲
page 7	星洲中華隊今日班師
page 7	上海中青會投籃比賽男子冠軍孫惠培女子第一劉珍寶
page 7	義大利法西斯勢力統制網球運動國際選手必須穿制服更禁止賽畢行握手禮
page 7	榮業牌決賽傑志敗北總結果一比零威靈頓獲錦標
page 7	競賽一瞥
page 7	昨日外匯牌價一致無變動英美匯市先疲弱後穩定申匯市況略緊買賣仍多
page 7	股票市況穩靜惟歐局不安買賣仍少全日成交約二十萬元
page 7	八九金市穩而靜寂價較前日低降二毫
page 7	英金不動英銀近漲遠平
