page 2	社評國外僑胞的熱忱
page 3	鄂北我軍克復隨縣新牆河畔漸趨平靜陳誠將軍返渝談贛鄂戰局
page 3	反攻杭州我進迫城郊Ｘ侵入舟山羣島蘇Ｘ到處受痛擊
page 3	桂越旅行通信從柳州到龍州下
page 3	王外長廣播抗戰前途展望西方各國因循失機今後亟應援華制日
page 3	行政院會議派定勞工大會代表
page 3	滬Ｘ搜查書店滿載六卡車而去
page 3	汪兆銘赴日另派親信赴平晤喜多汪黨羽在滬極力活動
page 3	川康視察團在理化備受歡迎
page 3	美使即抵滬離美前曾兩次演說盛讚我國抗戰決心
page 3	黔省學生請求從軍殺Ｘ
page 3	法政府並未指派軍事顧問來華法大使發表聲明
page 3	鼓浪嶼形勢仍緊英美法海軍最高指揮在厦會商應付日暴行
page 3	英眾議院開會討論租界問題
page 3	Ｘ擬利用美教會欺騙我國民眾教會當局主持正義嚴密戒備拒絕往還
page 3	津Ｘ之陰謀迫英當局聘日顧問嗾使傀儡劫奪租界
page 3	Ｘ犯鄂北死傷奇重傷兵屍灰運漢
page 3	淪陷區海關本年第一季入超
page 4	國聯行政院討論我國申請顧代表演說提兩要求邁斯基將與各國接治
page 4	英外相演說對我要求表同情惟恐難獲有效果
page 4	英未雨綢繆戰時遷都已擇定地點民間撤退亦積極準備
page 4	德義成立同盟後美加強國防國際擴軍競爭必更劇歐洲實力將有新平衡
page 4	在Ｘ人壓迫下上海新聞界的厄運文匯大美中美譯報光榮地被迫停刊了
page 4	日圓慘跌不已昨日與法幣最低比價每百僅值八十七八元
page 4	五孿生女覲見英后蒙厚賜托倫多熱烈迎駕
page 4	Ｘ閥窮兵黷武結果人民遭殃侵略我國資源漸竭祇得榨取人民血汗
page 4	英蘇締盟問題英內閣今日討論雙方意見已完全融洽傳日內即將所有宣布
page 4	義外長返國日本一般趨勢不主參加同盟
page 4	英眾院討論巴勒士丁問題外次及殖民地大臣為政府白皮書辯護
page 4	東歐動態波部長返華沙
page 4	不友誼行為
page 4	英蘇談判
page 4	義志願兵月底由西撤退
page 5	新鶴江佛反攻得手克馬鞍山迫近江門Ｘ退松山我軍鹵獲大砲數門鶴山全境肅清殘Ｘ進退失據
page 5	中山南屏鄉容壽仁被暗殺兇手梁長當場拿獲
page 5	我軍奇襲成功福田正果Ｘ被殲羅浮山下激戰一晝夜斬獲甚夥老虎山淹Ｘ百餘我獲空前大勝
page 5	許崇清報告出席全教會經過中央允增粵省義教經費
page 5	北海Ｘ搜英輪
page 5	順德縣長履新
page 5	粵北血債空襲迄今投彈近萬損失數字無從估計
page 5	川滇東路八百里續完脚踏車週覽記
page 6	商會值理提議擴充圖書館計劃增闢閱書地方裨益青年最近值理月會中將討論
page 6	今日英國國慶港府及各衙署放假一天倫敦發慶祝國慶宣言
page 6	衛生局嚴禁糞溺傾棄溝渠昨會議中主席答覆質問採取一切可以制止步驟
page 6	婦女防空協會擬製中文標語張貼各大商店飾櫥內各防空問題可詢該會
page 6	各界賬聯會編印期刊公佈工作
page 6	取締隨意傾棄糞溺莫如管理清糞工頭
page 6	汎美機香港至馬尼拉間來回票宣佈減價
page 6	兒童保育會今日舉行遊藝賣物大會下午二時開始在半島酒店側表演獎券等節目極豐富
page 6	立法局明日會議三讀限制迫遷法例
page 6	投製短衣定二十八日開投
page 6	中央大學校友定期聚餐
page 6	英遠東海軍長官會議將在星洲舉行
page 6	婦女慰勞會昨開常會徵集物品寄往倫敦
page 6	艶影全女班明晚在太平出演
page 7	南華決月底出征星期六義戰港聯臨別表演盡選精銳上火線門票收入購買藥品送前方
page 7	申報杯籃球女子義賽本月二十九日開始
page 7	東方體育會新職員已產生
page 7	教部令各省市注意體育
page 7	台杯網球賽比國淘汰印度德波展開惡戰高下難分
page 7	世界拳壇喬路易應戰忙
page 7	暹匯稍漲荷匯不動其餘滙價均回縮英美匯市況初不定後穩靜申匯穩而沉寂銀行多拋出
page 7	八九金市初緊後鬆價格較前低降七仙
page 7	股票市況不振買戶給價低廉賣家因多堅持全日成交僅十四萬元
