page 2	社評讀英國對日照會
page 3	北江激戰西江安謐新街從化均發生戰事綏Ｘ集包頭企圖西犯
page 3	湘北平靜
page 3	中樞聯合紀念週林主席報告堅定必勝的信念除去懷疑的心理
page 3	Ｘ機擾欽州在縣城投彈多枚
page 3	國聯行政院昨開會顧大使抵日內瓦昨日會晤哈里法克斯龐萊國民外交協會電國聯呼籲
page 3	在華北打游擊一個破壞大隊長的獨白
page 3	晉Ｘ西犯企圖已全盤打碎我運用最新戰法造成勝利新紀錄
page 3	我外部發言人讚揚英照會謂有真知灼見之妙英美意見完全一致
page 3	寧波各界寒衣捐款踴躍
page 3	滬對外貿易去年臘月統計數位
page 3	滬大劫案失現款三萬元
page 3	傀儡何知也要加入防共
page 3	槍决報販因為帶文匯報
page 3	財部發表通告後英方反響極良好對我政府苦心頗能諒解銀行界亦認影響甚微小
page 4	英對日牒文發表內容切實強硬堅定否認新秩序向所未有之強硬語調
page 4	全英輿論一致熱烈讚揚
page 4	張伯倫返國致電申謝義首相招待西班牙問題解決困難
page 4	法政界評論英義談話此舉未產生新的因素英法之立場仍舊保持
page 4	五桂堂上訪薛將軍本報戰地特派員元禮
page 4	蘇日邦交險惡Ｘ官方多主召回東鄉蘇聯漁業聽拍賣漁區
page 4	愛爾蘭軍鼓動組織統一國家遍發傳單攻訐凡勒拉標語要求英駐軍退出
page 4	法陸海軍將在北非海岸操演
page 4	西國內戰雙方互有進退
page 4	法不擬冒險但亦不屈服急進黨執委重要會議總理達拉第發表演說
page 4	美國防計劃總統左右促國會通過海委會主席將提議案
page 4	Ｘ首相平沼舉措ＸＸ保存參議院制度
page 4	米美爾納粹黨徒組織挺進隊
page 4	光昌的前途
page 5	學生軍團開始訓練桂省準備堅壁清野
page 5	粵自衛團管理處長熊略將由汕返韶關民眾武力統一指揮團隊名稱改否未定熊氏對本報記者所談
page 5	澳門教育界舉辦國語比賽共分兩組獲獎者六名
page 5	蘇教廳推動淪陷區教育工作訂定分區督導暫行辦法
page 5	港學賑會服務團第三團出發西江携藥物慰勞將士
page 5	Ｘ機十一架轟炸肇慶中心區河清古勞仍對峙中九江ＸＸ一再更動
page 5	西江戰區實踏記
page 5	澳門慰問難民
page 5	汕頭貨船被刦
page 5	普寧私梟販鎢
page 6	中國工業合作會發展西南區工業該會先在港設辦事處何艾齡昨日開會歡迎
page 6	君將結婚與讌客乎
page 6	金山輪今晨返港將來航行路線未作決定
page 6	商會商討推進還債運動嚮導社亦起捐輸華員協會即響應
page 6	粵李主席電慰菲僑覆菲粵僑賀電
page 6	馬頭涌被囚孤軍逃出百餘人被載回兵士慷慨陳詞
page 6	港中區防空委會堆行各防空工作經召開會議商討一切劃定四域分別負責
page 6	王寵慶醫生前線歸來戰區需要痘苗望各僑團捐助
page 6	李政耀動程返港出席世青和會香港學生代表
page 6	陳策等中委昨晨飛渝出席五中全會
page 6	暹越緬洋米輸港大增去年十一個月來增九千六百餘噸
page 7	麗華杯足球初賽西文員對陸軍聯本星期六在九龍會場舉行
page 7	黃伯長擬在港表演
page 7	公開女子雙打招威組獲得錦標
page 7	昨晚女子籃球賽華僑敗於西南港大棄權梅芳不勞而獲勝南華克雪花戰來形勢緊湊
page 7	抗戰期中的體育問題
page 7	勃琪與梵恩斯職業網球賽目下各勝四次
page 7	拳壇風雲
page 7	外匯牌價無變動英匯美匯穩而沉寂申匯市況略淡且靜
page 7	股票市仍無生氣全日成交數量稀少
page 7	金條略有成交
page 7	統制桐油運銷後歸植物油公司收買令飭各省增加桐油產量特准豁免轉口及出口稅
page 7	我國最近十年來關鹽統稅收入
page 7	八九金市一蹶不振較前低降一毫八仙
page 7	我國各種土貨由港轉運出口概況
page 7	英金微跌英銀俱落
