page 2	華北我軍出擊的意義
page 3	龍主席談滇越大勢痛惜法越措施乖謬
page 3	美國輿論竭力鼓吹對日實施完全禁運
page 3	日本畏忌英美合作報紙論調顯露不安
page 3	馬占山將軍論日軍弱點素質士氣遠不如前鼓勵同胞爭取勝利
page 3	黔人吳仲謀獨立籌資獻機
page 3	粵榮譽軍人傷愈重上前線民眾熱烈歡送
page 3	滬浙江興業行員被日方逮捕兩租界戒備將特別加嚴
page 3	余漢謀捐款慰勞空軍將士
page 3	滇勸儲分會今日正式成立
page 3	日機昨又襲渝嘉陵賓館時事新報均毀
page 3	劉文輝抵蓉將赴渝謁蔣委長
page 3	蓉康無線電話正式通話成績甚佳
page 3	粵新闢戰區展期成立
page 3	日人對伊盟終徒勞無功阿王雖被挾持康王弟逃抵榆林森蓋勢力亦已逐漸解體
page 3	華北我軍反攻正太戰事甚烈長江日艦被我擊毀
page 3	劉紹先發明瘧疾特效藥
page 3	陳世英不甘附日侍父居贛
page 3	山塘水壩利用山坡闢為良田
page 3	同胞人人皆饑你又何能獨飽
page 3	對於川省糧食澈底實施管理
page 3	為澈底實施糧食管理蔣委長告川民書
page 3	美人觀察越局
page 4	空軍轟炸不能征服英國倫敦柏林俱被機襲擊義軍企圖侵犯埃邊境
page 4	德國攻英計劃事實尚難實施
page 4	美炸藥廠突發生爆炸英政府定貨勢將受影響總統親自主持救濟工作
page 4	美國防工廠發現陰謀滅火筒內裝上汽油
page 4	德召開多瑙河會議蘇聯表示關切蘇致牒德國希望能獲得情報愛立拉黃金問題英提出建議
page 4	威爾基批評羅斯福總統演說謂其不明世界工作重心紐約市長廣播擁護羅氏
page 4	田邊獲釋
page 4	美加緊武裝太平洋島嶼準備應付任何意外派出專家視察關島
page 4	小林在荷印侈談親善對荷印資源垂涎三尺荷當局派出談判代表
page 4	小林到巴達維亞
page 4	桂邊戰局
page 4	貝當政府動搖因拒絕德義之苛求貝當或將被迫下野
page 4	墨參院宣布總統競選結果甘馬科得票最多
page 4	務必各盡天職遵法從速出售
page 4	希望存糧富戶自動捐助抗戰
page 4	即令徼倖逃避難免自招損失
page 4	豪富為富不仁應該首先檢懲
page 4	要以社會公意輔助法令不逮
page 4	蔣委員長告川民書本文自第三版轉來
page 4	唐寧街亦落彈
page 4	北非義軍出動
page 5	粵省軍事由迎擊變為出擊增從廣花兩線戰果最大日軍戰鬥能力日見削弱
page 5	橫琴島及灣仔海面貨船遭騎劫海盜擄掠貨物值二萬餘元日扣三船損失約十二萬
page 5	澳門調查人口下週可公佈確數
page 5	粵省府貸款墾荒四行省行共貸千萬財部核准方能辦理
page 5	中山日軍又增水陸交通均被阻岐關路上祇准順民通過
page 5	粵視導團展期下旬出發原分四區現增劃一區省府秘書長鄭彥棻九日就職
page 5	國立貴州師範在桂招生
page 5	西康日記一七一第九編九龍木裏途中
page 5	泰國京城又捕華僑莫樹三等十餘人被拘
page 5	港韶之旅上
page 5	渝市提倡食用糙米十二日起實行
page 6	廠聯會擬定與外商貿易合同保障會員利益以免損失審核完竣分發會員備用
page 6	某非官議員談限制華人入口問題月內不能實施年內可完成手續將來草案公布居民可發表意見
page 6	大夏大學秋季新生揭曉
page 6	先施公司增設禮品部
page 6	東路護僑站成立義民下週返國省振會港辦事處昨通告嗣後四日一次分批護送
page 6	霍亂症日益猖獗前日共發生一百零四宗不治者占百分五十以上
page 6	婦女慰勞會籌款音樂會十七日晚半島玫瑰廳演奏者均本港名音樂家
page 6	統考榜示
page 6	李右泉靈柩今日出殯代督將派副官致祭
page 6	汕頭海口英輪暫行駛靠
page 6	日軍在南頭砲擊民航機發砲七響該機飛去
page 7	球城風雲緊急三華會分路操演星島征裝甫卸出戰香港會光華陳師九龍迎擊米杜息南華坐鎮加山抗拒士葛隊
page 7	南華會混合隊小勝事營砲兵結果三比二戰況平平
page 7	星島鬥香港
page 7	全港游泳冠軍比賽域多利解釋誤會各華會籲請參加
page 7	港圓外匯牌價續縮美匯趨緊申匯好轉
page 7	四四金市先穩後堅
page 7	股票轉趨穩定各高價股票買賣略增全日成交十一萬餘元
page 7	國幣價格繼續上漲
page 7	一月至七月全國對外貿易進口十一萬九千二百餘萬元出口十一萬四百八十餘萬元
page 7	岷甸奴駛廣州棒球決賽無期明日上午中華約戰投路沙
page 7	傑志操練忙下週比賽三場
page 7	湘省運動會定明春舉行
page 7	全港小童水運大會今日在域多利舉行
page 7	南華對士葛
page 7	光華戰米軍
