page 1	無產階級文化大革命全面勝利萬歲全國一片紅各省市區革委會均成立毛澤東思想的偉大勝利毛主席無產階級革命路線的偉大勝利七億人民一件大喜事
page 2	首批靜壓傳動內燃機車
page 2	反對美帝蘇修印度反動派的前哨傳來勝利凱歌西藏自治區革委會誕生萬里高原紅旗招展拉薩市五萬軍民盛會電毛主席致敬極大地鞏固西南邊防對美英蘇印是一個沉重的打擊
page 2	曾雍雅在慶祝大會上講話
page 2	建設無產階級戰鬥指揮部
page 2	西藏藏族人民熱愛毛主席到處響徹朗讀毛主席語錄聲音到處蕩漾歌頌毛主席讚歌廣大藏族人民堅決緊跟毛主席把祖國邊疆建成銅牆鐵壁
page 2	革委會成立後的主要任務
page 2	百倍提高警惕以鞏固國防
page 2	會後舉行了盛大慶祝遊行
page 2	西藏慶祝大會給毛主席的致敬電
page 2	雪山閃金光草原換新裝
page 3	反對蘇修美帝印度反動派的前線新疆自治區革委會誕生烏魯木齊二十萬人舉行慶祝大會載歌載舞歡聲震天崑崙山下八百萬各族人民歡呼毛澤東思想偉大勝利
page 3	人民解放軍駐疆部隊高舉紅旗作出了貢獻
page 3	賽福鼎說誰敢搞分裂我們一定堅決打倒誰
page 3	新疆人民緊跟毛主席
page 3	龍書金號召鞏固邊防保衛社會主義的祖國
page 3	國內外敵人互相勾結階級鬥爭極尖銳複雜
page 4	總統競選醜劇表明美內外交困走投無路紙老虎本質充分暴露誰進白宮都扭轉不了美帝最後滅亡命運
page 4	英職工大會反對限制工資工黨政府支柱動搖威爾遜還想掙扎觀察家指出如舉行普選威爾遜必失敗
page 4	絞索越拉越緊無法解脫
page 4	爭相鼓吹反革命兩手政策
page 4	越南問題已經黔驢技窮
page 4	兩黨制反動本質被識破
page 4	黑人鬥爭烈火撲滅不了
page 4	美帝蘇修加緊互相勾搭
page 4	堤岸偽新聞處昨被民軍炸毀據說死八人傷者六人
page 4	日本大學學生抗暴昨第三天抗擊警察
page 4	狗咬狗醜劇繼續演出蘇軍不肯撤出捷克蘇報且破口罵捷修捷克人民拒參加蘇軍音樂體育活動
page 4	北越擊落三美機擊傷美戰船一艘
page 4	民軍發表八月戰報南越二萬美軍被殲西貢西北昨爆發大戰數千美軍投入民軍十五分鐘消滅美軍一個連
page 4	伊拉克宣布釋放政治犯
page 4	抓革命促生產
page 4	篝火燭天鼓聲響徹斯威士蘭宣佈獨立標誌英在非洲三百年統治完全結束
page 4	美國毒品泛濫藏毒者又增加
page 4	芝加哥同樣的暴動尼克松說還會發生
page 5	特大喜訊傳遍港九新界每一個角落愛國同胞熱烈歡呼祖國山河一片紅工人農民漁民學生小販街坊以及各界人士歡欣奔走相告工會學校社團商店新界農村漁區昨晚紛紛舉行慶祝酒會
page 5	楊光發表講話指出香港工人決發揮領導作用為愛國反帝鬥爭努力奮鬥團結全港各階層同胞進一步掀起學用羣眾運動高潮
page 5	愛國同胞千言萬語迸一句歡呼偉大領袖毛主席萬歲
page 5	新華分社職工騰歡報喜隊與東區婦女報喜隊相遇坊眾紛紛圍觀霎西街喜氣洋洋
page 5	本報社長費彝民指出大喜事具世界意義這是毛澤東思想的偉大勝利
page 5	中華總商會今酒會慶祝
page 5	愛國師生縱情歡呼校內校外一片沸騰中華師生無比激動千萬遍歡呼勝利
page 5	工商界婦女界歡談大喜事
page 6	敲鑼打鼓載歌載舞報喜隊所到處街坊同胞歡騰
page 6	新界各區處處沸騰工人農民店員小販學生心情激奮青少年及婦女們載歌載舞歡呼
page 6	颱風將從東面撲來明天可能威脅本港
page 6	繼逼迫司機重新考牌之後百輛紅牌被吊銷牌照全行震動指港英靠害受迫害車主皆感憤慨紛紛表示堅決反對
page 6	油漆被襲周年控訴港英罪行要求賠償損失釋被捕者
page 6	樂宮戲院大廈搜獲可疑毒品
page 6	紅旗雜誌第二期經已到港今發行四篇重要文章三聯已出單行本
page 6	對身懷語錄書籤者無端迫害警方非法毆捕工人五金工會嚴重抗議昨派代表到警務處追究責任要求懲兇
page 6	大南街公廁劫匪頻做案一男子昨又被劫錶
page 6	菱電被爆竊損失逾二千
page 6	勞聯香島新僑校友決定盛大慶祝國慶
page 6	東風糧油公司開幕受深水埗坊眾歡迎
page 6	迷你女郎屍浮碧海
page 6	大老闆小伙計關係擺明美在港設訓練中心港英撲水感激涕零
page 6	觀塘居民要求立即改善九巴交通該區居民昨赴交通部民政署九巴公司要求重視安全認真考慮安排工人復工
page 6	中國山河出現一片紅勢將促進世界一片紅張普璇劉金強李世流等歡呼革命大喜事
page 6	華都公司職工迎吳漢秋出獄
page 7	銅鑼灣巴士衝落陷阱搭客面青車輛排長龍修渠處交通擠迫又逢新手揸車出事故
page 7	販管隊連續施暴柴灣八歲小童被拉四百沙梨遭劫走交還時僅半數女販被箍身童販被扭手
page 7	倫敦報紙也報道海底隧道計劃完蛋
page 7	燈泡爆炸燃着天拿水太塢七工人受傷五重傷者要送院留醫
page 7	台灣翻版唱片一批在港毀滅
page 7	機場消防車上季出動忙
page 7	大埔童屍被埋案女父在醫院被控爆炸時受傷雙目可能失明
page 7	穗珠江月餅定廿二上市
page 7	佯裝搭客專劫的士獨行盜昨入獄此盜專在深夜出沒灣仔地區
page 7	少女戀有婦之夫家人反對竟自殺
page 7	十六路兵馬八場複賽木盾賽進入第二週下午五時半起大球場先後演出下線怡和職業腳不敢小覷愉園
page 7	全港泳賽全部結束僅破兩項大會紀錄昨晚無新績海天西青分獲男女錦標
page 7	網球賽消息
page 7	徙置區字花賭風烈貧苦家庭深受其害
page 7	各組乒乓球決賽提前在明天舉行
page 10	銷場擴至北美東歐襪廠生意較好廠家接入單可維持至年底生產雜品銷往歐洲年來進展卻不大
page 10	食油進入旺銷季連日交投較大宗國產期貨昨成二百餘桶
page 10	日本菇價呆定
page 10	行內人對市情無把握股市買賣轉淡會德豐與信託股價續跌
page 10	米市復稍活正盤成八千多包
page 10	印尼匯價標高港貨去銷更難
page 10	美棉價起落互見
page 10	印尼管制貿易措施對港發生什麼影響經濟週刊有文分析
page 10	歐洲砂糖價雖低港商仍不敢訂購
page 10	茶葉批銷仍暢新白茶到數批隨到隨清青毛茶龍井茶亦已銷疏市價多穩定普洱茶獨稍順
page 10	日纖維布廠與美爭銷路在港所辦數商社大減低接訂利潤
page 10	倫敦報價挺高金市躍躍欲升飾金每兩升至三百三十二元
