page 2	社評美日關係能改善嗎
page 3	我空軍飛廣州轟炸北江日軍傷亡甚重桂南膠着邕寧在嚴密包圍中
page 3	肅清包頭殘餘殲滅日軍二千餘人
page 3	進迫長子長治日鋒已挫加緊掃蕩
page 3	加緊壓迫信陽豫北日軍蠢動受創
page 3	雲南起義各地熱烈紀念渝滇竟日在歡躍中長沙舉行火炬遊行
page 3	戰時柏林瑣記
page 3	動員技術人才推進農村建設蔣委員長致工程師年會訓詞
page 3	浦東我軍進抵川沙城內日軍極恐慌
page 3	緬訪問團由渝飛抵昆明明日離滇返國
page 3	鳥伊兩盟王公啟程赴渝晉謁當局述職
page 3	粵新仕版四縣縣長更動
page 3	桂林市府定明年元旦成立並設警備司令部
page 3	滬食米進口受日方操縱京滬路產米由日人獨霸滬民食問題一時難解決
page 3	李宗仁夫人出發桂南一帶救濟戰區兒童
page 3	滬兩槍殺案賭客賀客被狙擊結果四死兩受傷
page 3	久原芳澤訪汪兆銘晤談
page 3	粵省府獎賞緝獲偽員部隊
page 4	東鄉訪莫洛托夫談話仍無結果堀內稱日願對美再讓步但須先得在華軍人同意
page 4	蘇芬空軍竟日空戰芬軍控制中部戰局
page 4	達拉第廣播告法國民書應鼓起勇氣與決心膺懲侵略奮鬥到底
page 4	波前總統病勢日劇
page 4	法議院通過戰時預算案出入相抵尚有贏餘
page 4	蘇官方公布蘇德鐵路協定兩國在波蘭之邊境八個地點同時通車
page 4	德要人演說大捧希特勒伯勞轍希勗德擁護領袖希斯氏詆譭英法曲解是非
page 4	日本之內傷外感續
page 4	西線英軍流行曲捷人原作博得萬人傳唱中有一段民族傷心史料
page 4	羅馬教皇發出世界和平呼籲痛斥侵略者殘暴行為並列舉五項和平原則
page 4	耶穌誕節英王廣播演講分向海陸空軍致祝
page 4	美全國慶祝耶誕羅斯福發表感言親自燃點聖誕樹燭光望國民力保和平精神
page 4	希特勒在西線度節巡視各陣地
page 4	瑞報評論德瑞商業協定並未損及瑞典中立
page 4	史達林電謝蔣委員長望將侵略者擊退獲致完全之勝利
page 4	英潛艇艦長獲得優等勳章
page 4	美總統人選問題民意測驗結果主由民主黨繼任者最多
page 4	堀內的老實話
page 4	英王之廣播
page 5	西線游擊隊極活躍我襲擊佛山三水江會日軍進犯篁莊被擊潰退龍泉古井各處形勢復見緊張
page 5	東江沿海各縣迭遭日艦騷擾日軍百餘搶掠海門江田
page 5	粵建廳推行合作事業派員赴各縣指導組織
page 5	第四戰區政治部推進政訓工作決明春實行政訓新組織加強軍民合作抗戰精神
page 5	日機炸廣州灣未受損害投彈十餘多落海邊法方將提嚴重抗議
page 5	韶關籌備舉行元旦游藝大會李主席夫人為難童請命
page 5	民營工廠粵府協助內遷
page 5	沿粵路北犯日軍琶江南中伏受創禪炭廣從各線戰事仍激烈
page 5	西南剪影三李霖燦雲南麗江到中甸所見
page 5	統制貿易釋疑二
page 5	高雷禁運桐油出口劃定封鎖地區明年一日實施
page 5	星洲機工關懷祖國捐輸藥物協助抗戰
page 6	戰時之聖誕節熱鬧情形不減往年戲院餐室營業利市三倍熙來攘往車輛應接不暇民族復興節各團體分別紀念
page 6	馮烱成宅劫案警探已破獲先捕正匪一人直認不諱續逮嫌疑多人即將控案
page 6	閩僑中學歡迎閩省府兩委員徐學禹丘漢平日前抵港丘氏到校致詞訓勉有加
page 6	政治與道德續抗戰第三年聖誕感言
page 6	兩三年來日糖在港絕跡市場移於華南淪陷區渣華糖銷港每月二萬包
page 6	北大同學會籌備成立會所昨日開會議決要案多項將印刊留港同學通訊錄
page 6	鄭和號帆船今日由港出發先至荷屬東印度後赴美菲差路博士將在菲下船
page 6	國貨展覽會廠聯會進行借官地
page 7	國際杯中葡激戰中華險裏逃生二比一陳德輝一腳定天山葡軍表演好雖敗猶榮
page 7	陳情表軍師吳用
page 7	今日國際杯賽英蘇大會戰下午三時半在香港會場雙方勢均力敵料有劇爭
page 7	明晚女子籃球勵志逢戰西南仿林對港大南華鬥知行
page 7	菲網球賽邀請港方派隊參加
page 7	籃球友誼賽思思勝晨光
page 7	我國產疋頭外銷數量倍增十個月內出口逾四千萬
page 7	本港花生油來源銳減運銷德日反見激增
page 7	我國刺繡品暢銷海外十個月內出口
page 7	神香消耗激增十萬元
