page 1	社評為四邑災民呼籲並談談今天的地方政治
page 2	財部擬定平抑物價辦法採取嚴厲手段壓制漲風翁文灝王雲五即赴上海處理監院決派員赴滬穗等地調查
page 2	依賴外援危險得很今後絕不粉飾太平空城計也不許再演了白崇禧在漢口演講
page 2	總預算案延緩送交立院原定秘密會議改期舉行昨天大會激昂討論物價問題決定邀請翁文灝等到會報告
page 2	抗議飛機濫炸平教授百餘人發表宣言豫籍學生請嚴懲負責者
page 2	廣州通信四邑水災踏訪記
page 2	大法官等人選尚難正式決定章士釗表示不願意幹 
page 2	國民黨要員將集會廬山
page 2	中美談判協議雙邊協定一二日內簽字將給西德南韓最惠待遇
page 2	粵省參會討論提案行雲流水通過了許多件擬請政府限制日貨入口大會通電反對美國扶植日本
page 2	三黨觸雷立委要組聯合陣線
page 2	戡亂委員何其多傳有四千七百人
page 2	滬碼頭工人罷工
page 2	鄭州附近將大戰兗州攻防戰轉趨沉寂南京昨舉行臨時軍事會報
page 2	請願二十七小時滬小學敦師離教局當局答應千萬貸金兩期付給經楊衛玉等 調解他們纔歸去
page 2	湘省府人事內定
page 2	布吉路軌被炸後廣九路乘客驟減穗綏署將強加護路軍力
page 2	粵省改革縣政指定幾縣實驗
page 2	鄧文儀等返京
page 2	張治中等返蘭
page 2	新會災後景象果苗被摧殘瓜田全被淹稻田積水到現在還沒退村民多赤身潛入水底割稻
page 2	閩全省公路仍不能通車
page 2	平師院學生擬晉京請願被警察攔阻未成行
page 2	翁文灝宴程潛等就湘工礦事業交換意見
page 2	豫南豪雨交通中斷
page 2	粵省預算軍費太大編列數字不符實際省參會審查時的看法
page 2	目光轉向香港有人提議向港方交涉不得窩藏叛國分子
page 3	共黨情報局突發表公報指摘狄托政權所採政策說他們討好資本主義國家拒絕別國的批評自以為是南斯拉夫共黨即發表聲明
page 3	南斯拉夫宣布戒嚴
page 3	南國外交人士看法只是黨與黨之間的不和國與國之間仍沒有裂痕
page 3	倫敦方面興奮認為冷戰中的有利消息
page 3	華府人士議論紛紛說共黨當局必已先採行動相信狄托已被捕勢須下台
page 3	柏林的局勢可能提出安理會
page 3	美民主黨的候選人杜魯門可能不競選擁艾森豪威爾上陣
page 3	曼谷通信暹羅逮捕華僑經過
page 3	如何澄清柏林局勢德萊柏與貝文會商福萊斯特爾親自出馬
page 3	全英進入緊張狀態政府武裝鎮壓工潮碼頭工人決定今日復工
page 3	美援雙邊協定各國紛紛簽字
page 3	蘇報評杜威說他是華爾街侵略派代表
page 3	日地震災情慘重福井在火海幾全夷為平地據說各地災民共達五十萬
page 3	越南恢復幫制問題我已與法方獲協議傳河內中華會館已解封
page 3	轟炸東京羅斯福總統曾有份計劃參加賽美威爾靈小姐寧不當教徒
page 3	武裝日本警察遠東委會重申既定政策可帶短槍來復槍等武器
page 3	美援外法案杜魯門簽署
page 3	中暹學校糾紛將提聯教討論
page 3	暹政府下令通緝　比里指他與刺王案有關
page 3	馬來亞動盪吉隆坡警署遭襲擊
page 4	佔領期租務法草案西商華商均表反對西商認為不易行而且也不公平
page 4	華商總會認為足以引起糾紛
page 4	華商總會呈文華民司請勿加物業買賣稅他們認為這將提高物業價格
page 4	九龍城一公地下月五日拍賣
page 4	加徵酒牌費飲食業請緩行
page 4	本港華商募款助廣州孤兒院
page 4	勞工處發表七月份津貼
page 4	義勇軍官兵受獎
page 4	中英音樂會星期五演奏
page 4	旅館酒店報表收齊當局開始實地調查將來可訂立公平的房金
page 4	聖心堂修房屋育嬰堂暫搬家
page 4	為經濟壓迫又兩人自殺
page 4	續審與少女通姦案黃女自述經過她說被棄後纔當私娼
page 4	黃女靈牙利齒
page 4	律師表示抱歉
page 4	賣人為妾獨吞利是
page 4	中航公司新闢中國南洋航線
page 4	老婦騙財物兩月犯五次
page 4	流浮山殺人疑犯自說和綁案無關
page 4	行騙手法
page 4	玻璃瓶從上空落下砰然一聲濃煙大作警方縝密調查還未發現來源
page 4	審英幫辦被控勒索案肥婆蘇淚如雨下證人曹某不識說謊為何物
page 4	生鐵充黑鉛全部被充公
page 4	麥耀全案判決後船塢華員不服決定進行上訴
page 5	仰光民匯牌價每百萬跌至二盾半星洲申匯牌價每萬元降為一占三
page 5	國幣內匯市場紊亂申匯突瀉廈匯猛升穗廈榕等地感籌碼短絀
page 5	星鐵市價報跌圓鋼條也疲淡去路縮小需求減少
page 5	政局動盪上星馬工商業蕭條下星洲特約通訊
page 5	上海物價一致軋跌結匯證書二九四萬
page 5	美匯轉軟美鈔獨俏港金徘徊國際價挺美鎊紙較上週低跌兩點
page 5	商業清淡美匯轉狹
page 5	穗結匯證一二七萬輸管會局部改組
page 5	僑匯庄客購入美鈔
page 5	美國黃金入超多多
page 5	巴黎金價繼續上升
page 5	工業原料回醒滬韓暹有扯銷
page 5	經濟部核准統購棉花核價適應市場實際產銷期求價格公平合理
page 5	倫敦股市多數步跌
page 5	孟買黃金價格俏利
page 5	股票市勢轉穩成交數額倍增共七十萬九千餘元
page 5	出口轉少來源增多
page 5	穗米麵回紗布漲廈梧物價同上升
