page 2	社評資金凍結後之我國工商業
page 3	澳洲準備應付危局內閣召開緊急會議日報承認英國已具應戰決心
page 3	泰國內閣舉行特別會議泰政府強調中立政策日在越泰邊境建機場
page 3	威爾基論建設新世界組國際警察支持新國聯戰後必須建立永久和平
page 3	阿拉斯加的戰略價值二北太平洋是日本最大的弱點
page 3	敵機襲渝英使住宅被毀昆明亦有警報
page 3	美國防工業又發生波瀾機廠船廠宣布罷工製機造艦工程勢受影響
page 3	美總統行蹤仍神秘莫測遊艇公報亦僅寥寥數語赫爾對此避不作答
page 3	德夫古柏經美來遠東已抵紐約將赴華盛頓
page 3	敵藉口沒收滬美商汽油
page 3	英美如具決心日將不敢妄動滬大美週報論日侵泰問題
page 3	鄂西我乘勝追擊各地殘敵已肅清
page 3	戈林嘗試集中營滋味其親信亦被槍殺
page 3	空襲警報機將在各據點裝置
page 3	加拿大封存所有生絲過境者亦包括在內
page 3	滇省促進聯運工作
page 3	林白演說又作怪論不滿政府措施指為狡猾政策
page 3	全國各縣設糧食科糧食部即通令實行
page 3	陪都稀有盛會蔣委員長在近郊名勝區招待反侵略各友邦使節
page 3	義國論客語無倫次
page 3	最高當局關懷難民組訓工作令三機關負責辦理
page 3	義危機四伏義幣低落物資短缺人民厭戰咸抱悲觀
page 4	美國加緊援蘇飛機數百架運交蘇聯蘇德戰事無大變化
page 4	雙方損失統計
page 4	蘇機再襲柏林
page 4	東線德軍再衰三竭蘇軍作戰力極堅強粉碎德軍突擊戰略
page 4	英機出擊飛挪法希轟炸
page 4	土堅守中立倘希特勒侵犯海峽土將被迫參加作戰
page 4	斯末資演說英必獲勝利
page 4	維希甘作爪牙傳將與德締盟以攻擊蘇聯為共同目標
page 4	英倫人士觀察將有三新戰區
page 4	魏剛反對達蘭陰謀
page 4	譚志被扣留維希提抗議
page 4	德間諜飛抵伊斯坦坡轉往伊朗京城
page 4	汪報消滅被迫訂戶額手相慶
page 4	川省主席張群赴渝主持重慶區行政會
page 4	日蝕觀測隊一行抵蘭州
page 4	美飛機援蘇
page 4	黔各界勞軍正式結束成績甚佳得款二十二萬餘元
page 4	徐謨定期赴澳段茂瀾等先行
page 5	上海物價又飛漲生活指數愈提高
page 5	桂中學教育會重要議題發表通過各案均側重制度行政
page 5	黃主席勗勉四事
page 5	粵南沿海敵艦滋擾遂溪江洪港又被炸
page 5	桂市糧食公店刷新機構加借資金十萬元
page 5	山西大學學生籲請改為國立
page 5	中茶人員談茶葉儲運工作敵人雖封鎖廣大海口我仍由小路源源輸出
page 5	湘桂餐車由中國旅行社承辦力謀做到經濟衛生
page 5	黔教廳重視民眾體育令各縣本年內舉行競賽一次
page 5	汀驛運處增闢水運茶衡段業已開運衡長段現正籌備
page 5	粵省調整兵役機構團管區行將撤銷
page 5	國防與人生下
page 6	全港英文中學會考及格學生名單公布
page 6	中大新生考試昨日圓滿結束第三日考英文地理化學師範學院考生舉行口試
page 6	港府已委定所得稅特委會名單及工作範圍即公布戰時保險現尚在考慮中
page 6	港名流及文化團體昨日追悼陸費伯鴻參加致祭者數千人馬超俊主席主持開會
page 6	普益商會籌備八一三獻金小販分區舉行獻果獻餅商務同人捐獻一日所得
page 6	防奸隊保衛輪船嚴禁閑人登輪輪船公司人員登輪亦須持證送接客人須在警署領證
page 6	港劃入金鎊區後外匯統制更嚴對金鎊集團貿易較簡便購買他國外匯手續煩複
page 7	漆咸道棒球聯賽中華痛擊香港十九比八勝來寫意戰況平淡如一帆風順可獲亞軍
page 7	星洲足球聯賽華人贏中華三比二戰情相當劇烈積分表上華人居首度
page 7	南華田徑部初級田徑訓練班定下月三日開始演習
page 7	馬網球冠軍賽許承基無敵手
page 7	鐵城杯平正戰華僑友聯對抗域多利
page 7	中西義泳收入逾千五元
page 7	青泳游泳對抗泳隊告捷一分勝青隊
page 7	瑪利職工體育會三週紀念
page 7	華人游泳會八一三獻金
