page 2	對學術文化應用的努力
page 3	鄂北殲滅戰完成棗陽已完全克復日軍死傷七千餘殘部分路向東南狼狽潰退
page 3	克通山圍武寧粵南日軍圖犯花縣不呈
page 3	監察使高一涵慰勞鄂北將士李郭德潔救濟豫鄂戰區婦孺
page 3	國民外交協會招待日反戰同盟盟員
page 3	海內外同胞電委座祝捷豫鄂大捷舉國振奮
page 3	農林部即可成立陳部長晉謁蔣院長請示今後施政方針
page 3	攻入開封將士當局論功行賞英勇事蹟不勝枚舉
page 3	傀儡溥儀下月赴日朝見
page 3	粵政彙聞
page 3	王梁在平商討對付汪派策略
page 3	汪派在滬無惡不作工部局請領團代為交涉取締
page 3	法遠東航線將擴展至昆明 
page 3	黨國旗升降法中央修正公布
page 3	日人尅扣經費汪派窘苦萬狀每一偽院部月祗四萬元僅足支薪水尚談何活動
page 3	榮譽旗國府嘉獎有功部隊
page 3	偽滿限制購買食糧
page 3	政務巡視團第一組由筑赴湘
page 3	傅作義抵渝
page 3	鄉吉附近激戰我軍奮勇截擊克三堠鎮 
page 3	工業合作運動中的投資問題二
page 4	歐戰形勢轉穩繆斯河陣地無變化空戰仍猛烈進行中
page 4	英法大批空軍屢襲德軍要點
page 4	萊諾發表演說作戰具有把握
page 4	羅斯福要求議會增撥國防經費以便應付任何侵害權益攻勢並盼議會勿阻礙美機之運出
page 4	挪威前線聯軍佔優勢那維克德軍陷險境海軍大臣電勉將士
page 4	義國態度閃爍義報論調又稍趨緩和澳洲英軍續開抵埃及
page 4	日南侵仍積極林久治郎將赴荷印
page 4	棗陽克復
page 4	義謠龐雜
page 4	德秘密武器磁性電光用以攻堅兵不血刃
page 4	瑞士形勢好轉邊境德軍業已減少一般相信不致被侵
page 4	美先鋒論壇報主張對德宣戰
page 4	戰時物價與戰時儲蓄
page 4	現代化軍隊
page 4	奇兵之因素 
page 4	應合力綢繆
page 4	美國之自由
page 4	比境聯軍反攻收復軍事要點
page 5	粵省軍政會議謀加強全省防務決定今後各項作戰計劃予日偽陰謀以嚴重打擊
page 5	沙堆官涌仍在我手中犯厓東日軍被擊退 
page 5	國大婦代競選會廣西分會成立
page 5	粵臨時參議會三次大會期近吳鼎新返韶籌備召集
page 5	粵北四盛會余主任召開專員縣長座談會兒童教養第三院舉行成立禮
page 5	四邑米荒已略見好轉
page 5	端午中秋徵集禮品贈送前方將士
page 5	農本局駐桂辦事處實施輔導制度分設六輔導區加強工作效能撥款六十五萬貸放桂南戰區
page 5	桂省各縣借款植桐推行成績良好
page 5	粵籌備歡迎南僑慰勞團已決定歡迎程序
page 5	連縣壯丁踴躍服役粵當局傳令嘉獎
page 5	曲江實施新縣制規模漸具其餘十七縣定八一施行
page 5	粵省推行夏令衛生計劃撲滅蚊蠅
page 5	疏通貨運
page 5	減輕成本
page 5	貨物啟封
page 5	增加生產
page 5	安定物價之對策
page 5	取締囤積
page 5	粵省施行節約方案
page 6	防止迫遷則例本月底即行滿期新例將再提立法局討論業主及住客利益均保障
page 6	張世祿談離滬來港經過群醜欺騙利誘迫令入彀心神創痛莫名乘機逃出
page 6	王正廷歡宴英大學生對該服務團備極讚揚
page 6	省督學羅宗堂視察中區各僑校失學登記學生分級試驗廿六日在知用中學舉行
page 6	喇沙書院二次徵用準備將來用途
page 6	音樂欣賞會組織華南合唱團公開徵求團員廿五日止華南管弦樂隊亦籌組中
page 6	勞軍款項商賑會二批匯出
page 6	西南實業協會港分會昨舉行理事會議推錢新之等為常務理事俟手續辦妥即徵求會員
page 6	慈禧西太后
page 6	文素臣
page 6	婦女節制會將舉辦遊藝展賣會
page 6	銷魂柳
page 6	記者圖書館徵募運動近況第一期成績廿日揭曉各界名流贊助者甚眾
page 6	荷女王家屬有遷荷屬東印度說
page 6	本港義僑民並未接到撤退訓令
page 7	公開棒球賽揭幕港啤戰美水兵下午二時半在加山場 
page 7	學界排球賽民大告捷三比一挫英皇
page 7	東方出戰軍聯未成事實征澳恐難成行
page 7	華人游泳會增聘游泳教練
page 7	港圓外匯牌價續漲英美申匯市況均穩
page 7	投機商多拋出國幣漲勢稍挫昨日最高價為二七零人心仍好有回漲可能
page 7	八九金市頗為穩定供求相應價少復動
page 7	股票市況仍疲九龍電燈股價亦趨低跌
page 7	今晚公開籃球星島戰銀聯紅
page 7	九龍區學籃大戰培正獲亞軍五四比二二打勝美爾頓高級組今日彙集證明書
page 7	三屆小球埠際賽澳行瑣記下
