page 2	社評日本真不重視麽
page 3	外交有利戰局樂觀我國準備發動反攻蔣委長電美總統謝援華保證東戰場我出擊克復高淳灌雲
page 3	美艦隊訪紐表示英美遠東合作美新建軍艦兩艘下水
page 3	外交絕對有利
page 3	風雲緊急下馬來亞糧食措施二
page 3	日機襲渝郊歆贛鄂亦曾被犯
page 3	滬公共租界工董問題傳英日有所協定
page 3	我外交界觀察松岡此行必失敗德國不能為助蘇聯威脅難除
page 3	考核政績監察院派出監委分赴各部會查卷
page 3	新聞學會聘于右任等為名譽會員
page 3	徐維震被架後被禁於愚園路
page 3	中華農學會在渝舉行年會
page 3	我訪問團在緬考察完畢一部已返仰光
page 4	德國對南企圖受挫傳蘇聯會鼓勵南國英軍已陸續開抵希臘
page 4	英首相演說感謝美國援助德潛艇戰已加緊進行向美呼籲作急切援助
page 4	美參議員喬治論德軍事機構佔領他國土地愈多愈失却活動之力量
page 4	美將再撥軍艦援兵
page 4	英格蘭空戰的三階段三
page 4	撥款法案迅將完成
page 4	日方膽寒胡言亂語
page 4	英國及齡婦女皆強迫服役貧富不分絕無例外
page 4	美總統批准國防撥款案
page 4	加軍增援直布羅陀將可抵抗圍攻至十八月之久
page 4	達蘭在巴黎與德代表晤談
page 4	日煤坑爆炸工人死傷逾百
page 4	美藝術院落成羅斯福總統廣播演說
page 4	諾克斯演說強調申斥軸心集團籲請國人準備犧牲
page 4	德國限制挪沿岸航運違者處極刑
page 4	擊潰義軍反攻希王電勉將士
page 4	美振濟品第二批赴法包括糧食衣服藥品
page 4	日荷談判僵持芳澤離開吧城
page 4	漢英商利益遭日方破壞英當局抗議無效
page 5	仰光預防空襲將實施疏散人口預算一日內可疏散十五萬人詳細計劃現正擬訂中
page 5	西康日記二四九第十三編永寧麗江途中
page 5	廣州灣統制航運規定帆船須納款領執照
page 5	重登九嶺
page 5	倚馬山頭
page 5	三顧茅盧
page 5	預約痛飲
page 5	南路戰區善後當局撥款辦理急振
page 6	大洋輪船旅客行李檢查下月實行已擬就檢查之詳細辦法乘客登輪後即不准離輪
page 6	粵內地青黃不接購糧會趕辦洋米銀行團已同意貸款購米保證問題尚待雙方磋商
page 6	穀米統制專員解釋存米計劃進行極順利各種米均有存米霉爛政府不負責任
page 6	四邑難氏待賑孔丞深盼港僑救濟
page 6	財委會明日會議追撥不敷政費
page 6	移民局長回局辦公調查委會將續審陳漢明主任談富氏病因由於食安眠藥過量所致
page 6	移民局工作最近已改善
page 6	菲島限制華僑入口營商及遊歷例外
page 6	大批新警分發各區服務繼續訓練加強警備力量服務長久員警均行功牌
page 6	廣東銀行去年盈利二百萬元
page 6	聯青社明日舉行午餐會
page 6	軒尼詩道竊匪斬傷傭婦受刀傷四處送醫院救治警探查究後通令緝逃匪
page 6	開發大嶼山查勘人員返港昨開分組會議詳細討論咸認首先應瘧疾清除
page 6	新運婦女會換物會成績在核訂中陶淑女校得七百餘元
page 6	霍亂症蔓延灣仔區流行最烈當地居民請遷移垃圾池衛生當局積極進行防禦
page 6	煤氣增價由本月起計算
page 6	輕罪犯暫停遞解出境監禁期滿即予釋放出獄後活動予以監視上週起開始釋出百人
page 7	甲組聯賽重頭戲南華逢警察一得一失有關錦標盼加努力另一幕士葛對抗海軍
page 7	射球紀錄阿滔第一
page 7	本週足球比賽節目
page 7	正廷杯女籃球半山甲戰南華
page 7	自由車球一九四一年新穎的球戲
page 7	星島足球隊今晨可抵港
page 7	越野跑各項籌備就緒定廿三舉行
page 7	本報小球隊今日戰虹社
page 7	緬甸華僑足球隊月杪出發遠征先到檳城次到星洲後到香港兩場試賽和英軍
page 7	五邑杯賽港區十隊題名乒乓聯合會主辦五邑杯
page 7	甲組聯賽形勢
page 7	公開籃球賽下月將舉辦
page 7	外匯牌價申匯續漲美匯英匯市況呆滯
page 7	股票略趨堅穩昨日成交共七萬餘元屈臣氏行將開派股息
page 7	國幣市況轉趨堅挺
