page 2	第五縱隊的陰影 
page 3	晉南我軍加緊掃蕩犯中條山日軍顯已全線崩潰茅津渡東北各據點先後克復
page 3	日軍在滬郊屠殺我平民無辜遭戮者千餘人各公會發宣言斥責日軍
page 3	角逐中的美日
page 3	經濟社年會陳嘉庚演說
page 3	粵新縣制推行極為順利
page 3	桂檢查加緊嚴防奸人混入
page 3	我神勇空軍轟炸日運輸線投巨彈百餘枚澈底破壞青陽附近擊落日機一架日機窺渝見我有備遁去
page 3	伊盟特王向閻長官獻旗
page 3	林語堂在馬尼拉演講 
page 3	魯晉災情嚴重振委會已分別救濟
page 3	成吉思汗誕辰甘主席派代表致祭
page 3	禁煙會議
page 3	日本經濟戰的脆弱性一
page 3	贛北皖南激戰中我軍衝入合肥城
page 4	英商務代表團不久將赴羅馬賡續談判希望轉濃蘇注意瑞典中立地位傳已向德國要求維持
page 4	美國會將討論對日禁運案如由政府方面提出必可輕易獲得通過
page 4	挪中部英軍據點益穩固
page 4	那維克港外已實行佈雷
page 4	挪政府重申抵抗之決心
page 4	挪議會會長駁斥德聲明證明德早有侵挪準備比瑞報紙皆斥德狡辯
page 4	美駐蘇大使
page 4	美軍火輸出額四年來增八倍英法購買數量激增對日禁運漸著成效
page 4	義態度漸明朗極力防止戰事蔓延地中海傳德仍不斷唆使義國參戰
page 4	蘇優秀飛行員失事斃命曾一度飛抵北極
page 4	土耳其當局逮捕德人並驅逐出境
page 4	日對荷印確懷侵略野心苟日不顧利害貿然用兵英美法荷必將起而抵抗
page 4	上海附近一頁血帳
page 4	歐洲外交戰白熱化
page 4	越南大學增設研究機關 
page 4	德侵挪未已又要求殖民地艾勃曾演說強調主張
page 4	挪威戰事膠著英法決趕調軍隊增援挪中部德軍推進未逞
page 4	芬蘭灣及愛海岸德宣布為危險地帶警告德輸勿駛入
page 4	英海軍竭力阻德軍赴援 
page 4	挪中部德軍仍伺隙蠢動 
page 5	瓊島戰事轉猛烈殘日竄擾遭痛擊
page 5	中正獎學金教育部頒布辦法並聘請委員組織審查會
page 5	四邑水道交通昨局部恢復竹排沙日艦已全部他駛廣州米荒問題日益嚴重 
page 5	湖南省舉辦茶葉貸款貸款區域暫定十餘縣
page 5	新都影劇情報重慶廿五日航訊
page 5	廣東省立臨時醫院開始收容傷病軍民
page 5	湘西土著民族椎牛惡習省府勸導改善將從教育著手
page 5	滇省邱北等縣降雹成災田禾損失重大
page 6	黎頓中將繼任英駐華海軍司令定九月一日起執行職務諾貝爾新職當局未公布
page 6	黎頓中將略歷
page 6	歐戰時曾被俘
page 6	加入傷兵之友社須注意作弊者婦女徵求委會昨發聲明本港徵求機關共五團體
page 6	發現流弊
page 6	賑聯會常會捐助孤軍膠鞋 
page 6	大誠中學設國語晚班
page 6	港九教聯會舉辦平民教育暫設一校收容五六年級學生以兒童節贈旗款為經費
page 6	設校程序經濟來　
page 6	平教委會組織章程
page 6	柴可夫斯基誕生百年祭蘇聯昨日對華廣播特選柴氏音樂節目
page 6	糖商總會長期義捐匯渝
page 6	李鴻飛畫展假聖約翰舉堂行
page 6	鎮華學校教師梁父赴滇緬路任職 
page 6	法國女音樂家奚居克夫人來港漢華女中日前開會歡迎夫人演奏豎琴並予說明
page 6	繳款手續
page 6	兒童保育會粉嶺新院設備完善蚊蟲特多需要蚊帳
page 6	中山大學決定遷回粵省刻正與粵教廳進行商討我教育當局擬每省設一大學
page 6	嶺大農學院將遷仁化縣
page 6	委員人數二十五人
page 6	紅磡各僑團籌備紀念五四日前開會推舉執行委員籌款慰勞粵北英勇將士
page 7	菲中華臨別表演明夜出戰港星首場男子賽星島對抗東方赴星不成定後天返菲
page 7	公開籃球賽下月八日開鑼
page 7	銀行業餘聯會舉行足球義賽
page 7	征越隊今日啟航
page 7	外匯牌價仍無變動英匯美匯市況沉寂
page 7	昨日本港股票市況略趨鬆弛買胃呆滯成交僅八萬餘元
page 7	八九金市仍屬穩靜美匯穩定價少起落
page 7	記者體協會旅行元朗上午十時出發
page 7	乒乓聯會章則修正公布
page 7	桂林勞軍籃球賽第五軍榮獲冠軍
page 7	港校際運會閉幕華仁書院第一教育司蒞場頒獎
