page 2	西南建設中之資金與技術問題
page 3	安慶近郊戰況猛烈我軍克復據點多處東江我軍活躍不時出擊建功桂南收復思樂後正撫輯災黎
page 3	日本妙想天開誘和一再失敗又圖墾蘇聯斡旋重慶對和平運動毫不知情
page 3	日機不斷肆虐又襲成都昆明
page 3	滬華文報上月份有三家受警告
page 3	粵青年團發起獻機運動
page 3	發展戰區工業晉豫浙工合辦事處成立負指導責任以從事生產
page 3	粵贛公路業已正式通車
page 3	川紳紛捐軍糧蔣委員長特傳論嘉獎
page 3	傅筱庵出殯滬租界如臨大敵
page 3	鄂南湘北日軍盡搜括能事徵穀勒稅民不堪其擾
page 3	沙面租界情形日非美商行結束業務
page 3	上海三日內凍斃五百人
page 3	赫爾發表演說痛斥極權國家美國今後難苟安獨全應繼續援助中英兩國
page 3	美國財政援華的檢討一
page 3	撤僑美輪兩艘下月抵滬
page 3	滇緬路無恙
page 3	越南在壓迫下將傾向軸心經濟上恐將被日本獨佔美輪兩艘在海防被扣留
page 4	希特勒與墨索里尼傳將再度會晤法德聞已決定合作英美元首電函貝當
page 4	歐洲戰事將廣泛展開義軍不久將再攻埃及英方正研究供養問題
page 4	義對希臘企圖藉口生事謂希軍曾槍擊義步哨兩國空航電話已中斷
page 4	黃海空軍聯合突襲侵埃義國
page 4	齊亞諾接見天羽談話一時餘
page 4	赫爾斥路易士企圖歪曲民意工業組織大會領袖多表示擁護羅斯福
page 4	英勞工部長演講歐洲正義秩序將破除特權與門閥德席捲政策必失敗
page 4	荷印禁米出口穀產收成不佳
page 4	多瑙河航務會議取消原有機關組織新委員會
page 4	荷蘭又捐獻購機贈英先後六十餘萬鎊
page 4	不值得重視
page 4	法態度可慮
page 4	多此一舉
page 4	英格蘭遭遇猛烈空襲倫敦區發出七次警報
page 4	日本南進的造因談談所謂大東亞經濟集團的內容四
page 4	西希望與英談判新商約
page 5	粵整頓公路大修韶關興寧線中央撥款百餘萬元興工龍川大江橋亦招標修復
page 5	澳門馬路原料來源不繼工程無形停頓
page 5	合作局將併入社會部農本局將撤消
page 5	中新游擊戰夜襲江門日軍傷亡數十日軍車在石岐城外受創
page 5	木刻十年紀念展在全國流動舉行
page 5	西康日記一九六第九編九龍木裏途中
page 5	日軍　收貨稅
page 5	順德擊毀日船
page 5	澳門防務稅下月起徵逾限不繳須加罰金
page 5	河口鐵橋炸斷後滇越仍勉可交通老街渡河行數小時即有火車直達昆明
page 6	移民局法例草案本周內可送立法局該局之設將屬暫時性質非財政狀況穩定者不准來港
page 6	羅爵士談
page 6	米行公會籌設義學
page 6	字花字瞻賭局最近死灰復燃敲骨吸髓引誘小童入彀除惡務盡警方已予注意
page 6	三百餘人遞解出境
page 6	警方偵察按摩嚮導
page 6	絨衣等物價格奇昂
page 6	警署調動大批華探
page 6	印警四十訓練完竣
page 6	本港的漁業
page 6	我教育部頒布小學教員升級辦法海外立案僑校同等待遇
page 6	海外國選代表紛紛返國抵港僑務委會分別設宴款待古巴代表已於日昨飛渝
page 6	明日燈火管制演習
page 6	跳舞學院竟多至四十二間嗜舞者趨之若騖
page 6	關於小型影片
page 7	星島僥倖獲和局南華功敗垂成均幹彈琵琶應勝而未勝最後四分鐘打成二比二
page 7	比賽經過
page 7	警察初傳捷報光華苦戰不逞
page 7	乙組激戰亦成和局
page 7	德權鼎賽戰況激烈裕源迫和西園智夫力克果菜
page 7	南星大戰觀後感
