page 2	汛美大會的新教訓
page 3	東江我軍進攻增城Ｘ在唐家灣登陸被擊退桂林準備歡迎韋雲淞軍
page 3	武昌郊外砲聲我游擊隊與Ｘ激戰
page 3	Ｘ砲擊晋江厦海面Ｘ艦他駛
page 3	周佛海日內可到港
page 3	雲南起義滇各界開會紀念
page 3	豫境大雪我軍乘機襲Ｘ
page 3	Ｘ機窺五原附近中條山Ｘ因厭戰調防
page 3	貴州人力的動員幾件現實的報告
page 3	鄂南游擊隊在陽新殺漢奸
page 3	由肇慶到馬房西江前線陣地視察
page 3	漢外僑俱樂部捐款救濟難民
page 3	旅美僑胞壯舉阻止輪船運軍火赴日
page 3	張曙遇難長女公子同殉
page 3	津兩租界嚴重形勢未減
page 3	黔教育界響應一元運動
page 3	傳日蘇衝突日本調兵遣將中
page 3	我機炸蕪湖Ｘ機一架受重創
page 3	一二二五紀念渝蓉擴大慶祝渝建議為民族復興節滬各團體發告同胞書
page 4	美總統耶誕節詞願為和平而努力
page 4	汎美大會通過利瑪宣言通力合作維護聯帶關係相互承認主權抵抗外力
page 4	德波邊境猶太難民待賑多宿於馬廐及倉庫內猶太會計劃出資遣送
page 4	德獎勵生育耶誕頒母親章希斯廣播演說歌功頌德
page 4	耶路撒冷阿猶諒解雖成人心仍感不安
page 4	英空軍人員耶放誕休假
page 4	法對義覆文已經國務會議核准日內將送達義政府
page 4	德土進行貸欵協定藉以發展相互貿易土代表團抵達柏林
page 4	西叛軍公報表示樂觀戰爭進展至有規律
page 4	達拉第巡視屬地將有軍事要員隨行
page 4	駐委內瑞拉美使昇格委駐美公使亦昇格
page 4	中工試驗所當前工作解决實際工業問題都以苦幹精神打破了一切困難在抗戰期中奠定了建國的基礎
page 4	德報猛烈反美攻擊易克斯與畢德門謂將對美採報復手段
page 4	英國總選明春舉行
page 4	日本議會今晨舉行開院式
page 4	歐洲的新局
page 4	外艦由漢駛滬沿江所見都是日輪封鎖理由極不充分
page 4	南國總理
page 4	遍地銀裝
page 4	英報警告日本倘欲壟斷在華之利益英日商務協定將失效
page 4	Ｘ在華北增稅報復英美對華借款外商即將提出抗議
page 4	汪先生應當力疾回渝
page 4	耶誕節與中國人
page 5	粵東我軍總攻令下進抵鐵場包圍增城便衣隊一度衝入增城殺Ｘ甚夥東莞石龍我團隊潛伏準備反攻
page 5	粵省黨部督導團停止工作
page 5	中山要聞三灶島發生巨炸聲政訓員赴部隊工作
page 5	中國銀行仰光經理處明年一月初旬可開幕
page 5	龍山Ｘ騎兵調動一百餘名開駐沙口河清築壘防我反攻
page 5	川滇公路下月起可通車
page 5	過澳攜款逾限拱北關留難難民陳祥之款延不發還財部又飭審查呈報
page 5	滬節約委員會響應一元還債運動發表告市民書
page 5	我恢復越暹空郵暹京郵局通告七日起收運華郵件
page 5	Ｘ在西江肆虐新會縣城被轟炸投彈六枚死傷七人
page 5	Ｘ偽圖窮匕見侵佔滬七水電廠誘華商合作遭拒絕竟定元旦實行沒收
page 5	新會維持毫券
page 6	當局現正考慮改善港居民住屋人口激增衛生問題嚴重開拓新界積極計劃進行
page 6	新界名區難民繼續送深圳收容賑聯會各站分別辦理結束惠陽商會派員入內地救濟
page 6	港商籌設大夜總會遠東遊覽之中心需有此文明娛樂
page 6	港僑銷債疲弱今年僅銷二百七十餘萬擬舉行大規模募債運動
page 6	華民司派員調查商人操縱柴價各地柴又運到惟價仍貴澳門柴禁望可全部開放
page 6	水費繳納花樣仍多增水費不減租有則按層分配
page 6	港澳通話明年一月開始
page 6	本港客棧營業慘落有將一層出租以資維持業務
page 6	入口貨商再開聯會擬向華人代表求援洋紙商損失比較最大貨多改零售紙價下跌
page 6	匯款返國數目激增六萬萬五千萬
page 6	大地成銀世界本港突趨嚴寒
page 6	ABC舊書鋪遷移出清存書新舊書五折
page 7	國際杯足球第一戰葡萄牙對愛爾蘭今日下午三時半在九龍舉行
page 7	滑稽化裝足球義賽一片歡笑聲中西百怪齊上球場紅男綠女慨解慳囊
page 7	中西田徑義賽昨日圓滿結束南華體育會連獲男女兩冠軍男子鐵餅泰勒破我全國紀錄
page 7	籃球基本技術美國威爾氏作安尼譯
page 7	世運會期漸近芬蘭加緊籌備編印刊物擴大宣傳大興土木以壯觀膽
page 7	女子籃球糾紛餘波知行宣告退出並發告各界人士書表明真相
page 7	菲律濱網球名手加維亞將來港定廿九日在九龍木球會表演林珍與徐氏兄弟將出場應戰
page 7	過去兩月間港貿易劇縮ＸＸ陷我廣州之後關閉華南對港門戶
page 7	傳將施行外匯統制汕頭蛋大批到港廣州灣為數亦多售價日降天津因運費昂貴來源斷絕
page 7	奢侈品輸入不減戰前國府通令限制非法進口者由海關查禁提高營業稅率寓禁於征
