page 2	社評美中立法問題的檢討
page 3	晉東南又展開劇戰Ｘ軍分三路進犯均被擊退鄂中我軍反攻至潛江城郊我神勇空軍飛臨北江揚威
page 3	抗戰進入第三年英報頌揚我軍士氣英著名作者發表演說譽我為唯一有望國家
page 3	抗戰佳話吃香腸戰略中條山大捷
page 3	蔣夫人對美廣播嚴厲制裁暴日
page 3	北寧車中斷路軌被水沖毀
page 3	閩主席發表抵抗封鎖對策勗勉僚屬及全省同胞發揮持久戰策之力量
page 3	Ｘ機襲渝英艦被炸
page 3	蔣委員長告戰地民眾
page 3	平津我軍極為活躍Ｘ軍又揚言掃蕩
page 3	七七之日漢Ｘ圖謀不軌北平在平靜中渡過
page 3	廣州Ｘ人指導遊行
page 3	漢Ｘ拘留英人
page 3	歐美僑胞紀念七七認捐情形踴躍
page 3	京滬路上Ｘ火車被炸我游擊隊又一傑作
page 3	滬甬復航謀福輪昨開出
page 3	滬租界戒備昨日稍見鬆馳
page 3	邵力子電謝反侵略總會
page 3	肅清烟土辦法提案原文設置機關嚴厲監督澈底澄清不容遺漏
page 3	肅清烟土提案原文
page 3	桂副縣長制度省府決定廢除
page 3	上海新聞界另一面中華日報忙於復刊文匯報陷進退維谷
page 3	肅清私存烟土辦法
page 3	偽滿外蒙邊境已發生劇烈戰事情形近似張鼓峯事件援軍由西伯利亞趕到
page 3	偽聯委會貨色陳舊Ｘ方故意虛張聲勢
page 3	奉賢偽警殺Ｘ反正投誠
page 3	Ｘ少年兵又有一批到滬
page 4	日陸外兩省協議對英談判策略陸軍省態度狂妄已極英報促政府不可讓步
page 4	談判範圍如擴大美法將出而干涉
page 4	反英運動益猖獗克萊琪竟須保護
page 4	對但澤問題波表明態度張伯倫亦將發表聲明
page 4	但澤當局準備不輟
page 4	駐英波使返國報告
page 4	英蘇法賡續談判英法新訓令抵莫斯科希望成立一般性協定
page 4	抗戰第二週紀念日告日本民眾書續
page 4	羅斯福批准貨幣折衷案孤立派議員冥頑不靈仍視中立法為護身符
page 4	麥克諾特擁護羅斯福不擬與總統競選
page 4	世界宗教大會聲討暴力主義第四屆會議在法舉行謝壽康演說博得同情
page 4	美新海長由次長愛迪生升任
page 4	在德談話竣事保總理返國德當局花言巧語圖拉攏保國入夥
page 4	英法進行調整空軍合作辦法雙方談判極有進展
page 4	敘利亞總統辭職
page 4	Ｘ國內無辜人民又將遭殃動員法第四條明令實施
page 4	荷蘭將組國防內閣女王決召軍政領袖商新政府組織事宜
page 4	遠東風雲莫測印緬同舟共濟緬督下週訪印督商軍事財政合作
page 4	勝利的象徵
page 4	京滬路炸斷
page 4	漢法租界之滋騷
page 5	偽自警隊遭Ｘ扣留順德Ｘ偽實行火併大良容奇桂洲游擊蠭起伶仃洋艦減少中山形勢轉Ｘ穩
page 5	鼓浪嶼難民閩移墾漳屬荒地高漢鍫談籌備經過
page 5	粵擇若干縣市設社訓模範區
page 5	閩省府優待僑胞保送受訓准免考試
page 5	抗戰第二週紀念日告日本民眾書續以上接第四版
page 5	澳門紀念七七
page 6	七七紀念日售花欵開始繳回可逕送交賑聯會財務組預料成績必較去年增加
page 6	肺病患者愛國未敢後人捐款激勵戰士
page 6	今日基督徒舉行國難禮拜三十餘教堂分別作祈禱唱普天頌讚祝前線將士
page 6	中區防空班勸請商民受訓在非常時可以衛已救人印就傳單一種昨日分發
page 6	搶劫偷騙市民們要自己隨時留意
page 6	中大服務團商震請軍委會獎勵
page 6	領防疫證今日在舊國家醫院
page 6	運蘇藝術品各界踴躍應徵葉蘭泉報効烟火炮竹梅蘭芳出品臉譜全套
page 6	勞工司發表本港勞工狀況男女工共五萬四千餘人收入微少生活情形甚苦
page 6	七九國民革命軍紀念各社團學校懸旗
page 6	中旅上演武則天本月十三日起在利舞台舉行
page 6	護士局考試成績揭曉
page 7	溫布爾頓男單打力格斯榮登寶座一日內共打十一盤畢竟是球王本色各項決賽幾全係美國天下
page 7	南華隊在檳城打勝中華追記上半時一比零南華佔先
page 7	拳王喬路易出戰巴士達年底舉行
page 7	昨天棒球劇戰中華勝南華先輸後贏十比六死裹逃生今日西洋迎抗香港會
page 7	修正台杯法例一致否決
page 7	夏令足球比賽今日開鑼戲下午二時在嘉山揭幕三時赴工務局場撕殺
page 7	西南運輸籃球隊在滇所向披靡四七比三五勝航校冠軍老將寶堃鴻表演出色
page 7	德權鼎小球今天開戰下午在修頓塲
page 7	世界兩英里跑紀錄翻新係芬蘭人做成
page 7	公開男女籃球十五頒獎聯會昨決定
page 7	外匯牌價無變動英美匯市俱靜寂申匯市微淡且靜買賣稀少安達購進五萬匯豐等吐出
page 7	過去一週間股票市尚穩靜買戶給價過低成交稀少全週交易僅四十八萬元
page 7	八九金市買賣尚稀少價格則微漲
page 7	投機家拋出英印銀暴跌
page 7	今年五個月內金銀進出口數金條運美總值近二千萬銀出口千餘萬多運英國
