page 2	羅斯福眾望所歸
page 3	緬甸運輸問題英眾院熱烈質問邱吉爾如此答辯赫爾再申明美堅決反對
page 3	英國兩院議員希望政府審慎
page 3	行都各報著論評論英日談判
page 3	滬法租界鐵門重行關閉嚴防煽動份子混入
page 3	天津法租界治安問題法日又成立協定
page 3	侯嚴里被殺案真相暴露
page 3	滬申報炸彈案捕獲正犯一名係東亞反共聯盟會員
page 3	侵犯鎮海日軍受創日艦六艘五傷一沉龍州日軍向西南竄擾
page 3	董逆修甲有官難做
page 3	南京汪宅包圍活劇
page 3	國民大會代表舉行總登記各地並分設通訊處
page 3	國府明令褒揚雷鳴遠
page 3	鷸蚌相爭漁翁得利
page 3	傀儡醜態偽交通部大碰釘子
page 3	魯鄂豫省偽軍繼起反正抗日
page 3	近衛東條松岡一
page 3	英國報紙輿論婉言曲為辯護
page 3	英日簽訂東京協定停閉滇緬公路運輸
page 4	美民主黨選舉揭曉羅斯福獲絕對擁護
page 4	克里浦斯謁見史達林蘇表示決保持中立不信德足威脅蘇聯
page 4	德軍進攻呼聲仍高英作必要準備英軍準備肉搏至最後一人辛克萊料德當蒙重大困難
page 4	德軍四萬開抵西邊境弗朗哥談已作準備保護西班牙之權利
page 4	近衛內閣難產閣員昨僅決定三人松岡東條分任外陸相
page 4	德機衝破火線在英沿岸投彈
page 4	美國陸軍明年元旦大部完成配備
page 4	英財部常次謁羅斯福總統商談問題聞頗重要金鎊匯率已趨穩定
page 4	柏林第一師自前線抵京後將作盛大巡遊
page 4	近衛與中國事變
page 4	薛西爾之言
page 4	懷念張伯倫
page 4	愛爾蘭參謀部加緊充實防務
page 4	擁羅聲勢浩大壓倒反對份子
page 4	民主黨大會中通過外交政綱
page 5	中山偽軍分贓不均明爭暗鬥日益劇烈
page 5	睦洲方面
page 5	武裝護割
page 5	米價回跌
page 5	韶關一週間七七獻金得款二萬餘元行政效率會最近即成立
page 5	黨政軍獻金熱
page 5	江會方面
page 5	國府明令修正公布學校教職員養老金及卹金條例
page 5	促進行政效率
page 5	招致港僑辦法
page 5	市區空前酷勢
page 5	曲江任用女公務員
page 5	粵藝術館保送學員本月二十日開始報名
page 5	西康日記一二三第五編由榆林宮到梭坡
page 5	重慶點滴
page 5	廣西優待出征軍人組織幫工隊義務幫助家屬工作通飭村街切實推行
page 5	昆明鱗爪
page 6	清華留美公費生取銷在港考試辦法港滬應考者須逕赴渝滇林主席獎金在國內考試
page 6	糧食問題儲米成功牛豬來源短少商人乘機操縱米價昂貴四華人代表請港府注意
page 6	廣州灣當局竟禁港貨進口永和輪載各貨原輪折回廣州灣與內地貨運停頓
page 6	大學聯誼會昨旅行淺水灣
page 6	魯迅誕辰文化團體準備紀念
page 6	港府再通告英僑登記逾期即以違例論罪
page 6	港師資訓練學院昨舉行頒獎典禮教育司蘇利士親到主持新校舍宿舍明年可落成
page 6	五十天內環遊世界英國情報部遠東分處主任昨晚廣播
page 6	七七花款
page 6	無微不至防止虐畜會一年來之工作修訂雀鳥店則例成功擬取締用竹籠載豬牛
page 6	挪法敵土 
page 6	海道的安全
page 6	空軍部公報
page 6	倫敦人感想
page 6	路線和日期
page 6	防務條例略有刪改憲報號外昨公布
page 6	警察交通部徵用電單車昨發出通函一百七十件請緊急時期為政府服務
page 7	星島南遊足球隊昨日踏上征途行期兩月將遍遊南洋各屬和和杯賽恐難與東方會合
page 7	東方游泳會首次水藝會定星期六晚舉行
page 7	長洲東莞小學水上運動
page 7	昨日夏令籃球仿林力挫印警初級組聯英小勝洪流
page 7	東方在吉隆坡酣戰雪蘭峨比賽兩場一勝一負
page 7	三角游泳競技比賽秩序排定水球友誼賽南華對華人
page 7	美菲荷匯牌價略縮英匯沉寂申匯穩靜
page 7	八九金市昨日依然淡靜
page 7	股票扶搖直上買戶踴躍價格續趨高漲昨日成交總值十八萬元
page 7	國幣堅穩價格起落甚微
page 7	中青游泳會成績測驗明晚在北角舉行
page 7	中華體協會今日召開會議
page 7	建公杯乒乓最後決戰定二十日開始
page 7	全澳夏令籃球定廿一日開賽
page 7	送行別紀
