page 2	社評日本二重外交的矛盾性
page 3	天津局勢更趨嚴重英國希望就地解決英凱雅斯上將演詞激昂美艦隊司令已乘艦北上
page 3	租界封鎖又加緊一步搜查英人橫施侮辱煽動英捕辭去職務
page 3	津Ｘ軍當局向美國獻媚希望美勿插足其間以便單獨對付英法
page 3	凱雅斯演說對日應還擊格林伍德發表主張打倒德義日之野心
page 3	粵桂線土反攻的前夜飛鵬十二日寄自韶關
page 3	世界的與論咸對日譴責英報謂不能再讓步美報主張與英合作
page 3	滬新聞界代表慰問矍紹伊刺瞿兇手在偵訊中供有同黨一百餘人
page 3	周鍾嶽等昨日宣誓就職
page 3	反戰之火漢Ｘ汽油被焚
page 3	陝動員會舉行成立大會
page 3	鼓浪嶼事件或將重開談判英美法三國當局擬設法運輸食糧
page 3	Ｘ艦窺潮汕甚急晉南我續獲勝利
page 3	張繼任慰勞總團長
page 3	滬一暗殺狐國女人殞命
page 3	汪派機關報將中在滬復刊
page 3	僑務委員會在滇設辦事處
page 3	滬法租界昨日搜查行人
page 3	岳陽漢奸被Ｘ槍決二名
page 3	褒揚蒲德利等
page 4	英在日德威脅下加緊對蘇談判各派輿論力主讓步史德隆特展期返英
page 4	義海軍演習第一第二兩艦隊分在地中海舉行
page 4	凡勒拉在眾院申明南愛立場充實力量為中立後盾與英國保持商務關係
page 4	德人在捷行為引起捷人反感牛賴特返德提出申訴
page 4	潛艇的救星南工程師發明新儀器能拯救沉沒艇內人員
page 4	希特勒接見阿拉伯特使談話歷時頗久內容性質未詳
page 4	國際貿易不振Ｘ大感恐慌內閣為亡羊補牢起見擬在商工省設貿委會
page 4	獎勵生育下義人口增加
page 4	義軍參謀長飛往阿京
page 4	傳義西將訂不侵犯協定內容與葡西協定同
page 4	不列顛皇后號輪安渡氷山區域英王揩后不顧風險巡視護送三驅逐艦
page 4	羅國一允割讓多布魯查與保羅閣員狄渣農之表示
page 4	國人在越南行動法律根據研究卓還來
page 4	越南防軍司令飛抵西貢即轉往新加坡
page 4	德國野心未戢大軍續東調圖窺斯境戈培爾演說垂涎但澤
page 4	桂建設幹部學校舉行成立典禮白主任黃主席分別致詞
page 4	Ｘ屍灰傷兵大批過津東運
page 4	為人道抗議
page 4	什麼立場
page 5	我軍反攻江會昨在木朗與Ｘ激戰順德團隊連日出擊獲勝
page 5	紅十字會在重慶注重急救預防工作建大規模重傷醫院
page 5	粵漁臨視察團視察陸豐海豐完畢日內即到惠陽工作
page 5	瓊崖游擊Ｘ人到處肆虐我軍壘有斬獲
page 5	周雍能七一接長粵僑務處
page 5	興寧夏回族Ｘ機濫炸
page 6	世界學聯大會我全國代表今日由港放洋陸欽墀昨由重慶抵港龔普生今日過港同行
page 6	七七紀念僑團發動擴大勸募公債公債分會今日提出討論素食售花運動積極進行
page 6	中國紅十字會總會工作近況分傷兵救護與民眾救護朱恒璧龐京周日前返港
page 6	警司呈請嘉獎譚松䘏尹捐款今日結束
page 6	袍笏登場皇后定期先演
page 6	兒童保育會選舉常務理事謝妏瑜何香凝等當選王孝英許畹君等辭職
page 6	體育路由海軍紀念碑起至香港足球會止
page 6	慰勞信生活書店響應徵集慰勞信箋免費贈送
page 6	學賑會招待各界報告服務團工作
page 6	衛生人員登記踴躍登記表全數發出
page 7	法國網球錦標賽各項雙打均結束男子組美國選手榮膺冠軍麥尼路精神抖擻再度建功
page 7	南華夏令足球賽今日截止報名參加踴躍預期可達七隊
page 7	前東華名將吳幼良將由美返國
page 7	一代英雄歐文思宣告破產
page 7	英國硬地網球許蔡決戰別紀
page 7	申匯牌價略漲英美匯淡後趨緊申匯市況淡靜買賣仍然不多
page 7	英金不動英銀均跌
page 7	股票市仍不振投機家多取靜觀態度全日成交僅七萬餘元
page 7	八九金市略堅但靜買賣不多價格稍漲
