page 1	"社評讀省縣自治通則草案初稿"
page 2	"莫斯科重要會談史達林接見三使節蘇外長在座密談兩小時眾信四國可能作進一步會商"
page 2	"華府巴黎開會討論蘇京報告倫敦譯電專家徹底工作"
page 2	"國民黨黨務檢討會昨晨在京開幕會期兩天一共提出三種書面方案"
page 2	"所得稅起徵額財政部已公布薪水階級負擔更加重了"
page 2	"珍視憲法解釋權"
page 2	"保定外圍驟緊冀東前線有小接觸國防部軍教會議昨揭幕"
page 2	"小孩無辜坐牢三月被誣縱火終於無罪開釋一件發生在上海的事件"
page 2	"牯嶺即景山上豪客共有九千多人房屋租金都以實物計算"
page 2	"政院接受預算案咨覆立法院請即公布"
page 2	"關於粵省共軍美工程師一席談他曾被共軍俘去最近獲釋"
page 2	"全經會即結束改組為經濟設計委會"
page 2	"張群飛滬"
page 2	"大法官會議昨開預備會"
page 2	"調查七五事件兩監委昨抵平據說將在民間收集材料"
page 2	"長江水位"
page 2	"穩定物價方案日內討論先從整頓金融機構入手吸收僑匯新辦法詳細研究中關於幣制改革傳說轉趨沉寂"
page 2	"煤價狂漲偷電風熾電廠多瀕破產各地派代表到南京請願陳啟天表示電費基數可增加"
page 2	"腳藏金剛鑽也被查出來江海關檢查無徵不至"
page 2	"兩航空公司明天提高票價"
page 3	"多瑙河會議急轉直下蘇提新公約草案即付表決擬限制西方國家既享特權"
page 3	"蘇京和氛盪漾中柏林糾紛未已蘇區警察與市民衝突美方的警察局長上任"
page 3	"省縣自治通則草案初稿上接第一版"
page 3	"柏林蘇婦孺將遣送返國"
page 3	"對日戰爭犧牲大美有幾人未淡忘李查遜促定戰爭紀念日號召國人勿忘作戰勝利"
page 3	"美貸款聯合國大概沒有問題眾院即可予以通過"
page 3	"南韓新閣將組成閣員大部分是民主黨員"
page 3	"如此審訊戰犯東條成了日本英雄各方不滿東京戰犯法庭"
page 3	"華府疑雲密布非美委會為間諜網案忙國務員已開革百餘官員"
page 3	"美共舉行大會各領袖抨擊兩黨的政策說將導向戰爭及不景氣"
page 3	"誰阻宕世界裁軍普通武器委會美蘇舌戰互責對方破壞工作進行"
page 3	"日本政局將有劇變解散議會似乎無法避免總選將產生更保守內閣"
page 3	"日本最富華僑黃萬居即返國"
page 3	"湘省濱湖災情慘重各縣代表到省請願親寧飢民請願遭槍殺"
page 3	"美總統競選杜威呼聲較高民意測驗結果有所顯示"
page 3	"日賠償拖延中三成提前賠償工作明年竣事其餘七成分配比例有待會商"
page 3	"退役女兵善產孿生子女星洲司令招待馬來歸僑"
page 3	"美國會繼續開會十三人主張休會被否決"
page 3	"發展遠東經濟蘇在經社理事會提出呼籲遠經理事會臨時會址仍設上海"
page 4	"旅業代表謁見當局後限價辦法暫停執行房租餐費照七月卅一日收費不必再減價但是也不准增加"
page 4	"老闆聽到消息無不喜氣洋洋"
page 4	"般含道謀殺案高庭昨天續審辯護方面傳訊證人多名大家都說兇手有癲狂病"
page 4	"八百六十八個孩子前週在港九誕生同時有市民二百多人死亡"
page 4	"調查日貨銷港情形反扶日委會決撥款辦理全部工作預計兩月完成"
page 4	"沙士輪上貨物一批手續未完不准出口共五百餘噸限今午起回漢陽輪上搜出私貨甚多"
page 4	"八期廉價米今天開始發售每斤六毫八仙"
page 4	"沙魚涌據點國軍日前回駐"
page 4	"張群過港飛滬"
page 4	"中航各線全用客機"
page 4	"研究輸管制度華商商會小組會明天開會"
page 4	"五人打架各罰十元"
page 4	"一屍兩命慘事少婦馮群服拉素自殺其夫乘夜送往養和醫院及東華東院求治未被收留等送到瑪麗醫院時已經無法救治死者懷了四個月的孕造成一屍兩命慘事"
page 4	"黃竹街邊布販被搶"
page 4	"三盜竊案判決被告三人判獄兼遞解"
page 4	"限價聲中一插曲美空軍九人找不到房間驚動了管制官始有著落"
page 4	"荔枝角海濱一泳者失蹤"
page 4	"平正會計學校八月十六開課"
page 4	"垃圾藏曲尺法庭昨判充公"
page 4	"職業未得先破財一個女人說可以替人找事四十多個男女被她騙了錢"
page 4	"警察去查煙格男子跳樓重傷"
page 4	"謀殺活特案被告可能向英倫上訴辯護律師函英王顧問請教有關上訴的事情"
page 5	"修正出口證辦法實施後港暹貿易將受影響出口商先遭受匯率損失輸菲韓貨商人都在觀望"
page 5	"有些商人對新辦法不重視"
page 5	"國幣內匯由跌轉升黃金市勢賡續盤低美匯再退美鈔價格穩昂"
page 5	"總統府一日明令公布海關進口稅則一"
page 5	"台南七月份果菜產銷統計果實四十二萬餘斤蔬菜九十一萬餘斤"
page 5	"黃金再降市場平靜"
page 5	"關稅率修正粵仍未實施煙酒進口稅率提高"
page 5	"股市仍淡成交二五萬餘元"
page 5	"印花布輸星較戰前增加"
page 5	"滬市物價下降穗米麵稍回跌汕金鈔紗微漲"
page 5	"滬銀根轉鬆行局連日差出計有五個因素"
page 5	"麻包現貨渴市創本年新高價印度出口配額減少"
page 5	"穗市銀根仍緊大鈔不敷調撥收兌小鈔達四千億"
page 6	"我籃球隊初傳捷報戰情緊張加時決勝負相差兩分壓倒比利時比方不服氣提出抗議"
page 6	"加強守衛力量朝鮮隊不足憂"
page 6	"女百公尺泳決賽丹麥安德遜冠軍"
page 6	"智利籃球隊擊敗菲律賓"
page 6	"我足球隊首次上陣竟遭土國淘汰四比零輸在氣力不繼我隊進展敏獲好評"
page 6	"老惠歸鴻第十八函"
page 6	"撐竿跳結果美選手冠軍"
page 6	"女子百公尺柯恩膺後座"
page 6	"女子圓頭劍賽艾萊克獲冠軍"
page 6	"五千公尺決賽瑞夫獲冠軍柴托貝克跑得第二首二兩名均破紀錄"
page 6	"其他各場足球賽義國朝鮮均大勝"
page 6	"匈選手獲得女擊劍冠軍"
page 6	"女子跳水美國第一水球比賽瑞典大捷"
page 6	"八百公尺決賽美選手破紀錄前五名相距僅十碼"
page 6	"女八十低欄賽荷選手破紀錄"
page 6	"十七項競賽積分美國扶搖直上法國已落後第四席"
page 7	"省參議員座談治安決請當局追究湛江事件責任整頓保警隊及軍隊的軍風紀"
page 7	"穗商會改選將延期還有九點疑問要等社會部答覆何輯屏和他的反對派進行冷戰"
page 7	"田賦徵率太重各縣嘖有煩言劉經畫指摘省參會駐委會說他們沒有權利作此決定"
page 7	"新會械鬥留下的問題善後委會已成立龍泉鄉沒人參加還請求縣府准免繳械"
page 7	"誰買肉體要付港幣"
page 7	"趙其休書面談話縱談調處新會兩鄉糾紛經過此次械鬥雙方死傷不過十名"
page 7	"不依法記帳受停業處分穗一金鋪將遭厄運"
page 7	"粵漢南段工人請願要求發薪"
page 7	"西江水漲韓東北三江水退"
page 7	"廣州市虎猖獗前天一天出事三次肇事責任鑑定會即成立"
page 7	"萬福士輪被擄者楊君拔獲釋返汕"
page 7	"吸煙請進新會煙賭窟公開營業"
page 7	"潮汕掃徵壯丁價漲每名近一億元"
page 7	"穗特刑第一砲審訊沙面事件嫌疑犯他們已被關了五個月皮黃骨瘦兩眼無光了"
page 7	"用木船造成的托兒所是珠江船家兒童的避風港醫藥缺乏盼得社會的援助"
page 7	"朱克勤案還有下文法律責任仍要追究"
page 7	"電白廣寧開建易長省務會議昨天通過"
page 7	"電證公司無人主持商會簽約即將接辦"
page 7	"穗市水電用費即將增加兩倍"
page 7	"新會各墟市起用元幣了"
