page 2	勉南僑慰勞團 
page 3	邕欽路東側激戰中輕進日軍陷入重圍我軍前後夾擊開始殲滅戰雷公　等處日兵全部肅清
page 3	晉北日軍潰退我正乘勝向五台追擊中
page 3	南北各地日兵反戰空氣愈濃 
page 3	工業合作協會將開全國工作會議並展覽各地工業出品滇分會積極推廣生產
page 3	滬米價稍低落日方仍控制內地產米運滬時均被低價購去
page 3	喜多在華北囊括甚豐他人分肥不得攻訐被調回國
page 3	華北災重中央當局特撥鉅款派員前往施放急賑
page 3	格拉斯福德乘艦由滬赴蕪湖
page 3	教育部召開社會教育會議游擊區國民教育問題曾有詳細討論及決定
page 3	外部改組就緒七司司長委定
page 3	經濟拮据尅扣囚糧滬工部局之德政
page 3	南僑慰勞團一路已抵海防一路離緬赴滇
page 3	專科以上學校三民主義課程中央特訂改善辦法
page 3	八月的鄉村俄文譯本在蘇暢銷
page 3	粵省各縣依新制分級視積分高低分為六等縣長待遇亦予以提高
page 3	黔盤縣人民踴躍服役縣府分贈榮譽狀
page 3	浙東我流動部隊封鎖各水道阻斷日軍交通路線
page 3	中央特電勉滬百餘工會
page 3	國家社會黨揭破汪陰謀
page 3	團結之道與建國之道下
page 3	鑼鼓日緊聲中汪光銘之掃興事內部份子紛紛發生動搖各黨派亦拒絕合作
page 3	平漢我軍活躍北段南段均炸毀日軍車
page 4	韋爾斯留歐最後一瞬德義巨頭會晤車中把晤內容秘密匆匆一談各自遄返
page 4	法謂德欲獲取義方某種擔保
page 4	北歐國家注視匈報未予批評
page 4	德對北歐國家加緊外交壓力利用北歐恐懼心理使其投入德國懷抱
page 4	墨商務代表赴日談判擬以電油交換日絲
page 4	張伯倫生辰照常處理事務
page 4	羅國總理廣播努力安內睦鄰德商務代表團抵羅京蘇土談判傳業已重開
page 4	芬蘭代表再赴莫斯科攜有批准和約文書
page 4	新加坡軍港扣留日郵件皆係寄往德國者
page 4	英德空戰傳將開始德機飛壟英東岸後英輿論界要求報復
page 4	德蘇沿邊蘇建防線名伏羅希洛夫陣線
page 4	匈總理將赴義大利並晤墨索里尼
page 4	綏蒙兩女王由陝赴渝晉謁當局報告 
page 4	汪兆銘受訓
page 4	德義巨頭晤面
page 4	韋爾斯謁教皇預定明日由義返美教皇將再呼籲和平
page 4	西北回漢問題之解剖上
page 4	荷蘭京城所傳德國條件五項
page 4	倫敦方面認為一種和平攻勢
page 5	中山八區安定小欖又發生激戰石岐市內人民遭荼毒穀米糧食被搶劫一空
page 5	三廠日軍放火焚燒灣仔形勢略轉和緩
page 5	普遍造林
page 5	農村合作
page 5	充實人才
page 5	上海郵政總局遭受壓迫日方幫意搬移鐵絲網強迫劃入虹口警戒線
page 5	農業建設
page 5	戰時鋼鐵漸能自給增產工作日見進步李景璐談基礎奠定
page 5	在泰被捕華僑案情未定馮爾和等仍遭覊押中
page 5	順德游擊隊夜襲大良奪獲機槍兩梃
page 5	昆明通信滇緬行八
page 5	廣州外圍日軍增加防我反攻不敢出擊各線戰事無大變化
page 5	改良蠶絲
page 5	獎進畜牧
page 5	厲行冬耕
page 5	推廣植棉
page 5	改進稻作
page 5	粵發展農業建廳正積極推進中各方面成績頗良好
page 6	本月二十四日追悼蔡孑民先生重慶及各地均同時舉行港臨時治喪會擬定秩序
page 6	大會致祭代表
page 6	通函各界參加
page 6	全港佛教徒前日公祭蔡氏港名流百餘人參加致祭蔡夫人及公子親自答禮
page 6	大學聯誼會定二十四日成立
page 6	攜衣赴河內應先報明件數以營利為目的者應納稅否則一經查出罰款頗鉅
page 6	金素琴昨日抵港將在利舞台演出
page 6	華南汽車工程學校
page 6	青年會發起時代認識運動遵奉領袖教訓認識時代文化界應負責普遍推行
page 6	利舞台
page 6	港府籌備開徵戰稅徵聘徵稅評議員殖民地皇家代表刊登廣告應徵者須為已登記會計師
page 6	女青年會募捐經費三萬元春雨連綿中仍積極進行希望社會人士踴躍捐輸 
page 6	中國國貨公司在澳門設立分店前日開幕梁後源夫人剪綵本港名流參加極一時之盛
page 6	水雷又在長洲海面爆炸
page 6	中國文化協會主辦歌詠比賽獨唱與合唱初賽後決賽各獎三名明日截止報名
page 6	國光製漆廠出產漆油運銷各地
page 6	響應春禮勞軍酒樓工友繼續輸將配製發冷丸攜前線分贈本月廿日舉行頒獎典禮
page 6	北大同學會昨開首次理事會建議政府設立元培書院將在本港各報發紀念刊
page 7	協會及南華東方分別籌備南遊總會明日開聯賽小組會義
page 7	世界運動大會仍將在芬舉行
page 7	東南大戰明日發售門票
page 7	美國排球聯會最新排球規則
page 7	精武籃球隊參加公開賽
page 7	九龍學界籃球女子組賽刻在籌備中
page 7	美匯牌價回漲兩咽申匯英匯市況穩定
page 7	八九金市轉趨鬆弛買賣不多價少漲落
page 7	股票漲勢稍挫買戶壓低售賣家堅持不放全日成交總值約廿萬元
page 7	震寰小球隊今日戰永南
page 7	國際羽球賽會將仿台維斯杯比賽制英總會計劃派隊遠征
page 7	東方菲遊球隊人選未定女籃延擱征菲
page 7	溫故知新錄十粵足球開始發揚
