page 2	社評祝工程師學會年會開幕
page 3	東京散放試探空氣企圖恢復美日談話美態度沉著準備進一步制裁
page 3	東條提前拜神右派要求採迅速行動
page 3	日報一致承認面臨空前危機
page 3	論資金內移一
page 3	浦東南匯蝗蟲猖獗損害農田六萬畝
page 3	澳各報評論太平洋局勢
page 3	我軍委會發言人報告東北敵兵力總數達三十三師團
page 3	財部照常供給滬正當外匯財次俞鴻鈞發表談話
page 3	富岡調任警視廳長
page 3	新加坡預防措置籌劃疏散居民普法姆取消紐西蘭之行
page 3	滬美軍司令下令嚴防恐怖分子敵憲在租界內濫捕青年
page 3	日壓迫葡國准日在特裏登陸
page 3	豫熱烈募債額定三百萬元
page 3	伊拉克與日斷絕商業關係
page 3	海內外勞軍達七十萬元
page 3	中國工程師學會今日在筑開年會
page 3	三年建設計劃明年 開始經費龐大後方工業蓬勃發展
page 3	東江我軍襲淡水綏北我士氣旺盛
page 3	滬體育界敗類王逆正林被狙
page 3	滬物價飛漲工部局設法平抑
page 3	許逆建屏投機失敗突告失蹤
page 3	敵將領在漢口開軍事會議將對我發動新攻勢
page 4	史達林仍留莫斯科直接指揮作戰莫斯科附近宣布戒嚴
page 4	南路德軍宣稱迫近羅斯托夫
page 4	德國財政金融底枯竭三
page 4	納粹重壓下之猶人骨肉分離流連顛沛壯者當苦役老者填溝壑
page 4	僑阿根廷奧人努力工作復國運動
page 4	法國淪陷區德司令被刺死德又展開恐怖報復行動
page 4	美將根據租借法案擴大援蘇哈里曼將謁羅斯福美代表團一部取道澳洲返國
page 4	阿富汗通知英國決驅逐德義僑民
page 4	美中立法修改問題參院開始進行威爾基領導黨員主廢除該法克爾奈傷亡十餘人
page 4	保軍橫暴希人奮起抵抗革命高潮蔓延至廣德調大軍武力鎮壓
page 4	島田的廣播
page 4	印陸軍漸強大人數百萬配備優良海空軍亦正積極擴充中
page 4	胡佛演說呼籲救濟歐陸兒童
page 4	希特勒侮辱女性竟強迫德國女子為出征將士生育
page 4	蘇聯女子不讓鬚眉參加猛烈戰爭者甚眾
page 4	地中海英空軍活躍轟炸義航輪及根據地
page 4	美控險家對法廣播希特勒必不能戰勝
page 5	桂省三十年度地方行政會議紀桂建設計劃及自治標準黃主席邱廳長均有報告
page 5	白沙巡禮
page 5	粵民踴躍繳納實物
page 5	建設陪都計劃漸入實施階段近郊新馬路即將開工
page 5	廣州灣商業凋零花紗布疋來源短絀價格飛漲旅店業已多數停業
page 5	廣州敵軍恐慌趕築防禦工事
page 5	韶關商情電油穀米價格業已轉趨回跌
page 5	中央令禁濫施刑罰
page 6	防空處昨日公布明日舉行燈火管制下午六時二十三分開始傳有提前今日舉行可能
page 6	新聯美機試航抵港前晨飛返菲島李國欽等乘該機赴美寄星洲空郵轉駁遞運
page 6	美輪焚燒連續四日損失並不重大
page 6	中央海軍學校港區新生揭曉正取備取新生各三名吳驚輝等即飛覆試
page 6	馬彩暢銷售出四十萬張
page 6	史柏堅出賣自用汽車買錶送劉美美並送劉鑽石戒指一隻鄺榮被傳訊所判工程
page 6	美輪行程仍未確定美總令事修特昨談謂日本斷不敢對美開戰
page 6	僑胞請領護照擁擠近竟發生黑市我簽證處當局決予取締偷渡入境事件發生日多
page 6	一毫五仙券明日發出
page 6	金銀貿易場一元獻機昨募十四萬元
page 7	花墟足球糾紛案光華提出上訴今日備文呈訴總會聽候解決士葛亦擬進行向總會投訴
page 7	網球名將蔡惠全下月初抵港同行者有名手洽孟氏蔡氏在美表演博好評
page 7	鐵城杯華僑新青均捷
page 7	中西校際小球賽廿五開始報名比賽章則昨修正公布
page 7	學界籃球賽港大奏捷初級皇仁敗陣
page 7	廣東體育訪問團動程出發湘桂李漢魂擬撥款卅萬元在韶建一規模運動場
page 7	獻機機籃球賽改週末舉行
page 7	銀牌籃球賽星島出師對抗黑灰隊
page 7	協會田徑部將舉辦田徑賽
page 7	澳門足球大戰警察勇破鱆魚六比三報復一箭之仇中華二比二打和良友
page 7	服票市況穩定昨日成交達十四萬餘元
page 7	申匯市況略開鬆弛英匯美匯依然不振
page 7	滬標金價略告上漲
page 7	國幣價格略告低降
