page 2	社評巴爾幹大戰爆發
page 3	巴爾幹大戰爆發德開始進攻南希保邊已發生激戰英軍廿五萬在希北部佈陣倫敦保證對南予全力援助
page 3	戰事爆發前夕蘇南簽訂協定保證兩國嚴格友誼
page 3	德國正式宣布進攻南希兩國甘冒兩線作戰困難
page 3	美國在遠東應採強硬政策美國人士一致之主張
page 3	何部長對美播講最近我軍戰果比較我日實力之消長證實我抗戰即可獲勝
page 3	松岡即抵蘇將與蘇當局再晤談英報斷其難有成就
page 3	德報宣稱日準備對美國作戰
page 3	馬尼拉會議美國朝野極為關注普法姆即將離港赴菲
page 3	松岡談話訪德義後如夢初醒
page 3	泰國務院長傳將訪日泰官方未予否認
page 3	木炭汽船試航成功閩省正設廠建造
page 3	贛高普檢考已定期舉行
page 3	滬工部局華董問題華人納稅會不主張易人日偽多方脅迫企圖染指
page 3	申報庶務主任又被綁架汪偽歹徒益形活動
page 3	遼寧省政研究委會在渝舉行首次會議擬定撫慰民眾救濟青年辦法
page 3	贛省設立蔴作改良場推廣苧蔴種植
page 3	滑翔總會召開首次理事會商討推進工作辦法
page 3	美當局將撥款充實菲島防務
page 4	英軍嚴密守衛伊拉克油田新政府親軸心色彩濃厚英政府將不予承認
page 4	美國陸軍日各地舉行在規模閱兵式陸長代表總統廣播演說
page 4	波蘭總理抵華盛頓將訪美總統商援波問題
page 4	英機襲德羊將派員隨機視察
page 4	巴拿馬運河區義領被逐出境義宣布關閉駐美兩領館
page 4	東非英軍兼程並進先遣隊已抵達阿京班加濟德軍已被阻截
page 4	日本海軍與美國二原文載亞細亞雜誌三月號
page 4	美國工潮有繼續蔓延勢有煙煤礦工潮方告解決鋼鐵公司勞工又有糾紛
page 4	英航務代表在美接洽促美輪代替英航線
page 4	日政府將召開各縣知事會議
page 4	德法成立交換糧食協定法以牲口蔬菜運淪陷區易取穀物糖麵百十萬噸
page 4	英機三次追炸德艦情形至為猛烈
page 4	北平德使館發無聊聲明
page 4	松岡之長夢
page 4	是巧合麽
page 5	省振會技工養成所第一期學習期滿大批技術人才即將分派工作今後繼續訓練火柴電池技工
page 5	電白水東刼後記桐油被搶二千餘罐糧食損失三百萬元
page 5	西康日記第十四編麗江雜記
page 5	粵省青年支團實施軍事訓練並舉行工作人員工作競賽
page 5	茶　酒館浪寶糧食粵糧管局決設法矯正
page 5	教廳派員視察南路各縣教育遂溪辦理不善徐聞成績最佳
page 5	湘糧食管理運出省境均須領證私自販運全數充公
page 5	順德容奇日軍施行戒嚴新開路日軍又圖蠢動我扼守要點嚴陣以待
page 5	閩省優待應徵家屬各項物價亦漸趨穩定
page 6	離港旅客防疫手續各輪船公司規例不一致啟程九日以前均須辦妥
page 6	鐵業總會十日舉行開幕典禮
page 6	學生節約勞軍運動參加者已二千餘人
page 6	十七日晚燈火管制試驗藍色防空燈泡
page 6	中國文化協會半年來工作概況昨日舉行全體會員半年大會王雲五講中國戰時文化動向
page 6	獻機運動樂委籌開大規模音樂會全港音樂家一致動員日期在四月底五月初
page 6	省行行務會議討論加強僑匯國內外代表百餘人參加增設美國南洋東江分行
page 6	聖約翰救傷隊今日舉行會操
page 6	華南兒童教養會定期收回捐冊告一段落函請募捐委員積極勸募
page 6	歌詠比賽今日舉行初賽各組參加者共三四百人座位無多暫不招待各界
page 6	越港司機回國服務昨日招待各界旅費均係自備
page 6	越南壓迫僑胞中醫黃漢武被迫離境來港報請海外部交涉
page 6	天壽堂唱機行百代新片上市
page 7	國際杯足球決賽英格蘭獲冠軍五比二蘇軍敗走界限街
page 7	東方足球隊今日動程返港籃球昨勝華聯
page 7	東方培英排球賽殺至難解難分東方先得甜頭終因天雨停職裁判宣布改期舉行
page 7	銀聯旅行石澳乒乓賽程公布
page 7	青支籃球義演澳男女出師如無阻男戰民大女鬥仿林昨日兩場因雨中止舉行
page 7	交通時受阻滯國產運港減少一部分已改由仰光出口
