page 2	戰時的新澳洲
page 3	浙閩反攻續有進展諸暨殘日死傷甚眾晉西南日軍增加有蠢動模樣
page 3	中美設聯絡機關推動美租借法案下援華步驟郭泰祺昨訪晤美當局
page 3	布列特氏援華演詞一般認為意義重大松岡訪美說係試探空氣美不受騙毫無瞅睬表示
page 3	中英必能戰勝美須迅速援助美金融界之主張
page 3	日機襲川
page 3	論中美中英平準基金協定一
page 3	紀念五月滬各界擴大宣傳
page 3	日報抨擊西貢顯為南侵先聲
page 3	羅斯福公子飛抵陪都携有美總統函件致候我蔣委員長
page 3	滬日又捕人
page 3	謝晉元遺體昨行蓋棺式兇手供詞顯有背景
page 3	日皇生辰閣兵蘇使破例參加
page 3	滇川康公路積極興築中
page 3	英軍當局談馬來亞軍力大增並認馬來亞確有受侵之威協
page 3	美國轟炸機陸續飛菲島
page 3	張導民繼任粵財政廳長行政院會議通過
page 3	滬米價大漲每擔達百四十八元
page 4	北非戰事形勢轉穩蘇倫附近義軍被阻英過英遠征軍一批返埃及
page 4	美國中立巡邏將再擴大範圍傳將擴展至英國五百哩以內輿論界主張實行護航
page 4	軸心報紙對美恫嚇
page 4	美將用經濟新壓力打擊軸心國以配合在大西洋之行動加嚴統制運日美貨
page 4	傳自由法軍將進攻吉蒲堤由英軍摩托化部隊協助高爾發出否認聲明
page 4	希臘總理在克里特演說歐洲現為黑流所掩希人誓必繼續作戰
page 4	戰雲籠罩下的埃及二
page 4	美決限制軸心領事活動將實行採取步驟
page 4	德機採侵略形式大炸英港口有認美國態度積極德國或須提早攻英
page 4	德外部宣布將設殖民部
page 4	美煤礦工潮日間可解決總統親自出頭調停勞資雙方表示合作
page 4	古巴軍艦截獲怪遊艇並拘禁諜疑人四名
page 4	佛敦談話安慰澳人澳軍作戰經過不久將可發表
page 4	英財政專家將起程赴美京商討租借法案運用事宜
page 4	葡總理呼籲團結承認葡國境內確有戰事危機
page 4	澳向美保證與英一致抗戰
page 4	美步驟堅定
page 4	孟買印人發生衝突
page 4	委內瑞拉選出新總統安格烈德將軍
page 4	美財長表示增稅政策不增加平民負擔
page 5	內地大批郵件被廣州日軍焚燬意圖封鎖內地與海外間通訊前後已達一百餘大包
page 5	蔴坡檳城舉行防空演習演出逼真成績甚滿意新加坡亦將定期舉行
page 5	蘇日協定的我見二
page 5	審查各縣工作計劃粵行政效率會決定辦法五項
page 5	東寶日軍拉伕強迫修築道路大部日軍已秘密他調
page 5	建國火柴廠出品精良現正積極增產中
page 5	粵省推進戰時教育四邑加緊辦理
page 5	瓊島戰事仍不斷展開各路我軍予日重創
page 5	西康日記第十五由麗江返昆明
page 5	又有一批中文書籍新加坡禁止入口
page 6	清糞事業明日起收歸官辦清糞夫已編配訓練完竣收費辦法擬附於差餉內
page 6	周啟剛招待旅巴拿馬歸僑表示政府對僑務極關切已電呈我中樞據理交涉
page 6	五一勞動節各工團將開會紀念
page 6	外用藥品徵稅影響民生甚大羅景衡等遞呈僑務委會轉咨外交部向港府交涉
page 6	港口專家奧雲爵士在美病愈即將返英
page 6	港英郵運郵政局公布近況
page 6	新任副按察司賈力素昨日就職麥基利哥爵士致詞歡迎律政司晏禮伯致詞介紹
page 6	廠商聯會昨開會員大會修改章程增選監事五人
page 6	本年首季物價指數略增較去年首季增百分之二０六
page 6	優生學會下月初召開年會向該會請求指導者甚眾義務司庫富勵士已辭職
page 6	移民局易名人民入境事務局為調查移民局委會建議意義明顯以免發生誤會
page 6	本港英人組織風箱之友會開始徵求籌款慰勞空軍擊落一敵機即捐款一仙
page 6	二百人大合唱定期籌款獻機港澳藝術界昨招待各界學生獻機運動各校自理
page 6	昨日海軍當局舉行軍事演習發出警報假作敵機襲港晚上繼續舉行燈火管制
page 6	司徒雷登日前由渝返港
page 7	今日足球表演賽星島二戰東方下午五時一刻在加山南華球場勢均力敵戰來必有精彩
page 7	足球縱橫談十七
page 7	東星聯隊征澳東方開會否決單獨征澳問題今晚開會討論南華借將南遊一致表示同情
page 7	星友小球隊捷報再傳三比一勝尖隊
page 7	居聯舉辦水藝募款獻機大生報效獎品
page 7	鎮和紀念足球賽開始預銷門券優勝隊員各得金牌一面
page 7	全港學界籃球賽思思勇挫嶺東初級組廣大力克鑰智今日有比賽三場
page 7	學運籌賑會開評判部會議
page 7	外匯牌價仍無變更美匯沉寂申匯稍淡
page 7	股票續趨下游賣家急圖拋出但買戶仍廖落昨日成交僅一萬餘元
page 7	國幣市況略趨下遊
page 7	四四金市猶乏生氣
