page 2	我國經濟持久力總檢討
page 3	晉南我軍繼續掃蕩聞喜附近漸次肅清桂南日軍竄至崇善上金一帶
page 3	國內外各團體繼續通電討汪
page 3	漢奸內閧偽社會局長因爭權被汪派逮捕交日方
page 3	民族掃墓節中樞派員致祭橋陵
page 3	行都兩盛會勞軍美術展中蘇兒童展
page 3	南僑慰勞團明日由滇赴筑連日參觀滇建設頗興奮對抗建信心較前愈堅決
page 3	桂省府注意治安嚴緝不良份子
page 3	滇主席龍雲嘉惠學子特創設龍氏獎學金獎勵在滇清寒大學生
page 3	教育部注重史地教育課程特設史地教委會
page 3	孫夫人等在渝參觀工合
page 3	在新縣制中縣民教館仍應照常辦理
page 3	目睹日機肆虐森下憤愧而死
page 3	澄清吏治內政部為懲治貪污特定治標治本辦法
page 3	粵曲江縣實施新縣制預定四年內完成
page 3	國民政府明令修正兩項條例厲行政績考成優待軍人家屬
page 3	上海電力將再加價
page 3	吳鐵城代募英慰勞金各方紛紛慷慨解囊
page 3	傷兵之友運動新運及軍委兩會派員赴各省推動
page 3	滬租界競選呈肉搏狀態英美與日僑出合力鬥爭白俄竟居舉足輕重地位
page 3	寧偽報被炸傷手車夫一名
page 3	粉碎汪偽組織一
page 3	拉薩現代化裝設電燈電話
page 3	浙贛我軍活躍豫北控制沁博
page 4	英美態度一致美報著論表示安慰郭大使演講斥責日汪陰謀
page 4	亞得利亞海發現英軍艦數輪運貨赴義轉德已被英軍艦所截獲
page 4	英飛船力拒德機在北海發生遭遇戰結果擊落德機兩架 
page 4	左拉百年祭四日在巴黎舉行
page 4	現階段的法幣二
page 4	美發明家創電光設計能於兩哩之內偵察破壞潛艇
page 4	美眾院通過陸軍撥款案共七萬八千萬餘元原案交由參院審核
page 4	蘇日關係惡化北滿邊境一度緊張蘇方電台痛斥日偽
page 4	義農長啟程赴匈京德匈南三農長仍在匈京會議
page 4	德代表團抵比京談判商進口定額問題 
page 4	美總統同意改組海軍部增次長一人及設船務局此案不日可向議會提出
page 4	英日談判天津白銀問題克萊琪昨訪谷正之日報載英使將返國
page 4	蘇里資過羅返蘇
page 4	美報之安慰
page 4	蘇日關係現階段
page 4	渣打銀行總經理逝世
page 4	多瑙河城鎮堤缺附近民居受威脅
page 4	西線游擊戰天氣和暖漸見活躍
page 4	歐戰通訊之九巴黎戰時新陣容下三月十八日巴黎航訊
page 4	交戰國限制政策影響日貿易自稱飽嘗中立之苦憬憧首次大戰繁榮
page 4	德義報紙評英閣調動咸謂戰爭發動期近英議員態度未一致
page 4	英國準備對德採經濟新攻勢組織國營商務公司著重對東南歐貿易
page 5	西江緊張聲中我加強江防實力桂林行營江防虛已佈置完竣海軍人員亦分期集訓練中
page 5	九江日軍大部開江會進犯杜阮被我擊退中山深灣亦有戰事
page 5	日方陰謀毒化華南統一鴉片專賣組織毒化機關
page 5	南雄始興土地整理今年十月完成
page 5	天津麵粉價格仍高昂 
page 5	西南天然森林區域廣闊總面積達五十萬方公里政府計劃發展西康牧畜業
page 5	復旦大學創設茶業系
page 5	馮爾和等被捕案一般認為無辜
page 5	滬碼頭工人聲討汪兆銘
page 5	重建省大勷勤商學院電渝韶請求
page 5	孤島血案薛顯揚已斃命許申命亦垂危
page 5	甘青代表團抵綏西慰勞 
page 5	孤島生活難
page 5	米珠薪桂物價飛漲
page 6	蔣夢麟講演西南聯合大學概況外傳遷移之說完全不確日攫關稅對文化事業經費無影響
page 6	立法局昨開會四月一日起開徵戰稅法律委員會之建議妻之收入按率徵稅
page 6	電話則例草案三讀通過
page 6	戰稅徵收起計日期
page 6	外勤記者聯誼會昨舉行成立大會來賓葉恭綽等致詞勗勉分工合作為抗建而努力
page 6	主席報告組會動機
page 6	來賓演說集中力量
page 6	天真的同情美加省兒童慰問中國難童餽贈玩具糖果等物三千箱
page 6	皇後平安
page 6	北大同學會籌設元培紀念圖書館推定籌備員先設籌備處決定三項籌措經費辦法
page 6	傷兵之友婦女界徵救委員會昨招待新聞界主席致詞所得涓滴歸公所製收條採用三聯根式
page 6	按照過去一年作為標準
page 6	畫壇茁茁的勁苗記關山月個人畫展
page 6	產業盈利薪俸同時開徵
page 7	今天足球刺激戰東方再逢蘇軍下午時三刻在香港會場雛鳳在加山迎抗九龍
page 7	麗華杯爭標戰軍聯人選產生
page 7	菲中華女籃球隊電告征港期在港賽畢將轉攻南洋港協會今午選將迎戰
page 7	美菲荷匯牌價回漲英匯沉寂申匯穩靜 
page 7	股票市況疲弱買胃呆滯成交不多
page 7	八九金市穩定但靜成交不多價少起落 
page 7	星洲乒乓隊舉行義賽為難民請命 
page 7	世運會命運在未定中
page 7	鍾聲籃球隊征澳不敵培正紅卅四比五十八輸得慘
page 7	真光女中體育概況
