page 2	社評論現階段的美日談判
page 3	英美協商遠東時局東京傳已對美答覆羅斯福氏定今日返抵華盛頓
page 3	遠東情勢緊英美報紙所反映之情緒各報以美日迫近戰爭為標題
page 3	英印軍續抵仰光星洲軍隊奉令準備應變士兵應召歸隊取消請假
page 3	美使訪郭外長交換美日談話情報
page 3	美輿論一斑名流演說警告日本
page 3	德夫古柏訪問澳紐事畢昨日返抵星洲
page 3	歐陸的沉淪四
page 3	英海相演講日本受軍閥之欺騙已陷於悲慘的錯誤
page 3	調節工業金融立委史維煥提出建議利用英美封存之中國資金創設中國興業及工業銀行
page 3	英美注視泰國命運倫敦信日有攻泰企圖美輿論主張加緊制　曼谷美領通知美僑準備撤退
page 3	日本動向將加緊與德勾結
page 3	英遠東政策堅定對日決不作安撫行動
page 3	飛鷹機隊將在中國境內出現由美資助志願人員組成中國空軍分批赴美深造
page 3	美在菲佈置已足應付任何事變菲陸軍將分駐重要島嶼奎松演說引起廣大注意
page 3	重慶中央日報泛論美日談話日本仍圖繼續搬拖延對美國方案不作具體表示
page 3	自然科學社在渝舉行年會蔣委員長頒示訓詞盼以精深研究協助抗建
page 3	晉南重創出擾之敵皖南貴池附近激戰
page 3	紐約日僑一部將自動撤退
page 4	紅軍空前大捷克復羅斯托夫中路紅軍反攻亦順利
page 4	希里奈加殲滅戰英軍已暫時停止西進集中力量肅清敵殘餘
page 4	李維諾夫離星赴美行前會晤普法姆
page 4	西伯利亞的戰略地位一
page 4	北冰洋英潛艇擊沉德輪八艘輪上滿載軍隊及供應品圖在摩曼斯克登陸增援
page 4	義政局緊張親德分子孤立保皇黨極活躍
page 4	英美之對日包圍陣三
page 4	東地中海英軍把握制空權義南那波里港又遭猛炸軸心運輸船亦中彈
page 4	荷屬圭亞那歡迎美駐軍
page 4	美議員深信蘇意志堅定莫斯科命運不影響抗戰並呼籲應迅速援蘇
page 4	郭外長電賀英首相誕辰荷印亦舉行慶祝
page 4	德軍又被投彈德兵兩名被炸斃
page 4	傳德向維希提出苛刻要求使用法海軍及假道非洲屬地貝當今日晤希特勒
page 4	渝文化團體公祭泰戈爾
page 4	粵滑翔運動宣傳推動中
page 4	塞爾維亞游擊隊活躍交通線多被控制
page 4	財部籌備實施專賣各業專賣籌備人發表糖鹽設專賣局餘設公司處理
page 4	參政會駐會委員會將開會
page 4	羅斯托夫人克復
page 4	不漠視便怎樣
page 5	粵省整頓交通重修羅信茂公路撥款四十萬積極進行陳交赴南路設處工作
page 5	粵省各縣糧庫加建四百餘座胡銘藻出席參會駐委會報告廣東糧政局明年縮為乙等級
page 5	參政會對政府建議撮要三
page 5	滇滑翔分會本月初成立大批滑翔指導員將赴各分會工作
page 5	江門方面偽軍紛紛反正投誠敵軍開入市內嚴密戒備
page 5	粵二十九年度中等學校概況
page 5	粵東西北三江組設船舶大隊實施統制航運交通管理水路戰時運輸
page 5	桂職業教育辦理情形省府咨覆省參會
page 5	桂政務考察團第一團赴川滇黔人選決定蘇希洵任團長
page 5	粵省僑匯日有增加平均每月份八百萬元
page 5	閩省定兩年內完成每縣各設初中一校鄭貞文在省府紀念週之報告
page 6	美派代表蔡黎來華視察我工合組織助我改進人民經濟生活嘉年華遊藝會明晚舉行
page 6	保衛香港大演習成績尚屬良好各部隊昨日已復員白晝防空昨兩放警報
page 6	留港美國僑民並無撤退準備通行發出後無一人離港美總領昨日對記者談話
page 6	教師聯會設免費學額救濟失常兒童各學額由學校當局認損救濟辦法草案擬妥公布
page 6	九龍商業總會昨開全體大會報告年來會務進行概況大會通電當局將士致敬
page 6	港失業海員多數獲得工作民主國家輪船大批招募某海員談海上驚險生活
page 6	露宿救濟會今晚開放
page 6	西裝少年陳香行偽美鈔被拘獲兩次在大昌找換店兌換終被司櫃識破報警拘捕
page 6	泰國駐港代表談泰決抵抗侵略我旅泰僑胞願協助守土日台浪人在泰滋事搗亂
page 7	網球義賽功德圓滿惠全壓倒大徐雙打賽兩徐與蔡哈言和門票收入萬餘元破空前紀錄
page 7	蔡陶大戰觀後感
page 7	學界籃球賽華義戰德明
page 7	顧目四盼錄
page 7	澳甲組足球聯賽無畏戰和警察三比三上半時無畏先勝兩球表演過火各有一人被判離場
page 7	澳初中籃球戰開鑼紀中勝中聯
page 7	一屆國際長途跑印人得天下祖毡打星卅分卅秒獲第一跑畢全程者達六十二人
