page 2	社評本社同人的聲明關於米蘇里贈獎及今天的慶祝
page 3	英美加緊援華步驟物資人員絡繹於途詹森離渝來港臨行依依惜別
page 3	進犯中條山日軍後路已被我切斷垣曲附近一帶繼續激戰中
page 3	鄂北大洪山戰事我繼續獲勝襄花路殘日已完全肅清
page 3	諸暨外圍仍有激戰
page 3	廣州東北日軍又分兩服進犯
page 3	閩省我軍進迫福州城內日軍大起恐慌
page 3	本報對美廣播今日在國際電台播講
page 3	郭泰祺氏展期返國
page 3	日兩將領被我擊斃
page 3	國府獎勵美籍友人
page 3	米蘇裏榮譽章今日頒給本報陪都報界舉行盛大慶祝會
page 3	日謠言攻勢我絕不理睬惟一答覆為更加緊抗戰本多返日為強化汪組織
page 3	魏道明昨來港
page 4	希期仍在醫院其出奔原因尚未明瞭基美忖測為德蘇關係希斯夫人傳已抵土
page 4	希斯奔英真因不久將可披露
page 5	粵省府計劃組織疏散港委員會先在港澳兩地分期辦理登記安置辦法詳細會商中
page 5	展開廣東政治新階段二五月十二日李主席在省府擴大紀念週訓話
page 5	粵省當局推進全省公醫制度衛生經費每年增至三百萬元衛生行政以南路各縣較完善
page 5	蕭衛國談東南運輸概況一切均在積極改善中
page 5	陳水雲案續聞陳叔函警備部詳述身世並請主辦機關嚴厲查辦
page 5	湘粵桂三省糧食產銷近狀黃和春視察歸來談片
page 5	茂名雲浮刼殺案迭起
page 5	中大學生實地調查粵漢湘桂沿線經濟
page 5	粵省禁煙雷厲風行豐順五華揭陽三縣剷去煙苗達數千畝
page 5	陪都日用品價格趨跌
page 5	四邑銅仙幾告絕市
page 5	日又封鎖灣澳交通橫琴傭軍勒收軍費
page 6	菲空軍司令昨抵港將飛渝謁蔣委長同行者有空軍專家三人我空軍代表昨設宴歡迎
page 6	西商會呈請當局發行戰時獎券頭獎定五十萬元每券十元分十條
page 6	滬籍舞女張麗玲控少年陳雅五賴婚發生肉體關係珠胎暗結陳某否認曾有白首之盟
page 6	魚行主席談貯魚問題魚價四時不同規定價格不易
page 6	國貨聯合簽證華商會獨組國貨審委會廠商會服務社未能同意
page 6	當局現考慮發一仙紙幣
page 6	限制迫遷法例決定延期一年
page 6	中英美法國新聞界活動英倚泉昨赴星設中央社分社
page 6	譚雅士昨談述官營米石價格料當局能取一公平標準糧食統制官談米價平穩
page 6	港居民營養不足死亡數字激增較去年同期增加四千宗腳氣肺癆腸炎為患俱烈
page 6	美舉行中國週青年十萬人聯署上書美總統致謝二十日前航寄美京
page 7	南華足球遠征隊今晨首途南征全部賽程約十六場兩月後返港軍容甚盛抵星首戰華聯
page 7	球拳交響曲
page 7	總會週年同人會定七月舉行選黃家駿等為修章委員國際杯賽善款分配完妥
page 7	學界排球賽西南告捷三比一挫漢文
page 7	體協會昨繼續選將
page 7	星洲足球鬩牆戰中華勝華人結果一比零新師陷舊旅華人不敗紀錄卒被打破
page 7	覺先牌小球賽廿五開戰
page 7	股票市况微露生氣買賣範圍漸見廣大
page 7	外匯牌價俱無變更美圓略跌申匯仍穩
