page 2	今後民族工業的新生路
page 3	緬甸報界訪問團定二十三日乘機來華
page 3	戴古赴西貢視察希望糾紛能和平解決法泰飛機仍不斷互炸
page 3	粵決實行倉庫制度當局令各縣設穀倉
page 3	德參贊抵渝滬又有靈通消息
page 3	滬法租界要員杜格被刺畢命
page 3	日機又襲滇
page 3	虹口又一槍殺案日軍官野村被狙擊
page 3	前線追悼鍾故師長軍民參加者逾萬
page 3	西南國境線上一
page 3	日又揚言總攻我決迎頭痛擊某高級長官痛斥日方之迷夢
page 3	陪都各界籌備新年慶祝青年團及童軍大檢閱各團體慰問傷兵擅各
page 3	川省準備實物征賦正研究具體方案
page 3	土耳其希臘與東地中海下
page 3	北平大雪氣候嚴寒
page 3	義憤填膺各地軍民紛電　汪
page 3	蘇聯派專輪載運華茶日報注視中蘇關係謂蘇貸款殊有可能
page 3	我國外交正大光明國際形勢益見有利五外長昨在中樞紀念週報告我抗戰將一舉達成三大目的
page 4	北非英軍繼續猛進直搗巴第亞港希軍進迫德比連瓦隆那
page 4	埃及人心振奮
page 4	貝當宣布將設國民大會法國新內閣名單發表德國尚保持緘默態度
page 4	女音樂家在英逝世
page 4	再施空中攻勢德機大炸倫敦英機飛往柏林散發傳單
page 4	駐義日玻大使呈遞國書
page 4	羅齊安遺體在美火葬
page 4	法機被擊落案日允賠償
page 4	坦吉爾問題英大使與西政府正在繼續討論中
page 4	荷蘭淪陷區將徵新稅 
page 4	義大利將成為羅馬尼亞第二德義關係似已相當微妙
page 4	羅斯福返華盛頓將討論加強援英
page 4	美空軍一批飛抵馬尼拉菲律賓防務益增強
page 4	德參贊抵渝
page 4	羅馬尼亞第二
page 4	瑞典與蘇西商貨運問題挪威將派工人赴德
page 4	澳洲聯邦總理斥責德方宣傳澳洲與英國關係不可分
page 4	英民意測驗反對與德談判和平
page 4	英美與荷印二
page 4	義國感覺恐慌
page 5	日軍又出擾中山八區混戰中石岐運到日傷兵十三車
page 5	孔副院長召開食物營養研究會使人民營養料學化
page 5	桂省籌設造紙廠
page 5	非正式軍人不得穿軍服
page 5	李炎光任粵軍需局長
page 5	港移民局將設澳分署駐澳英領事談
page 5	西康日記二一五第十一編木裏永寧途中
page 5	木裏永寧行程
page 5	由木裏出發
page 5	粵省務會議通過縣糧管會編制補賠購米損失辦法獎勵儋縣義勇鄉民
page 5	粵縣立銀行限期成立
page 5	鎢江西的寶藏下
page 6	遠東英駐軍總司令普法姆將來港視察並擬巡視澳洲及紐西蘭英決以全力保衛新嘉坡
page 6	英相重視遠東
page 6	統帥所負職責
page 6	前滬工部局總董談上海目前形勢日本不致攖奪公共租界滬西法界封鎖決定解除
page 6	洋貨運來不易國貨乘時而興耶誕新年將至源源運來
page 6	天壽堂藥行贈送日曆牌
page 6	元朗籌振會捐獻救護車一輛昨舉行獻車禮情形熱烈顧祝同派由陳寶聰接收
page 6	糖商總會明年新職員已選出
page 6	漫協繼續舉辦兒童漫畫競賽以啟發兒童創作思想並輔助學校藝術教育
page 6	強役上訴會
page 6	合眾社經理
page 6	民生工業社
page 6	國貨展覽會
page 6	兒童保育會常務理事昨會議津貼護送兒童返國人員請兵災會撥款捐助兒童
page 6	古巴華僑國大代表張培梓由渝返港歷湘桂粵各地印象良好返美策動僑胞回國投資
page 6	本港警方嚴防歹徒冬防即將開始增加出巡員警
page 6	聖誕節歌頌大會基督教團體籌備中
page 6	美國女童星西比爾嘉森前日過港轉往角城
page 7	週末兩場義賽華聯隊陣容決定國際杯賽中華隊代表將由第二場人馬應戰
page 7	南華陸運廿九日舉行一天一萬米參加踴躍
page 7	香港大學健身運動廿一日公開表演
page 7	西園體育會積極訓練人材
page 7	外匯牌價泰匯續縮美匯申匯市況傾淡
page 7	股票市況堅穩昨日成交五萬餘元
page 7	國幣市況續趨下游
page 7	四四金市依然沉寂
page 7	學界籃球比賽保羅力挫嶺東初級美爾頓大勝工業
page 7	三強奪標展望
