page 2	社評日本最後必跟著軸心走
page 3	我外部昨發出照會與德義羅等國斷交內地德喬約三百人準備撤退
page 3	德義無聊舉動美不予重視副國務卿發表談話
page 3	軸心尾巴搖旗吶喊
page 3	我國輿論一致抨擊
page 3	隧道案審查竣事嚴徵負責人員劉峙免職謝元模撤職蔣委員長通電訓誡防空人員
page 3	行政院會議郭外長出席報告各友邦援華情緒收復地區善後辦法修正通過儲應時長皖建廳
page 3	美國與歐戰二美援與英航運續
page 3	熊斌視事
page 3	閩江南岸激戰我軍克復龍田當陽敵軍出擾受創損失奇重
page 3	緬甸貨物輸美一律豁免噸稅用意便利美貨經緬運華
page 3	米蘇里獎章由夏晉麟氏帶來已轉交重慶本報
page 3	黔喜雨米價回跌民心安定
page 3	我國輸出貨物大部份運往美國
page 3	日又舉行御前會議所謂決策將不發表謂將以行動具體表現
page 3	平準委員分頭出發考察經濟財政實況
page 4	德軍攻勢已挫拉境內外蘇國着手反攻
page 4	美總統表示望不致參戰惟希望與信念須分別解釋諾克斯建議肅清大西洋德威脅
page 4	應付東歐時局英軍事新部署華維爾任印軍總司令奧欽勒克改調赴中東
page 4	蓋達自承勝蘇不易
page 4	伍德闡述英財政政策不患物資之不足而患管理之不當
page 4	德報承認蘇聯士兵英勇堅韌作戰與陣地俱亡不怕死精神勝於德軍
page 4	林白攻擊美國援蘇
page 4	英機在西歐作猛烈轟炸英倫海峽亦覺震動德機並未升空應戰
page 4	西地中海傳有海戰
page 4	菲限制使用無線電器具
page 4	加空軍部長行抵倫敦帝國空軍訓練現正加緊全部展開
page 4	美國態度明朗蘇聯表示滿意蘇向美提出援助要求美主管機關正審核中
page 4	勝利之火炬加拿大獻與英首相
page 4	羅斯福總統將發表表演說
page 4	蘇女學生自動應募從事救護工作
page 4	美飛機製造公司將集中生產擬達到月製轟炸機五百架目標
page 4	英軍增援敘利亞戰事激烈展開中維希代表團已離土
page 4	羅賓摩爾事件傳美向德要求賠償美金百萬
page 4	美中不足
page 5	颶風襲澳門詳情發生塌屋數宗壓傷婦孺三人各方幸有戒備未受嚴重損害
page 5	淪陷後的海豐二敵人偷襲汕尾的目的
page 5	桂省臨參大會注意促進婦運決議請省政府轉飭各縣按月補助當地婦會經費
page 5	中華文化學院籌備大致就緒先辦研究科秋後即可開學
page 5	粵南茂名安鋪又遭敵機狂炸損失重大並死傷數十人
page 5	粵省發展邊區教育另組教導委員會
page 5	醫藥學蔣畢業生應為國家服務全部將由政府徵調工作軍政教育等部聯合勗勉
page 6	阜生號輪來港途中被兩海盜輪截劫船主及俄警被匪人擄去大火奮勇鼓輪前駛脫險
page 6	港勸募戰債成績委座期望甚殷黃炎培昨函港慰問港僑九龍僑商熱烈進行購債
page 6	莫德庇少將繼任港英陸軍司令於短期內即可來港履新前司令賈乃錫返英任職
page 6	羅富國師範首屆畢業七月三日考試並即招考新生
page 6	余俊賢對記者談我發展僑教情形僑生返國就學人數甚眾當局積極改進僑教師資
page 6	歐亞在韶設辦事處港韶線即開航李範觀被派赴韶籌備首班機座位預定一空
page 6	海面發現浮屍多颶風下之犧牲者
page 6	港府當局擬定發展漁業計劃必要時實行統制港漁業計劃中包括設一魚油廠
page 6	立法局
page 6	衛生局昨日通過取締熟食小販則例肉類吹水將嚴予禁止兩酒樓不潔被銷牌照
page 6	俞鴻鈞氏昨晚抵港
page 6	統制蔬菜計劃週內即可決定政府直接向菜農收購設評價委會釐定菜價
page 6	陸軍電話線通入電流慎勿觸動以防危險
page 6	大陸社遷址
page 7	中華隊青雲得路工程又遭殺敗九比十三戰局相當緊張
page 7	業餘問題別記下
page 7	棒球捕手須知
page 7	南會在馬來亞戰和黑人聯隊
page 7	南華二次失利敗於巫聯隊全隊演出輕敵鑄成大錯一比三低首稱臣
page 7	鐘聲泳場兩場風箏比賽
page 7	內鋒的技巧一
page 7	外匯牌價俱無變更美匯沉寂申匯仍穩
page 7	股票市況活躍賣戶操縱股價續漲
page 7	國幣市況略趨下遊
page 7	四四金市仍極沉寂
