page 2	社評今後抗戰形勢
page 3	邕寧日軍繼續肅清我團隊入城辦善後大軍數萬渡邕江向南追擊偉廣州日軍亦有撤退模樣
page 3	論管理出口外匯問題
page 3	桂南大好戰場惜日軍不敢深入桂南將領痛斥日軍捏造戰績長此欲進復退終必全軍覆滅
page 3	留英庚款生一批下月由滬出國
page 3	桂林民眾興奮今晨開祝捷大會省府派孫仁林等赴桂南視察戰區善後事宜即可着手辦理
page 3	國內外各界續電討汪
page 3	粵省政當局推動下層政治決組政工總隊訓練人員新縣制施行範圍已決定
page 3	吳啟鼎仍被汪方看管
page 3	章嘉活佛在蓉發起設壇誦經慶祝達賴坐床大典
page 3	滬西賭窟一時肅清無望
page 3	滬物價飛漲貧民生計日蹙兩租界當局取締奸商並命米煤業實行平賣
page 4	雅納爾發表談話堅主對日禁運美核准出口軍火統計運日本者未發出口證
page 4	在挪領海搜查德輪挪向英提抗議英已予拒絕並加解釋德乘機向挪危詞恫嚇
page 4	德日新裂痕德派員調查淺間丸事件準備向日提出強硬抗議
page 4	英艦德輪交戰經過
page 4	英國員兵死裹逃生
page 4	德反對北歐國家干涉蘇芬戰事卡列利亞芬軍敗退維堡曼諾海姆元帥勗勉軍士
page 4	羅斯福抵巴拿馬視察運河防務並與軍官晤談
page 4	旅美僑胞之抗戰熱情二二月六日紐約航信
page 4	汪與日人一個心理的分解二
page 4	韋爾斯赴歐任務嘗試確定和平展望聆取各方讓步程度
page 4	賀爾闡述英戰時經濟政策對外貿易與軍事並重
page 4	日本各地發生集團暴動人民饑饉軍警壓迫激怒成變如火燎原
page 4	日天災嚴重天氣旱涸水電缺乏山崩雪崩時有所聞
page 4	德對英法商輪將肆意轟毀所有商輪視同軍艦不加警告即行擊沉
page 4	美民主黨定期舉行大會下屆總統候選人中羅斯福仍最孚眾望
page 4	美以美會至誠為國祈禱並祝委座康健
page 4	英進出口均增
page 4	雅納爾的妙語
page 4	阿爾特瑪克事件
page 5	犯厓門日艦已擊退我克復古井粉洲四邑交通一部分恢復雙水口方面戰事仍烈
page 5	北江我軍進攻新街克復新村圍殲蓮塘殘日神岡日軍敗竄太平場
page 5	行都慰勞團由韶抵耒陽
page 5	粵積極提倡種植桐樹連縣經營最力
page 5	川禁煙署成立設計委會潼南煙民戒絕
page 5	粵財政廳長顧翊群赴贛商談經濟合作事宜
page 5	山東威海日軍統制金融秘密收買銀幣
page 6	救濟留港大學學生登記竣事即將遣送大中學生共四百六十人表格已寄教部靜候覆電
page 6	港僑自衛團昨舉行結束典禮陸靄雲報告工作經過情形發表宣言詳述善後各問題
page 6	廣大書展觀後歷代書風麥華三臨摹神似還我山河小學生得意之筆
page 6	英庚款董事會本年仍送留英學生十五部門二十五名
page 6	提桿山海面日艦焚燬四漁船船主張來喜久已未出海冒險捕魚兩船果名遇難
page 6	蘇聯貨輪斯冷嘉號傳將恢復自由
page 6	中華遊樂場上海歌舞團客串兩日
page 6	興中華劇團今天日夜劇目
page 6	舊英童書院改建贈醫處
page 6	三煤油公司下月一日起增價每加侖售價二元
page 6	青島來信曾經德國檢查推測係誤投寄歐郵袋五分郵票行程逾萬里
page 6	國光公司即將開始攝製影片
page 6	徵募軍鞋二十萬雙港婦女新運會響應
page 7	愉園足球血戰東方智擒警察四比一雙方激戰甚烈
page 7	跑的藝術幾個田賽的項目
page 7	大生杯排球賽保羅大勝漢中
page 7	拾趣記
page 7	我國錫產經港外銷去年達二千餘萬元
page 7	樹膠求過於供售價高漲
