page 2	社評假使軸心發動新攻勢
page 3	贛北我軍反攻獲勝激戰兩日斬獲近千南昌附近又克復重要據點
page 3	泰軍陸空兩路向越境挺進開入索還之領土
page 3	承建水電工程美日將起競爭
page 3	日商航受威脅擬設機關對抗英美各校增授泰語居心叵測
page 3	間諜案件東京不斷發生共捕五十一人
page 3	熱情洋溢之陪都愚公寄自重慶
page 3	政潮未已近衛拉攏財閥企圖緩和反感
page 3	蔣委員長接見菲僑代表聽取各項報告甚詳緬甸記者團今日離蓉
page 3	朱慶瀾氏在陝逝世
page 3	日扣外輪德義葡輪各一艘會被扣留及檢查
page 3	香翰屏談話潮汕我軍常出擊嶺東糧食無問題
page 3	王外長招待蘇大使舉行野餐遊覽山林渝文化界參觀蘇聯影片
page 3	吳部長勸僑胞與英合作協力保衛馬來亞
page 3	糧管局將開會討論省區間糧食調劑平抑糧價分三期辦理使跌至標準價格為止
page 3	滬各界發起獻金運動紀念一二八九週年
page 3	粵義民墾區籌備大致完成將招義民前往
page 3	鄂兩保長敘功晉級
page 3	拉卜楞巡教團抵蓉即將轉赴甘青工作滇黔教育視察團在筑視察
page 3	川行政會議昨日在渝開幕首先檢討糧政
page 3	英戰鬥機二百架調至新加坡增防東京附和戈培爾宣傳
page 3	桂推廣植桐貴縣已植桐三百市畝
page 4	德強調新攻勢謂即將採取緊急行動蘇聯發表正式聲明未嘗同意德軍侵保
page 4	保總理演說和戰問題不操諸弱國主向希和平收復失地
page 4	義軍又易統帥圖阻希軍攻勢
page 4	英機飛義轟炸散發首相演辭
page 4	英滅火隊勇抗德火襲德機屢投燃燒彈但皆被迅速撲滅
page 4	納粹統治下的歐洲各國現況二
page 4	蘇聯闡謠蘇艦開入羅領海說不確
page 4	威爾基氏擁護援助民主國案日內將飛英親察戰況美軍將進駐紐芬蘭新根據地
page 4	印度工人領袖呼籲努力援英英印工人並肩携手放棄國際化之理想
page 4	愛爾蘭詩人喬斯逝世將在瑞士下葬
page 4	美擬減少棉花生產戰事影響銷場藉免生產過剩
page 4	莫洛托夫宴舒倫堡
page 4	美製片公司捐款援英以為購機之用
page 4	英人將美債券呈交財部
page 4	溫莎公爵專機飛抵邁阿密參觀美航空演習
page 4	美輪擱淺
page 4	菲德籍神父被傳審詢因公開作政治宣傳
page 4	羅駐保公使返國述職
page 4	義撤換侵希主帥
page 4	聚利亞河流泛濫淹斃數百人
page 4	滬英僑購機捐款繼續舉辦以十萬鎊為目的
page 4	滬西僑童軍追悼鮑維爾十餘國籍童軍參加
page 5	日機狂炸惠陽演成空前大慘劇義國醫院被炸死傷六百餘人屍骸狼藉全市棺木搜售一空
page 5	中央大學近況錄
page 5	日控制華北逾三年企圖全失敗紙上計劃雖多成績毫無傭政腐敗人民輾轉溝壑
page 5	桂各縣成立糧食管理會
page 5	中山八區被炸斗門損害最重
page 5	余漢謀報告粵軍政近態各地日軍似有囗囗模樣戰區省府改進政治設施
page 5	惠海各地匪風猖獗海豐海面米艇被洗劫
page 5	合浦查緝日貨私運設立貨運稽查處
page 6	移民法明日施行我外交部電示港簽證處離港僑胞可領我國護照
page 6	居民聯會得予保證
page 6	伊雲斯繼任港警司伊氏現任馬來亞警官三月間由英來港履新
page 6	華籍醫生復准許簽發防疫證書醫學會向當局交涉結果政府註冊醫生均屬有效
page 6	婦女慰勞會舉辦全港舞星義舞在各舞廳分四次舉行十九日首次在百樂門
page 6	農曆新年僑胞積極提倡節約建國運動將春二十日節約獻金僑團學校均踴躍進行
page 6	保衛團趕速成立警方積極籌備訓練工作準備首先訓練團員千人
page 6	胡百富醫生港府批准行醫
page 6	去年僑匯達八萬萬本港匯業突趨旺盛鄭鐵如昨談批業情形日本欲求破壞毫無效果
page 6	當局為平抑柴價日內公布標準價格山柴數十萬枝即可抵港柴價回跌每元三十二斤
page 6	女校廁內投繯被控有罪六個月內不准再死
page 7	麗華杯華聯隊明日開會選人下午五時一刻在總會舉行
page 7	球國大勢四華會今後展望
page 7	學界籃球賽繼續開演昨日因雨改期
page 7	滬西聯足球賽東華再敗績後防鬆懈前鋒太遲鈍三比四受挫於聖芳濟
page 7	體協會再函六會加入
page 7	女籃秩序今晚重編
page 7	二次東南大戰漲價所得將撥作義舉
page 7	外匯牌價俱無變動美匯靜寂申匯仍穩
page 7	國幣市況仍見穩定
page 7	股票市況穩靜昨日成交五萬八千餘元
page 7	四四金市依然沉寂
