page 2	開封鋤奸的重大意義
page 3	粵東我軍攻入增城贛北反攻再迫高安
page 3	青年團呈中央定五四為青年節紀念辦法業經制定
page 3	集訓團員脫逃者受嚴懲
page 3	我國財政金融過去與現在孔院長之重要講演
page 3	蘇省六縣聯軍克復海門合肥附近發生激戰
page 3	Ｘ酋梅津在鄂墜機殞命
page 3	Ｘ傷兵運滬陸海軍調出增援虹口防務極空虛
page 3	失業新聞記者中宣部擬就登記辦法以經訓練後赴戰地工作
page 3	Ｘ機襲擊歐亞客機機師受傷乘客均平安
page 3	法總統函謝林主席
page 3	二批美麥運華救濟難民
page 3	津浦交通停頓鐵橋四座被我炸毀
page 3	開封戰事仍在猛烈開展中我軍反攻極有意義在心理上影響極大
page 4	地中海愈緊張直布羅陀英軍築防西班牙亦增兵南部
page 4	英法首揆同時宣布保證希羅完整兩國實力已準備充分對武力侵略決予制止
page 4	英首相張伯倫宣言全文
page 4	法總理達拉第宣言全文
page 4	徐  將軍談冀南戰局兩年來艱苦作戰的經過
page 4	對英法之宣言各方反應
page 4	赫爾強調聲明美決心抵禦侵略畢德門主以經濟制日眾院通過國防建設案
page 4	一致要求英蘇合作欲求集體安全非聯蘇不為功
page 4	羅馬民眾示威反法首相發表演說為侵亞作辯護
page 4	羅匈交惡匈報界向羅挑釁蘇考慮保衛羅國
page 4	德陰謀侵立立當局迅採措置法西斯黨魁被捕
page 4	英法存美資金足供兩年戰費美國金融界正在計劃在戰時盡量協助英法
page 4	平沼與閣員會商歐局東京政界極重視
page 4	英土談話英將另發宣言說明對土態度
page 5	台山援軍開到我據大澤與Ｘ對峙汾水江克復後我再放棄Ｘ機濫炸開台形勢仍緊
page 7	今日南華南戰海軍爭奪甲組賽冠軍下午四時半在海軍球場舉行雙方目下形勢相差祗有一分
page 7	世界網球之王了不起的勃琪功績偉大鐵爾頓以後所僅有職業表演輕取潘雷易如反掌
page 7	潘雷的幽默
page 7	公開網球賽昨日流產雙打棄權單打改期
page 7	英美田徑對抗伍特遜與克銀漢兩名將一英里賽將有激烈鬭爭
page 7	今晚籃球賽廣大對培英
page 7	拳擊比賽法爾勝勃爾曼
page 7	加中籃球隊在滬戰績
page 7	外匯牌價仍不動英美匯穩靜申匯稍淡華商略多拋出
page 7	過去一週間股票市況大致沉寂昨日略形鬆弛且乏生氣
page 7	八九金市略淡且靜買賣不多價格略降
