page 2	社評如何答復日本頑童
page 3	浙西敵出擾被擊潰殘股竄回武康老巢閩江交通恢復民眾夾岸歡呼
page 3	日方侵略陰謀又在印度暴露
page 3	傳華盛頓考慮海軍護航制度或將完全取消中立法日本各報又大放厥詞
page 3	美總統廣播決延期發表
page 3	納粹故意挑釁探測美國態度英報對格里爾事件之意見
page 3	盧作孚因病辭職
page 3	徐道鄰將回外部任職
page 3	德夫古柏過菲謂英在遠東地位猛進日本已失去黃金機會
page 3	澳洲的力量二
page 3	消滅外匯黑市上海十四家友邦銀行昨奉命停止外匯掛牌
page 3	九一八轉瞬十週年陪都正籌備紀念
page 3	驛運總處增設川湘水陸聯運
page 3	劉師舜使加正在徵詢同意中澳駐華公使行抵星洲
page 3	中樞紀念週陳果夫報告
page 3	中大教授羅香林發現國父族譜擬撰成專書宣揚國史
page 3	端納在美撰文揭斥日軍罪行
page 3	推廣航空教育飛機模型製造專家在蓉設廠大量製造
page 3	美又一油船駛抵海參崴
page 3	各地長官友好電唁張氏家屬
page 4	保衛列寧格勒蘇軍發動守勢反攻
page 4	德軍攻勢頓挫
page 4	蘇空軍極活躍
page 4	德方損失重大人員補充困難
page 4	倫敦即將舉行科學會議中英美蘇將派代表參加
page 4	美積極推進農業生產以應援英之需要農長將召開生產會議
page 4	美國國策的檢討主動攻勢與被動守勢一
page 4	英蘇國家銀行簽署協定規定支款匯兌辦法
page 4	德商務代表團抵達安喀拉初步談判開始舉行
page 4	英機數百架猛烈轟炸柏林基爾波隆亦被炸大火德空軍人員無心戀戰
page 4	羅斯福總統太夫人逝世世界各地紛紛電唁
page 4	林主席電唁美總統
page 4	貝魯特日領事撤退因無法再事活動
page 4	澳洲新總理佛登發表演說謂澳人四十萬參加兵役預測戰事將再延長兩年
page 4	德軍準備在蘇境過冬正制造禦寒木屋
page 4	消滅黑市
page 4	日本有眼無珠
page 5	粵省府頒布糧食管理辦法調節供求平準糧價以自由流通為原則
page 5	糧管局組織變更
page 5	粵省營工廠積極擴充中計劃進行改良增加生產麵粉廠短期內即可開工
page 5	中山敵軍竄擾小隱
page 5	本月日全蝕崇安盛況空前中外觀測隊赴閩在十隊以上中大天文台助教談觀蝕工作
page 5	鄉保公所學校嚴禁駐兵粵省府重申禁令
page 5	川康動態
page 5	中國史上之大教育家五
page 6	我海員失業達萬人家鄉多淪陷情況殊悽慘米業工人失業亦有五千
page 6	看霧重慶的試演
page 6	港府昨日公布新督明日抵港登岸前兩小時將放警報宣布歡迎秩序已全部排定
page 6	軍事演習仍繼續義勇軍昨復員義軍演習成績甚屬滿意敵軍進襲經被防軍擊退
page 6	特務警察第一批週未畢業三四五批即開始
page 6	防空工程案金卑路工程師竟又服毒自殺中毒甚深性命頗堪虞昨審查防空磚之製造
page 6	大夏港校錄取新生揭曉
page 6	港麵粉貯存充裕達十四萬餘包麵粉價格始終維持穩定美貨大量運來無虞短缺
page 6	嘉利接納小販請求暫緩取締熟食小販下月起仍繼續換發新牌小販呈嘉利提出三要求
page 7	中西游泳冠軍賽明日開始預演一連四日在域多利會池舉行昨天截止報名參加人數踴躍
page 7	銀牌籃球大戰民大首遇居聯樂斯杯童訊迎抗警察
page 7	體育家腳上
page 7	足球總會明日舉行月會
page 7	體協會游泳部議決舉辦港華人週年水運會比賽項目擬定十月中旬舉行
page 7	林山網球大戰力格斯冠軍三比一勝柯伐克局勢一面倒女子賽傑可勃竟遭淘汰
page 7	星島田徑隊日內開始訓練
page 7	鐵城杯賽華僑中青獲勝
page 7	上海網球會定六日成立
page 7	卓雄杯決賽明晚決定戰期
page 7	星華人大戰空軍二比二簽和約華人陳線支離打來不佳前途錦標又過一大難關
page 7	外匯牌價俱無變更申匯市況略見好轉
page 7	股票市況穩定昨日成交六萬八千餘元
page 7	國幣市價昨略上漲
