page 2	社評爭取主動擴大勝利
page 3	鄂中我軍進展神速鍾祥洋梓在包圍中湘鄂反攻迭獲勝利斬獲極多
page 3	蔣兼主席發展川建設增加明年度經費以擴充農業生產
page 3	孫科由滇抵渝即晉謁蔣委員長晤談對記者發表遊歐感想
page 3	綏展開游擊戰我深入日後方一部進迫歸綏
page 3	犯中條山日軍死傷四五千人晉西我續告捷
page 3	搶米潮嚴重滬米業停市租界當局允予保護米商沈尚文被狙擊
page 3	日反戰同盟桂西南支部招待新聞界
page 3	我軍事發言人談桂戰局穩定鬱江南岸全被我控制北岸日軍已孤立無援
page 3	今日新聞界最大使命白主任著文指示
page 3	紀念駐湘一週年薛岳告各界書一德一心再接再厲楚雖三戶亡秦必楚
page 3	日機散發反戰傳單
page 3	緬訪問團定期赴滇觀光昆明籌備歡迎
page 3	粵李主席注意提高省政效率邀全體參議員共同商討桂參議會發起獻金運動
page 3	日本言行不符美態度愈堅決雅納爾呼籲對日禁運日本又宣佈封鎖珠江
page 4	蘇芬戰況猛烈傳紅軍已突破曼諾海姆戰線挪芬邊境將有決戰
page 4	國聯正式通告蘇聯開除其會籍援芬工作短期實施英大批軍用品運芬
page 4	芬準期償付戰債美表示將向國會建議撥充救濟芬人民之用
page 4	烏露圭政府限令斯比上將離境英法艦隊嚴密監視傳德亦調集軍艦應戰
page 4	莫斯科籌備中的中國藝術展覽會
page 4	法時代報載蘇心潛艇助德預言歐局將有大變蘇曾討論絕交問題
page 4	齊亞諾演講義國與歐戰戰前目睹歐局危機曾向他國提出合作
page 4	一碗飯運動紐約成績優異
page 4	柏林官方否認德國求和謂德與英法間糾紛惟有武力解決一途
page 4	張伯倫飛西線視察
page 4	美宣布禁運鋁銻赴日蘇日受影響最大
page 4	蘇日漁業問題莫洛托夫與東鄉商談中勘界會議仍無結果
page 4	德向北歐及巴爾幹開始政治新策動以代向蘇聯交涉為辭誘各國接受德國宰制
page 4	日又封鎖珠江
page 4	芬蘭償付戰債
page 5	反攻江會戰事新鶴路我軍挺進日圖威脅中山騷擾九區邊境小黃圃偽軍擊退後昨又登陸
page 5	增郊我軍勇戰衝入蛇頭嶺炸毀日軍工事斬殺數十河源龍門各縣相繼被炸
page 5	日商控制上海紡織業恒豐大豐等紗廠均已被非法接管
page 5	瓊崖游擊戰掃蕩日偽迭奏膚功
page 5	主計預備會議總決議案全文一續
page 5	粵省教廳培養義務教育師資訂定方案期以七年完成
page 5	大批日偽軍調滬七八兩日間到九千餘名南市房屋幾完全被佔據
page 5	西康日記廿六
page 6	今晨九時至十時油蔴地區演習防空希望居民無事切勿外出防空總監昨招待新聞界
page 6	節省時光法港督委出委員會研究提早時間是否適用目的在減少煤電等消耗
page 6	情報總部及各機關為便利各參加防空救護
page 6	旅港閩僑進行微募寒衣募衣委員長會昨開首次會組織徵募隊已推出隊長
page 6	國際婦女會與盲女同慶聖誕
page 6	慈善賣物會今日閉幕孫夫人昨往參觀
page 6	電教協會港分會首次理監事會議函各公司勿再攝神怪片聘請聞人組設計委員會
page 6	華人賑災會昨日賣花五千餘元
page 6	行政局頒佈雀店經營法明年一月一日實施
page 6	華僑興西實業公司明日招待新聞界
page 6	兩教堂發起聖誕音樂大會今晚及二十晚分在港九舉行不收門標歡迎各界參加
page 6	協恩女中昨舉行畢業典禮
page 6	嶺南大學計劃遷返內地曾派員赴西南各處視察一說農學院先遷返廣東
page 6	新街道命名
page 6	太平戲院放映賊王子
page 6	青記學會座談會延期舉行
page 7	今天國際杯初賽中華對愛爾蘭下午三時半加山上演
page 7	今日戰表
page 7	南華南兵精糧足輕取警察會四比一上半時連克三關葉北華英勇如昔博好評
page 7	孤島足球聯賽西福斯勝東華
page 7	女子籃球賽今晚開會議
page 7	局面情勢惡劣東方忍痛下台四比三九龍欣奏凱旋歌
page 7	昨日外匯牌價美菲荷匯均回縮英匯市況呆滯美匯則微緊申匯市況依然穩定
page 7	八九金市昨買賣停頓
page 7	過去一週間股票市況蓬勃全週成交總值七十數萬各種股票價格逐日上漲
