page 2	史汀生入閣的認識 
page 3	宜昌近郊繼續血戰日軍受創遺屍遍野衝入江陵我軍加緊掃蕩中當陽外圍據點已先後克復
page 3	日對越南要求法國完全接納允許日本派員赴越監視
page 3	越幣狂跌
page 3	滬民心漸安定一部金融界仍多慮
page 3	投筆從戎宣克英受嘉獎
page 3	陣亡將士墓桂林各界籌建募基金念萬元 
page 3	瓊島日軍傳集中十五萬人
page 3	僑慰二分團抵韶備受熱烈歡迎該團定明日轉道赴桂林
page 3	日向汪將再提更嚴酷條件日人對汪已生輕蔑態度偽組織內人心益趨渙散
page 3	南北淪陷區旱災均嚴重太湖產米之區米價高漲華北缺糧情形較前益厲
page 3	日軍趕築邕欽鐵路強拉民伕達三千餘人
page 3	桂學生受訓當局決派四百人入三青團夏令營
page 3	全國的意志絕不能動搖
page 3	一致來完成抗建的目的
page 3	以革命精神來克服困難
page 3	各主管官員應以身作則
page 3	口人的損失遠超過我們
page 3	蔣委員長懇切勗勉全國上下加倍努力 
page 3	湘鄂贛我軍出擊粵中續克風雲嶺
page 4	美政府加強國防注視遠東史汀生氏出任陸長海長亦由共和黨諾克斯繼任羅斯福總統打破傳統之偉舉
page 4	史汀生諾克斯略歷
page 4	希特勒接見法代表法閣討論屈降條件法海軍決定繼續作戰
page 4	法德媾和進行中蘇德流言多傳德答應支持羅國現狀蘇在波蘭境內集中重兵
page 4	加眾院通過全國動員案金氏擴大內閣組織
page 4	西班牙各報揭開中立假面具向英國猛烈抨擊
page 4	邁斯基訪伯特勒莫洛托夫接見英法大使
page 4	日本大火政府機關損失重大
page 4	法軍退人瑞士邊境約共四萬人
page 4	破壞了中法越約
page 4	值得揄揚
page 4	蘇聯闢謠否認向芬提通牒
page 4	義大利參戰之日美總統演說全文續昨
page 5	經濟部資源委員會謀調整礦產運輸擬另設一新運輸處統籌辦理將全國分東南西南西北三區
page 5	義國參戰之後上海仍安定各國駐軍維持現狀日偽陰謀均成泡影
page 5	日人險謀擾亂金融偽造法幣壓低省券省行決定對付辦法
page 5	西康日記一○六第四篇康定及其附近西康風俗概述
page 5	桂參議會圓滿閉幕第九次會議中通過要案五項 
page 5	黃麟書報告粵教育行政大學統一招生在梅縣設分處中學畢業會考各校自行辦理
page 5	星洲寧陽會館救濟台山米荒
page 5	粵南局勢穩定電白陽江日艦已減少兩區游擊隊行將改編
page 5	江會前線我軍進擊台鮮兵開赴中山換防
page 5	桂省教廳籌設南武區師範學校經費確定日內即可成立預定下月招生八月開課
page 6	本港政府公布進行減少過剩人口已委出委員會從事調查寶雲道尾闢貧民模範村 
page 6	建築寮屋千間
page 6	貧民請領地段
page 6	實行消費合作
page 6	回教救國協會獎勵粵回教領袖分函褒揚並各贈一百元盡忠國家亦即恪守教規
page 6	中英文化協會定期舉行年會修正該會章程增加一條義務秘書發表該會年報
page 6	世界動盪中吾僑應有的認識和努力
page 6	英人捐款
page 6	聖約翰同學
page 6	浙東米荒
page 6	歐局影響商輪兵險費增價較前漲三四倍法屬不收已自二十日下午起實行
page 6	英籍國民
page 6	溫水源個人畫展明日起在金陵舉行
page 6	紀念七七港印刷業商會發起獻機運動 
page 6	各項活動
page 6	該會年報
page 6	王維新王哲賢藝術塑像歡迎各界參觀
page 6	女青年會會務發展在國民行設辦事處
page 7	今天公開棒球賽中華出戰工程二時半開火我軍切戒輕敵明晨岷甸奴再鬥港啤
page 7	初級學排決賽
page 7	喬路易蟬聯拳擊冠軍 
page 7	住聯小球隊約戰記者在警察學堂場
page 7	港圓外匯牌價續縮對越匯兌昨亦停止
page 7	八九金市先堅挺後回淡
page 7	國幣價格昨略上漲最高為二六七
page 7	股票跌風益盛匯豐銀行股續降五十元電燈電車等股亦均不支 
page 7	健康的意義
page 7	學界籃球裁判停止服務
page 7	公開籃球聯賽中青戰銀聯紅
page 7	足球春秋定廿四日出版
page 7	尖事兩則
