page 2	晉戰大勝利
page 3	湘北激戰我軍獲勝晉Ｘ竄芮城我正圍攻中嶺海Ｘ艦窺媽嶼被擊退
page 3	英國朝野上下促政府報復日本津Ｘ今日封鎖租界調解工作勢將中止
page 3	日攫取租界權益美決不讓步赫爾向報界聲明
page 3	從航空工業說到日本空軍力量
page 3	上海物價一律高漲
page 3	英政府注意日虐待英僑丁克勒在上海遇害眾院開會提出討論
page 3	有人謀刺英使英當局特別預防
page 3	美使抵筑
page 3	成功成仁雷鳴化英勇可風
page 3	Ｘ機襲渝使領館多被炸毀法輪船一艘中彈擊沉
page 3	行政院會議褒卹蒲得利張炯等張維翰任內部次長
page 3	陳錦濤死
page 3	南京毒案Ｘ方已斃兩人傀儡尚在呻吟
page 3	國葬謝持
page 3	優待俘虜須知軍事當局製造定公布
page 3	鮑逆觀澄在鎮江被炸傷
page 3	魯Ｘ受創蒙陰歸我控制
page 4	遠東權益被侵犯英國決不坐視交將繼續運用充分力量抵抗未來之任何威脅
page 4	不堪德國虐待捷克人民紛紛逃波秘密組織反德團體斯族仇德亦日加劇
page 4	我們的國際廣播供獻幾點應該改進的地主未風寄自倫敦
page 4	史德隆赴蘇已抵華沙與波當局舉行談話
page 4	英王返加拿大羅斯福父子臨別贈言祝好運當頭一路平安
page 4	法國怪案別墅搜出國防文件兩女一男同時被捕
page 4	英國努力發展海外民用航空成立新公司實行統制頒發津貼與外國競爭
page 4	英紡織工會抵制日貨尤以生絲為最
page 4	英法空軍舉行聯合演習德國空軍進步驚人美國與較尚覺遜色
page 4	國際農業大會在德開幕下屆大會在羅馬
page 4	德陸軍參謀長將報聘芬愛
page 4	對加強反共協定白島大島活躍日本建議祗允担保遠東德義方面傳不表示滿意
page 4	黃金國美財部所存黃金達百六十萬萬元
page 4	波經濟代表團週末抵英傳將向英借款
page 4	陳介在德參觀工廠
page 4	蘇飛機一架被芬蘭擊落
page 4	蘇日漁區又起糾紛
page 4	羅斯福演說稱頌英美友誼希望國際諒解合作
page 4	封鎖津租界
page 4	美國的態度
page 5	潮汕形勢雖弛當局仍作戰時準備返市民眾嚴令加緊疏散統制交通軍商運可無礙
page 5	戰雲籠罩的中山沿海視察記
page 5	Ｘ濫炸粵桂邊境廉江南寧均遭空襲投彈數十死傷甚多
page 5	王毅電告海南島孤軍抗戰官兵深明大義奮勇殺Ｘ全瓊劃分七區督導戰事
page 5	安南自七月起限制入口法越政府將頒新例
page 5	江村民眾英勇抗戰建造坊塔表揚忠烈
page 5	合浦壯士請纓
page 6	本港立案中學定期舉行畢業考試粵教廳令二十立日開始派督學張資模負責辦理
page 6	婦慰常委會議沈悲蓮報告總會重要工作訓練難童從事生產工作為倫敦賣物會發動徵募
page 6	世界博覽會中之古德立建築物
page 6	黎明之前旅港劇人聯合公演月中在利舞台舉行
page 6	華商總會今日會員大會李星衢決意引退讓賢圖書館問題將付討論
page 6	為替狄斯號殉難者募捐
page 6	廣九路員工舉行國民月會通過電呈最高領致敬通電慰勞前方抗戰軍士
page 6	香江中學學生讀報運動使學生養成讀報的習慣由十二日起至廿五日止
page 6	撫卹尹探遺族市民義不容辭集腋成裘孤寡沾惠不淺尹探九泉有知當感大德
page 6	許湞陽博士
page 6	中大服務團
page 6	本港食水問題城門水塘計劃完成後可解決昨日恢復全日供給食水
page 6	中華義學聘用教師放榜港九區先聘用一四四名教師應在十五日前報到
page 6	狗虱戲今日在青年會表演
page 6	兒童保育會
page 7	水上英雄五路出動參加本屆水球賽戰雲彌漫廿六日開始角逐興波作浪看認是海上霸王
page 7	名批評家論英法網球年賽法國之勝全在單打得力
page 7	南華綱球大有苗頭王文正加入如虎添翼昨日迎戰上屆錦票劇戰九盤果然高唱凱歌
page 7	域多利鍾聲會明日對抗
page 7	再戰南圻甲南華竟敗北僑胞失色結果五比三雖曰天命豈非人事哉
page 7	美國棒球界慶祝棒球百週紀念
page 7	夏令足球報名展期五天
page 7	乙組籃球戰今宵有三場
page 7	世運會可容納觀眾六萬餘人
page 7	法草地網球女子單條半複賽結果
page 7	申匯再漲其餘不動英美匯初緊後靜申匯再略趨淡銀行稍有吸進
page 7	買胃仍疲弱股票復趨靜寂存戶亦少拋出市底尚穩全日成交數僅七萬餘元
page 7	金條成交頗多
page 7	八九金市稍穩但靜買賣不多價再微降
page 7	英金回跌英銀均漲
