page 2	巴勒士丁會議與近東和平
page 3	海南戰事猛烈展開英法對日同提交涉美受刺激將通過菲島增防
page 3	菲報贊同蔣委長談話
page 3	綏遠我軍破壞鐵路線固陽附近激戰中
page 3	Ｘ傷兵激增滬醫院患人滿
page 3	Ｘ軍海南登陸與英法的關係
page 3	華北法幣Ｘ無法破壞
page 3	我駐日使館館產被兩偽組織非法佔據外部聲明日應負全責
page 3	Ｘ軍心不穩漢江岸發生變亂粵鮮籍兵大暴動
page 3	Ｘ中隊長思鄉厭戰在晋剖腹自殺
page 3	渝近郊工廠陸續開工煤焦需要量大增
page 3	Ｘ機窺西安盤旋一週後逸去
page 3	川島芳子在津因傷斃命
page 3	粵省政府月內完全移韶
page 3	委員長蓉行轅昨已開始辦公
page 3	鄂南迭奏膚功渝市優待軍人家屬
page 3	滬偽警所又被壯漢搗毀
page 4	赫爾廣播演說增強國防力量戰爭癥結屬於經濟和平志願或將受阻
page 4	艦隊大演習陣線長三百餘英里羅總統將親自參加
page 4	羅斯福總統不擬作歐遊在職期內無暇出國倫敦每日郵報載稱
page 4	美國航海業已有長足進步船數增加前途極樂觀國際間地位業已恢復
page 4	日佔海南島後新加坡安全可慮倫敦報界咸發出呼籲易遭轟炸威脅英航路
page 4	從肄江到香江二
page 4	直布羅陀英司令訪摩洛哥
page 4	英法籠絡弗朗哥促使與義大利疏遠義相保證發生疑竇
page 4	蔣委員長電唁教皇奉安典禮定今晚舉行廿萬人仰瞻教皇遺容
page 4	李維諾夫英報傳行將去職布幹寧有繼任望
page 4	澳洲空軍實力大見增加
page 4	法幣不可破壞
page 4	援助河北我軍
page 4	法索瑪利蘭駐軍司令赴任
page 4	比組新閣國王授命耶斯巴
page 5	粵主席告民眾書發表後黃鍾建議消弭貪污治本之道培育幹部安定生活何春帆就專員職汕警局易長
page 5	雜話曲江上
page 5	歧視黑毫澳商場叫苦連天銀業選擇後已將硬幣躉存市面我補困難警廳已注意
page 5	廣西公路局頒汽車搭儎辦法客貨均須按照新章辦理
page 5	Ｘ兵七百餘昨犯樟木頭深圳可聞砲聲
page 5	Ｘ艦艇又肆虐砲轟香洲竟向我漁船射擊
page 5	許世英派代表赴澳慰難民撥助救濟費一萬元
page 5	Ｘ犯北海以來一篇血賬被難漁船統計
page 5	陸大教官陳復光返滇談考察蘇聯感想蘇聯輿論熱烈同情中國抗戰新滇兩省為第二期抗戰重鎮
page 5	曲江組救護會
page 5	廣州灣改用國幣
page 6	粵海關公佈限制黃金出口辦法未經財部特准者禁出口自用金飾得照規定放行
page 6	許世英氏主持國貨展覽開幕決定廢曆元旦開始參加廠家百零四所
page 6	生活的悲劇小攤販和地痞收規悽慘底營生
page 6	黃樹倫被判入獄十四年法官認槍傷英警事態嚴重主嚴懲
page 6	李漢魂電覆接納粵僑救濟會建議對粵省難民救濟努力共勉
page 6	港當局領使追悼教皇儀節甚為隆重
page 6	保育會三院將建新址獲粉嶺地十三萬尺圖樣批准即可動工
page 6	英當局在港播音台對牯嶺外僑播音謂Ｘ進攻牯嶺已改期令該處僑民設法退出
page 6	僑務委員談國貨認識必須有切實憑證
page 6	本港瓊僑救鄉運動在積極推進中
page 6	赴星船票漸見低跌南渡者漸乙減少
page 6	畫家徐東白舉行展覽在香港旅行會
page 7	埠際代表隊練習賽明日改戰港聯隊下午五時在海軍球場門票仍售二角菲律賓足球隊明天可抵港
page 7	歲尾年頭足球秩序
page 7	滬學生網球隊明日返滬
page 7	光華足球農歷元旦征澳
page 7	歐美各國冬季運動
page 7	歡迎菲律賓球友
page 7	昨晚籃球義賽女子組東方勝流星男子賽星島克東方
page 8	昨瑞匯略縮其餘匯價仍不動英匯市底略緊美匯仍靜寂申匯市況先略鬆後稍回緊
page 10	中日戰爭第二年
