page 2	社評歐戰新趨勢的檢討
page 3	贛北日軍增援反撲奉新附近戰事激烈湘北我軍渡新牆河進迫岳州
page 3	皖東殲日經過
page 3	澳洲熱烈籌務歡迎美艦隊今後日本如擴大南侵新加坡將供美艦使用
page 3	荷總理抵紐約將前往荷印有所商洽荷殖民部長赴美謁羅斯福
page 3	美租借法案全文
page 3	傳日方向越南又提出苛刻要求法方指摘泰軍破壞休戰協定泰國慶祝勝利對日感激涕零
page 3	蔣委員長設宴招待參政會駐會各委員駐會委員會職權擴大極為各人士所注視
page 3	川勞軍運動熱烈展開莫明初臨終不忘獻機
page 3	滬又一槍擊案汪黨兩名斃命
page 3	桂省金礦經部派隊探勘
page 3	英人對我抗戰表示無限欽敬
page 3	農林會議閉幕通過三年施政計劃綱領
page 3	虞洽卿離滬來港
page 3	田賦改徵實物行政院通過暫行通則
page 3	滬法租界工潮又爆發電車公共汽車均罷工公共租界亦一度波及
page 3	劫後粵南力圖復興
page 4	德南關係未弛兩國繼續進行談話傳不久將簽訂協定
page 4	英國警告墨索里尼勿轟炸雅典否則英機飛炸羅馬
page 4	捷人不甘屈服拒絕與納粹合作所有生產皆減縮
page 4	英保安大臣廣播演說呼籲人民團結決心繼續抗戰
page 4	端諾萬返美視察歐非兩洲歷程二萬餘哩
page 4	美眾院開始討論援英撥款法案赫爾表示將實行援華
page 4	要求眾院迅速通過
page 4	新加坡軍港的戰略價值一
page 4	英機製造額較前已增加
page 4	英國在美負債概算
page 4	德加緊潛艇攻勢英輪損失激增在最近之兩週中損失二十五萬噸
page 4	七百餘廠趕製軍備
page 4	德閃電戰勢難再逞
page 4	埃議院討論限制外商萊塞向眾院演說勸勿採急促行動
page 4	美國潛艇沿東岸演習警告各商輪慎重航行
page 4	東非伊里特利亞大戰將展開英軍加緊進迫克倫義亦集中實力準備迎拒
page 5	我軍向江會推進舊社已發生激戰劫後四邑各地十室九空台山上下川島日軍落艦
page 5	日本國內民氣消沉經濟沒落毫無生氣一位外國記者的旅行通訊
page 5	西康日記第十三編永寧麗江途中
page 5	川省國民教育推行成績美滿各鄉鎮中心小學均已成立建教分科現正加緊推千
page 5	粵省積極改進中等教育質素教廳督導員定日間出發
page 5	曲江素描廣東的戰時省會
page 6	日領矢野返港謂日僑撤退甚少多數係由廣州過港返日港美領談美僑一切如常
page 6	本港存貯米石不少經已陳舊推出市面而以新米存倉官商兩方均有厚利可圖
page 6	立法局今日例會討論遺產稅修正案
page 6	華商籌振會發動僑團勞軍通函各行頭分別推動另組別動隊進行募捐
page 6	九龍青年會音樂講座定今晚開課
page 6	北大旅港同學會昨舉行周年大會葉恭綽報告一年來會務改選理事並假溫莎聚餐
page 6	警察搜捕天台住客與撲滅霍亂有關
page 6	威爾遜牧師被委為星洲主教
page 6	星光制度成績良好大埔前晚舉行
page 6	灣仔海傍浮標電網海軍部令飭拆除
page 6	青年會紀念兒童節兒童體育表演會四月四日中午起始舉行十六歲以下兒童得參加
page 6	募債分會商募戰時公債決向財部請示繳款手續南洋方面由各分會辦理
page 6	英海外航空公司香港分局結束因港曼民航線經已停航該公司消息可詢旅行社
page 7	南華會青雲得路榮獲聯賽錦標德輝演變帽子戲法文治立功四比二警察隊低首稱臣
page 7	射球紀錄德輝冠軍
page 7	劇戰記德輝出風頭
page 7	滬西聯足球會停止東華比賽
page 7	士海之戰宣布改期
page 7	正廷杯女籃賽南華力克半山男友誼賽青支不敵南華
page 7	五邑杯乒乓賽今晚揭幕九龍十隊題名乒乓聯合會主辦一年一
page 7	第二屆越野跑今日截止報名廿一開始發給號碼襟章
page 7	本週足球比賽節目
page 7	外匯牌價申價回縮英匯黯淡美匯靜寂
page 7	股票市況好轉昨日成交七萬餘元
page 7	國幣市況穩定但靜
