page 2	歐局與羅斯福的警告
page 3	粵省我軍猛攻增城鄂中反攻激戰甚烈湘北Ｘ軍蠢動形勢漸緊
page 3	粵南方面
page 3	鄂中方面
page 3	贛北方面
page 3	英經濟家過港談國際現勢英政府政策轉強硬對獨裁者決不讓步
page 3	我國財政金融過去與現在五孔院長之重要講演
page 3	殃及池魚席時泰被殺後彭福林受傷死
page 3	京滬滬杭兩路沿線有戰事Ｘ兵力不敷分配來往調動極忙碌
page 3	國民公約誓詞桂教廳編為歌譜體
page 3	Ｘ機襲蒙自在城郊投彈後逸去
page 3	民國二十八年建設公債條例國民政府制定公佈
page 3	漢中山公園前有人投彈炸死行人一名
page 3	吳佩孚傳已離平他去
page 3	我空軍飛侯馬轟烽夏縣解遭我痛擊
page 3	美雜誌揭發戰時日本窘態橫徵暴歛人民赤貧如洗負擔日重反戰情緒高漲
page 3	英對華貨欵續撥三百萬鎊
page 3	美艦隊司令再度巡視長江經南京九江前往漢口美當局謂無政治作用
page 3	傅逆筱庵將任偽寧市長
page 4	美國協助蘇俄擴充海軍實力蘇遠東政策強硬化並將積極助我抗戰
page 4	美議員同情我國主張援華制日
page 4	美議員一致讚揚羅斯福之談話
page 4	張伯倫昨發表宣言英保證希土安全如有破壞兩國完整者英法將起而聯合抵抗
page 4	歐局愈趨嚴重英法力謀軍事上合作並重視蘇俄積極談判
page 4	歐洲戰雲瀰漫各國紛紛採軍事準備動員總額達八百萬人
page 4	英蘇應成立切實軍事諒解勞合喬治敦促張伯倫對侵略國不能再讓步
page 4	日本政治的貧困平沼內閣壽命不久後繼亦無出色人物
page 4	將訪南國
page 4	波商務部長昨日抵羅馬
page 4	傳德國向波提四項要求決以武力為談判後盾駐德波大使返國請訓
page 4	阿不肖之徒認敵作父竟將王冤送呈義王傀儡政府人選發表傀
page 4	英法報紙揭破義國新陰謀與南保密約瓜分巴爾幹並圖組織馬其頓獨立國
page 4	黃金國世界各國黃金大量流入美國
page 4	北非回人反義情緒高漲新紐絲傳發生革命阿境回人宣誓報復
page 4	蘇聯與遠東
page 4	阿奸
page 5	汾水江陣地被突破Ｘ沿寧陽鐵路猛犯我在大澤司前激戰三埠吃緊江門外圍膠着沙坪南有戰事
page 5	寮步墟浩劫三千鋪戶成灰燼南頭Ｘ敗藉此報復難民數百逃亡抵港
page 5	粵財廳實施新計劃中央頗為嘉許
page 5	汕積極疏散人口市當局已議有詳細計劃公務人員家屬現已疎散
page 5	劉志陸出巡惠朝梅屬防務潮汕組軍警巡察處
page 5	中山紅會服務
page 5	橫瀝Ｘ兵厭戰
page 6	蔣夫人宋美齡勗僑胞努力救亡昨日召見婦慰會及兒保會職員繼續組織婦女服務隊
page 6	婦女服務隊仍擴充
page 6	港大特委會議日內即可結束改進計劃將由港督審定杭立武談中英庚款現況
page 6	廠商考察團在澳門酬酢甚歡昨午後踏勘新填地青洲署澳督表示願共促繁榮
page 6	粵慰勞將士會徵募短衣運動昨日會議決定十萬套函請華商總會等進行
page 6	昨午六團體歡宴菲學生團溫源寧氏致詞語重心長菲主席願終身與我為友
page 6	馬師曾將赴南洋
page 6	兒童劇協昨成立議決組織大綱共分五組成立會中公演兒童萬歲
page 7	菲律濱積極籌備遠東足球錦標賽已獲得國際足球協進會贊助將邀請港滬新加坡爪哇參加
page 7	東方足球隊勝順化選手結果二比一演出極緊張
page 7	河內烽火錄
page 7	第一戰四比一勝軍聯
page 7	第二戰三比零勝河內乙組
page 7	大徐不失冠軍派頭二比一擊退小林珍
page 7	菲律濱台杯選手加維亞不參加
page 7	港埠際足球隊征菲三戰秩序已排定
