page 2	社評日閥能否分化英美
page 3	美國務卿赫爾聲明關切天津廣泛局勢駐東京美代辦提出兩抗議日本離間英美策已然失敗
page 3	張伯倫在眾院報告遠東情勢英外相接見重光葵外交委人繼續研究
page 3	美法輿論響應赫爾聲明認係對日本之警告
page 3	粵桂線上反攻的前夜續飛鵬十二日寄自韶關
page 3	英報主張應採直接行動勿再興Ｘ方提交涉
page 3	滬Ｘ反英公開作抵貨宣傳
page 3	澳洲擁護英德日經濟報復
page 3	英艦貨遭受干涉向日提同抗議
page 3	滬金融穩定
page 3	汪系走狗在滬活動企圖拉攏新聞界結果無人受利用
page 3	蔣夫人致函美國母校詳述Ｘ機暴行
page 3	桂黨政軍聯席會議當局準備恢復
page 3	Ｘ偽萬人企圖進犯魯南
page 3	粵視察員返回韶關報告
page 3	滬文匯報出版尚無定期
page 3	兩偽組織定期舉行聯委會
page 3	冀南之Ｘ屢圖蠢動受創
page 3	晉南我連克要地鄂北Ｘ進犯不逞
page 4	英內閣外委會討論英蘇談判莫斯科會商無新發展張伯倫週末將有聲明
page 4	捷京傳來消息德軍調動忙大軍十師集斯波邊境德國官方仍力圖掩飾
page 4	Ｘ內閣動搖平沼有田板垣意見衝突政局嚴重內部醞釀變化
page 4	保財長抵德談判經濟關係
page 4	耶路撒冷情勢仍嚴重
page 4	德義兩國加緊經濟合作兩國委員會在柏林開會
page 4	南洋火山島嶼近日來屢次震動當局採預防措置
page 4	德勞工領袖飛抵羅京參加國勞展覽會
page 4	以有用金鐵資最大商蟊英商購買日本罐頭魚各報表不滿大施攻擊
page 4	京滬滬杭沿線Ｘ漸露窘態杯弓蛇影畏游擊隊如虎活來死去籍拉夫來補充
page 4	湖南家業改進工作藷衛
page 4	德探險團登喜馬拉雅山高峯
page 4	美勞工問題經濟受工潮之影響極巨現行勞工制主應予改善
page 4	對但澤問題波態度堅決致牒但澤參議會拒絕所提各要求
page 4	行政院會議嘉獎皖行政專員桂省兩廳長對調
page 4	英人大廈
page 4	滬米價上漲
page 4	倫敦舉行防空演習
page 4	阿拉伯向德購買飛機英報所傳如此
page 4	英新巨型機試航失事機身全部炸燬
page 4	義機應邀聘問柏林德航次設宴欵待
page 4	我國茶葉大量輸往蘇聯
page 4	印度回衝突受傷者達三十人當局頒布戒嚴令
page 4	美國的關切
page 5	三江睦州民眾組織抗戰團體成立統率會已辦有成果四邑Ｘ懼襲連日未出擾
page 5	第囗戰區新委兩處長管運輸糧食
page 5	閩最前線嵩嶼實踏記
page 5	中山各界召開代表大會討論張惠長彈劾案
page 5	瓊崖Ｘ軍施放毒氣我暈中毒幸獲治愈
page 5	韶關強迫疏散
page 6	七七紀念前後舉行節約購債運動公債分會將致函各僑團本港銷債共達八百萬元
page 6	全國婦女七七獻金購機本港婦女領袖表示贊同石塘歌姬義唱小販義賣
page 6	各界賬聯會
page 6	鹹水蜆
page 6	兒童保育會兩次籌款共得六千餘元
page 6	新街市退出攤位月底分日重役各業攤位共計七十三個底價標貼定於今日標出
page 6	學生賑濟會續組服務團
page 6	中美文協定期聚餐
page 6	婦女慰勞會
page 6	世界書局
page 6	林沖殲仇記中央今天起演
page 6	龍舟競賽鍾聲社今日舉行
page 6	政記公司在渝抗告被駁回因理由不能成立
page 6	各界賑聯會招待救亡劇團贈送錦旗一面以誌紀念出國期近宣傳並籌賑款
page 7	白瓊漢草地網球賽單打中名將雲集奧斯丁力克斯等六十四人參加角逐米杜息網球賽何愛英告捷
page 7	職業網球賽勃琪榮獲首獎最後一戰力克奴斯藍表演精彩為前所僅有
page 7	南華遠征足球隊星洲第一戰小挫中華結果四比三乘勝餘威星夜赴仰光
page 7	南華會夏令足球賽新人老將七隊參加
page 7	上海要求恢復埠際游泳比賽域多利定期召開代表會是否出席尚待從長計議
page 7	今晚乙組籃球最後一幕
page 7	英美匯均乏生氣申匯牌價再漲市況仍穩靜叻匯牌價微縮其餘俱不動
page 7	股票頹風益熾因謠言影響買賣更少全日成交僅三萬餘元
page 7	英金回跌英銀均落
page 7	八九金市略淡且靜買賣俱光價格微降
