page 2	駁有田聲明 
page 3	豫東我軍又起突擊衝入開封重創日軍城郊仍鏖戰中汴新路已切斷襄西激戰宜昌日軍被殲數千 
page 3	軍委會發言人談最近點戰局各戰場我均有收穫
page 3	日偽對滬法租界野心仍未戢日憲兵竟隨便搜查拘捕英美等外僑將開會商討
page 3	渝市臨時參議會斥日機濫炸暴行準備以最悲壯最沉痛之精神擁護抗戰國策爭取最後勝利
page 3	日機又被擊落兩架
page 3	僑胞電慰空軍將士
page 3	桂市警備司令部今日正式成立原有軍警督察處決撤銷
page 3	滬兩租界實行增稅自今日起開始
page 3	本港青年獻劍團一部團員由越抵昆明
page 3	邊省公務員任用條例雲南亦為適用省分
page 3	德參贊畢樞由渝抵滬後受日人注意
page 3	政務巡視團一組今日出巡東江一組日內由甘　一組月初出　
page 3	對日本要求英內閣將考慮英大使訪赫爾交換意
page 3	豫東偽軍兩師反正
page 3	渝蓉喜雨川省農村可望復蘇
page 3	日機襲渝影片今晚在渝放映
page 3	太平洋新形勢與日本
page 3	日軍圖犯保德晉西北激戰中
page 4	英德義空戰漸火熾倫敦空防嚴密北非英軍攻入義屬地法首都遷離波爾多
page 4	蘇方公佈經過情形
page 4	德外長機關雜誌警告美洲各國高唱歐洲門羅主義並威嚇勿干預歐事
page 4	墨索里尼覲見義王
page 4	有田廣播之反響美表示態度不變半官人士闡明門羅主義真諦日方幻想不容與之相提並論
page 4	美海軍部建大批軍艦新艦十九艘即可開工擬續請議會撥款製機
page 4	民主黨投票人擁護羅斯福黨內領袖極盼羅氏出馬大會即將在芝加哥舉行 
page 4	高爾將軍論法國致敗原因統帥使用陳舊戰術致使士兵喪失勇氣
page 4	立外長赴莫斯科商兩國今後關係
page 4	伊土會商意見完全一致
page 4	美國實行外僑登記約三百五十萬
page 4	近衛積極組織新黨
page 4	軍事好轉
page 4	巴爾幹形勢
page 4	太平洋新形勢與日本下文自第三版轉來
page 4	匈保對羅態度顯已轉趨和緩德義方致力西歐未暇支持羅方發表蘇羅新邊界
page 5	惠寶局勢穩定我軍將大舉反攻沙灣日偽軍潰竄深圳李朗各地情形仍安謐
page 5	廣九線上我軍活躍
page 5	中山第八區又發生戰事白蕉一度被侵擾
page 5	桂省三青支團促進青年創作定期舉行技藝展覽競賽計分論文書畫等十數種
page 5	南路當局鞏固邊防並加緊疏散人口物資
page 5	候用公務員招待所近訊
page 5	西康日記一一一第五編由榆林宮到梭坡
page 5	鐵蹄下之廣州最近商業概況民窮財盡各行營業慘淡日偽苛徵暴斂百物騰貴
page 5	韶義民招待所業已開始收容內容設備齊全招週密地方寬敞可納四百餘人
page 5	桂省合作事業進展迅速合作社已增至一萬餘所社員共有四十六萬餘人
page 5	粵省各機關人事管理正著手改善中
page 5	獨子黎士科請纓殺日嶺南師管區傳令嘉獎 
page 5	唐柯三報告回民抗戰工作桂國際委員會舉行招待會
page 5	日機窺擾惠寶邊境
page 6	疏散婦孺令發表後僑胞自動離港者多赴澳門輪船均擁擠異常逃港難民多嘆行不得也
page 6	顯貴富翁早有準備
page 6	有功華人婦孺登記
page 6	日降傘隊一名落深圳河一名被我生擒
page 6	大部華人徘徊觀望 
page 6	疏散婦孺須先報到
page 6	某教授抵港談越南情勢趨穩滇越客車現仍照常開行邊境國軍已作萬一準備
page 6	回教博愛社昨舉行同人大會修改章程改選本屆委員下星期晚各部職員就職
page 6	難童工藝院今晚演劇籌款四大劇團在太平戲院演出難童工藝成績展歡迎參觀 
page 6	過期繳納罰加稅款
page 6	戰稅局開始徵收戰時物業稅昨發出通知書通告業主完稅日期限至下月底止
page 6	通知業主完稅辦法
page 6	各文化團體昨追悼孫寒冰杜月笙領導舉行公祭蔣學楷報告殉難經過
page 6	商務印書館國貨文具特價
page 6	廣東省銀行變通兌換辦法交通梗阻國幣未能運來改發韶州匯票在韶支付
page 6	廣州灣輪兩艘先後來港
page 6	藝術觀賞會
page 6	淺水灣
page 6	例假撤銷
page 6	呈報校址
page 6	警察當局準備隨時徵用汽車運輸輔助隊已募得千五百人電單車通訊員尚未足額
page 6	柯立芝總統輪赴菲中途折返準備必要時載美僑離港美領事館尚未接到訓令
page 6	大誠中學
page 6	英軍眷屬昨日赴菲 
page 6	英國人的生活和思想四娛樂下
page 7	中華隊隨意演出香港力戰不敵二比八局勢鬆馳戰情平淡美兵氣盛大勝工程隊
page 7	東方又傳捷報淨勝友聯三球
page 7	公開籃球戰乙組三場今晚在中青
page 7	時局嚴重中石澳禁游泳
page 7	學界籃球共有兩場 
page 7	過去半年內港金融情況匯價慘跌創成新紀錄
page 7	煤價大漲
page 7	中美貿易增進桐油蠶絲出口為最大宗
page 7	九龍青年支會會友籃球比賽現已加緊著手計劃舉辦一俟章程印就開始報名
page 7	六團體退出協會去函挽留附登協會會章以供參考
page 7	華人水藝會今晚七時舉行
page 7	游泳家體格談
