page 2	評近衛的大政翼贊運動
page 3	日軍即將在越登陸日方下令撤退僑民真正目的在攫取越南全境
page 3	我為滬孤軍事件向英美抗議要求懲辦肇事負責人員日人竟企圖接管孤軍營
page 3	李杜將軍報告東北我軍戰績經九年奮鬥實力日強平均每日出擊二十次
page 3	余漢謀長官發起協助灌溉運動電粵軍政人員領導實行
page 3	中國問題論文競賽美德星女士榮獲首選得獎一千二百美元孔副院長去電致賀
page 3	中央發展綏西農村允撥農貸三百萬元現正商洽詳細辦法
page 3	新運婦委會幹部訓練班定期招考第五屆學員
page 3	桂當局撤銷入境登記所員兵給資遣散
page 3	桂省各界公祭馬君武
page 3	王揖唐赴寧時曾訪王克敏傳與南京之財政有關 
page 3	長沙鄉民妻一胎三男獲獎金八百元
page 3	國府褒揚林黃兩僑胞
page 3	晉城近郊劇戰鄂西連挫日軍
page 3	中央銀行發表內債數字
page 3	滬日人在租界內續捕我青年律師史乃棠昨被人擊斃
page 3	越南危局的發展一
page 3	勘測瀾滄江工作繼續進行由保山南下已過四險灘
page 3	亞細亞皇后輪被炸事件日本向加道歉
page 3	日人造謠不攻自破居院長明明在渝又何能分身來港
page 3	法對泰要求不準備考慮
page 4	里賓特羅甫會晤墨索里尼義國將在北非圖逞
page 4	德機大批夜襲倫敦彈如雨下
page 4	英用新式武器對付德轟炸機
page 4	胡佛泛論世界之前途經濟危機在所難免美應竭力維護民主
page 4	英王弟遇險計時炸彈爆發走避及時倖免
page 4	紐約時報著論贊助威爾基氏當此民主政制動搖之際美國尤應保持傳統政策
page 4	達拉第等正式被起訴
page 4	瑞士眾院贊助民主原則排斥非民主運動
page 4	英國加緊統制航運藉以增強封鎖
page 4	滬英僑踴躍從軍第二批日內赴近東
page 4	近衛內閣補充閣僚
page 4	美軍事考察團離英返美對英國防務有深刻印象
page 4	加緊對日對鎖調整物品供求政府改訂禁運物品種類
page 4	美海陸軍出售轟炸機配有四引擎速率三百哩
page 4	墨煤油糾紛官方謂將解決廠商難表同意
page 4	美機運英每月五百架明年初可增一倍
page 4	日新體制準備工作結束有馬將任中央本部部長
page 4	越南局勢緊
page 4	美參議員金氏主援菲抗日日本勢力如獲膨脹美菲本身將遭危害
page 4	英國訓練技術工人增加軍火製造 
page 4	油類輸入數額英西獲得妥協
page 4	澳洲在太平洋的地位二
page 4	英機猛烈轟炸法國沿岸大火
page 5	六學術團體在滇開聯合年會戴院長龍主席等均慰勉有加討論演講多注重農礦等問題
page 5	戴院長賀電 
page 5	陳濟棠報告農林部工作方針
page 5	會議與演講
page 5	始興歡送榮譽軍人重上前線抗戰
page 5	財部便利華僑匯款增加承匯銀行列名分令各省
page 5	西康日記一七四第九編九龍木裏途中
page 5	西江我軍兩路出擊周部一度衝入會城趙部連日猛攻睦洲 
page 5	粵南邊境縣長先後出巡災區靈山加緊辦理善後欽縣三那發生米荒
page 5	桂省府與中大繼續籌設蠶桑場改良蠶絲拓植工作中大學術考察團由黔抵桂
page 5	龍主席訓詞
page 5	主席開會詞
page 6	回到祖國去首批義民今晨出發粵省振會發表疏散辦法貧者公家供給富者自理
page 6	沿途之膳宿
page 6	輸送及保護
page 6	僑胞之職業
page 6	印度來福槍隊阿里少校獲獎代督頒獎儀式甚為隆重印度軍隊僅五人得此章
page 6	本港華人審計師公會釐訂辦法指導僑商俾知繳納戰稅手續
page 6	蔣夫人文學獎金徵文定期揭曉
page 6	統考取錄學生攻讀工科者最多合農醫二科佔總數之半抗建大旗下青年之動向
page 6	嘉屬籌振會平糶義款已交嘉屬各縣
page 6	南洋回教人士組織來華訪問團各地推出代表年內成行白崇禧曾致函表示歡迎 
page 6	光榮公司黃花節被控欠告白費案工商日報得直兼得堂費原告延關祖堯律師主控
page 6	堅民膠廠交政兩部留港人員昨日聯袂前往參觀 
page 6	募集程振章遺族基金吳鐵城許世英等發起
page 6	嶺南大學農院進行內遷不因人事影響而中變十月二日追悼故院長古桂芬
page 6	平民夜校
page 6	霍亂症
page 6	保良局
page 6	青記學會遷入圖書館新址
page 6	陳維周大廈被控未施防瘧步驟經冼律師辯護註銷
page 6	柯區訂婚今日假大酒店舉行
page 6	港自由法僑大會選出首屆職員募得高爾基金四百餘元援助志願赴英參戰之人
page 6	尖沙嘴廣東道昨晚塌屋傷人舊樓正在改建石屎樓梯死傷甚眾昨晚在發掘中
page 6	印度饑饉士心關懷
page 6	岳督訓話勗勉有加
page 6	抵韶後住所
page 6	橫瀾燈塔職員捕獲大蛇長十五呎重約十六斤事前夜夜失雞始發覺
page 7	後日東星大戰東方會聲請改期勇森繼之投奔星島人才凋零難以成軍
page 7	全港公開游泳昨日預賽結束男子八百八十碼自由式陳震南創新紀錄
page 7	一個球迷來函
page 7	全港華人水運大會定下月中旬舉行
page 7	港圓外匯牌價回漲美匯靜穩申匯沉寂
page 7	四四金市微淡且靜
page 7	股票市況微露生氣賣戶堅持成交尚少
page 7	國幣市況略趨下游
page 7	棒球聯賽冠軍決戰明日岷甸奴戰港啤
page 7	星島隊二次操演五比三力挫海軍乙組 
