page 2	社評先解決日本
page 3	德軍又遭嚴重挫敗坦克車隊全營覆減柏林宣傳已衝破史達林陣線
page 3	中國團結鞏固最後必獲勝利顧大使出席倫敦援華會演講
page 3	蘇聯重視艾登宣言信賴英國竭力將援蘇
page 3	隧道窒息案審查會報告
page 3	巴拿馬運河宣布戒嚴夜間封鎖各港口除去水雷安全掣
page 3	敘利亞戰事結束期近休戰協定正在談判中英軍分三路挺進
page 3	澳洲醞釀政潮政府主張曾三次遭否決工會擁護克丁繼任總理
page 3	蘇軍事代表團抵達倫敦包括海陸空軍代表
page 3	明月之夜英機炸西歐德機廠被夷燒彈擊中英海岸屋宇亦覺震動
page 3	戰事延續印地位愈重要成為軍需主要供應站
page 3	丹人計劃破壞德船隻事機不密被判監禁
page 3	奧欽勒克談中東與美援認為具有重大關係
page 3	日明年度預算編製甚感困難
page 3	馬爾泰被空襲高射砲曾猛烈還擊
page 3	美海部請撥巨款共五萬八千萬元為造船修理費用
page 3	德機曾猛襲蘇彝士運河
page 3	韋爾斯論南美衝突事件美國政府表示遺憾促當事國提防渾水摸魚
page 4	美軍接防冰島聲明不變更該島主權
page 4	中央舉行隆重儀式蔣委長親臨致訓指示各機關今後工作方針
page 4	七七四週紀念中共發表宣言
page 4	菲律賓人命運擊於中國抗戰胡大使撰文呼籲中菲團結
page 4	英美各報頌揚我內在力偉大並譴責日軍在華之暴行
page 4	隧道窒自案審查會報告
page 4	納粹控制下之日本第五縱隊滿佈誘日南侵內外政策取決於德使軍部亦受德顧問操縱史賓克斯博士論述日本內幕
page 4	日積極準備北進板垣調往朝鮮遺缺由後宮淳遞補多田中村岡村職務均有更動
page 4	滬十萬人簽名慰問英首相
page 4	粵東黃岡敵登陸分兩路進窺饒平
page 4	美徵用丹輪行駛太平洋航線
page 4	日圖掩飾設立安全地帶石射指為虛構
page 4	日商輪奉命集中太平洋
page 4	敵機襲渝外籍記者公寓全部被炸起火
page 4	板垣的失敗
page 5	粵五屆參議大會開幕典禮詳情李主席申述急待解決問題大會討論將以經建為中心
page 5	一年來實地研究油桐所遇到的問題四
page 5	粵漢路破獲鑿車劫貨案要犯五名均已落綱
page 5	颶風再襲澳門風雨搖撼中幸無損失
page 5	重慶廣東建設研究會討論粵糧食問題認目前嚴重係米糧不足增加生產乃為解決要圖
page 5	粵省發動捐獻一元購機運動徵募方式分三種推行
page 5	南順團隊夜襲九江斃敵偽軍數十名
page 6	港府決定本年底開徵廣義所得稅當局組特委會擬定計劃輔政司昨日對記者談話
page 6	公平糶米會販賣新界菜蔬定廿四日開始在錦田上水元朗民買運來港九各分站發售
page 6	廣義所得稅施行範圍
page 6	四華人代表發起贈港督紀念品並聯合華人團體舉行歡送聚餐會
page 6	警司俞允時昨晚返港
page 6	華商總會昨議決為法熟食小販呼籲小販提出四項改善辦法商會轉華人代表呈港府
page 6	羅旭龢請假赴澳休養行政局職羅文錦暫代
page 6	馬頭涌山泥傾下傷斃泥工八人兩人被巨石擊中已斃命受傷六人均送醫院療治
page 6	港督昨檢閱海軍義勇隊盛讚彼等服務成績
page 6	華商會勸債明日出發
page 6	港秘魯領事談秘魯赤道國之衝突日本人在秘魯勢力甚大
page 6	電車巴士月票加價擬由下月起增價
page 6	陳慶雲在港發動一元獻機運動連日已與各方面接洽詳細辦法尚在草擬中
page 7	南華足球南遊隊昨晨凱旋抵港共賽十七場勝十二和三負二李隊長暢談南遊經過
page 7	我國體育的回顧與前瞻
page 7	單車比賽今晨舉行
page 7	香港足球總會今日舉行年會
page 7	美路杯賽銀聯勝五邑
page 7	南華在吉義賽演出全武行雪聯中鋒故意衝倒均幹引起華僑衝突漢明被踢受傷
page 7	棒球岷隊對香港
page 7	外匯牌價俱無變更申匯市況復略傾淡
page 7	股票漲風甚盛人心興奮買戶紛紛吸進昨成交總值逾二十萬元
