page 2	地方行政機構改善問題
page 3	雷州半島戰雲瀰漫鄂中我軍反攻得勢大批Ｘ機昨日慘炸宜昌
page 3	渝婦女紀念三八蔣夫人親臨致詞勸大家參加抗戰工作要努力為民族爭光榮
page 3	開會情形
page 3	中國航空公司闢重慶河內線昨日派飛機試飛正式開航期不遠
page 3	致詞全文
page 3	川康視察團定期出發工作計劃已草定
page 3	外交部王部長對美聯社談話謂目前中國外交形勢較諸過去已大見光明
page 3	傀儡吶喊不滿滬租界妥協
page 3	朱暉日六日出巡各縣
page 3	中野荒謬演說引起國內不良的反響官方否認贊成其政策
page 3	法大使定十日遞國書
page 3	津Ｘ封鎖租界英法提出抗議
page 3	平妖孽演醜劇發起先天道會
page 3	粵省府派員宣慰戰區軍民
page 4	美參院通過龐大陸軍預算海軍實力亦將予增強對抗日六年造艦計劃
page 4	日對漁區問題作最後掙扎再對蘇聯提抗議東鄉到德訪大島
page 4	Ｘ眾院繼續質問對華及國際問題板垣聲言軍事行動不變物動計劃本月底可編成
page 4	大批金銀運美法輪巧越日封鎖線已由越南抵馬尼拉
page 4	巴勒士丁會議空氣漸緊張阿代表態度轉趨強硬對移民問題不願讓步
page 4	名教育家林德曼逝世享年八十七歲
page 4	孟哲斯特十日記
page 4	法海軍演習定本月十七日舉行參加軍艦紛紛開拔
page 4	瑪德里變叛已完全平息
page 4	西局有新發展和議談判開始傳瑪德里國防委員會已準備休戰結束內爭
page 4	美副國務卿接見西大使
page 4	印回衝突再度發生警察開槍彈壓結果死傷五人
page 4	菲島農民暴動反對佃租制度當局調兵鎮壓
page 4	戈林在義定本月杪聘問羅馬
page 4	Ｘ圖進一步統制華北交通興亞院決定設轉運公司華中方面亦將照樣辦理
page 4	猶人離德問題各國與德談判經過異常完滿
page 4	英商會當局評華北管理匯兌
page 4	希特勒繼任有人魏德曼在美稱
page 4	捷政潮可望平息捷斯兩族保持原有關係將用談判方式解決一切
page 4	王外長的話
page 4	蘇日的姿態
page 5	西江前線膠着月餘鄧龍光備緊急戰鬭各高級將領在某地聆訓粵桂聯防我兵力已充實
page 5	順德Ｘ軍擾四鄉勞村岳步均遭劫漢奸土匪乘機活動村墟民眾損失不貲
page 5	粵一區各縣長集會救濟米荒并商聯防行政問題
page 5	畢竟強弩之末黃閣Ｘ退中山沿岸平靜
page 5	澳婦女節二千餘人參加集會緊張熱烈前所未見
page 5	第 戰區整飭風紀嚴禁公務員嫖賭
page 5	北海Ｘ機濫炸
page 5	新會加強游擊
page 5	在粵北結業後集訓生的出路不戴四方帽不坐辦公廳要做下層工作
page 6	昨日中外婦女熱烈紀念婦女節何香凝演說婦女責任組織香港婦女救國會
page 6	宋慶齡
page 6	海上浮宮不列顛皇后輪昨晨由星來港三日後由大西洋返美載有歐美富豪百餘人
page 6	本年遭難漁船共達三十四艘去年漁民遭難者逾萬漁船被焚六百卄八艘
page 6	新圍村附近警匪格鬥深夜槍聲卜卜村民飽受驚恐
page 6	園藝展覽今天開幕會期兩日
page 6	防空展覽會昨開幕展覽物品分三部陳列模型圖表皆觸目驚心
page 7	征菲足球隊陣容總會內定十五人東方無人出席侯澄滔竟落選
page 7	海軍有苦難說雛鳳出冷門最後四分鍾陳德輝頭頂建功南南奪標希望轉趨濃厚
page 7	美游泳隊大勝古巴選手
page 7	美國游泳界一串新紀錄
page 7	草地網球賽第三日林珍兄弟苦戰獲勝
page 7	美菲匯價略回漲英匯市穩但靜美匯微鬆弛申匯仍稍緊華商尚多吸進
page 7	八九金市殊乏生氣買賣仍少價格微降
page 7	女子乒乓球王
