page 2	社評歐戰現階段與英美蘇
page 3	英議會激烈辯論中邱吉爾氏重申信念前途雖驚濤駭浪但必能達登彼岸勞合喬治警告防止日本投機
page 3	信任政府案眾院以大多數通過美報讚許邱吉爾演詞
page 3	日本國富消耗測定一
page 3	蘇令西部軍官一律學習日語
page 3	日閣與軍部開聯絡會議
page 3	陳介大使由葡返德
page 3	中央日報主張中英美同盟三方具共同目的有互相合作需要
page 3	滬糧食情形英正予注視
page 3	美運輸艦開抵菲島美計劃在夏威夷等地儲糧
page 3	滬租界各案我與英大使交涉中
page 3	日人操縱下泰越今日簽約日政府擬設立一機關在越南進行經濟榨取
page 3	粵各界將舉行盛大聯誼會祝本報獲榮獎
page 3	日方堆棧被焚全毀
page 3	傳美將助我軍用機四百架毛邦初談空戰可展至日本
page 3	鄂中日軍策動反英反美運動
page 3	　俊六曾赴華北華中
page 3	詹森大使定期離渝設宴留別我國政要美高級軍官過渝赴近東
page 3	篦麻增產贛東各縣積極推行
page 3	利物浦領館被德機炸燬華僑居住區亦中彈
page 3	津浦路覆軍業已證實日倀不敢予以披露
page 3	滬租界兩法院不理日汪恫嚇
page 4	美國應以一切力量維護英國海權諾克斯發表重要演說
page 4	威爾基演說主有效援英祇求物品平安抵英不惜採取任何步驟
page 4	彈藥缺乏外援不至伊方有意與英和解伊國防部長飛抵土京
page 4	英國統制樹膠輸入
page 4	美統制出口又進一步經美外運之外國貨亦須領取出口護照
page 4	蘇德與兩海峽及近東一
page 4	英美成立糧食委會處理購買運輸事宜
page 4	美將停造汽車增加飛機出產
page 4	土國繼續堅持獨立安全國策
page 4	美報傳出德圖假道敘利亞現正向法方施用壓力德法訂立開放淪陷區協定
page 4	德機三百夜襲英國港務工程受害最烈
page 4	比弗布洛克英王曾予延見
page 4	美在拉丁美洲擴展航空線與國防有關詳情未披露
page 4	羅斯福上慰已安抵開羅
page 4	五九紀念
page 4	羅馬的警告
page 5	粵省營工業大規模擴大生產整理舊廠籌設新廠雙管齊下省振會增設紙廠十間
page 5	泰米統制出口之內幕曼谷二日特約航訊
page 5	五四青年節桂林熱烈紀念
page 5	劉侯武離遂溪轉赴各地視察澈底懲辦貪污嚴密偵查走私
page 5	遂溪廣州灣紀念會情形
page 5	出巡合浦經過
page 5	廣州灣物價騰貴新總公使行將就職行政組織或有變更
page 5	粵建設工作積極開展中
page 5	湘省紡紗實驗工場開班訓練技術學生助軍需局辦手工廠
page 5	桂林米價已趨回跌
page 5	四邑徵編民伕加緊推行驛運
page 5	中山日軍包庇走私我方嚴密查緝
page 6	立法局昨會議決定下月開始穀米專營政府官員提出多項報告
page 6	港府統制美貨進口港需用之美貨不在此限此舉顯為防止轉運資敵
page 6	大嶼山築公路建港均言之過早
page 6	持有我國護照來港不須簽證即日實行我外部港簽證處昨通告
page 6	澳督今午抵港在皇后碼頭作官式登陸港督羅富國將親臨歡迎
page 6	滬香檳彩港名葡僑獲得共十九萬餘元
page 6	記者換物會今午開幕羅旭龢主持剪綵禮
page 6	緬督郝麟昨日離港
page 6	國貨陳列館開始徵集陳列品館址擇在大道中
page 6	醫務當局昨發通告勸居民應多食紅米營養較豐富並有益胃口勗米商辦紅米來港發售
page 7	學界籌振運動會今晨九時揭幕參加學校單位凡廿九間預料加山情勢熱烈場面緊張
page 7	學界排球比賽英皇勇克西南三比零淨勝最後一局頗緊張今日比賽中止舉行
page 7	流浪杯小球分五隊對抗
page 7	學運開幕感言
page 7	馬來亞足球埠際賽南北戰程編定檳城對吉打隊先燃烽火森美蘭對陸軍繼之門殺
page 7	恩德杯排球大戰培英鬥東方下午四時半在卜公球場雙方勢均力敵必有劇爭
page 7	美圓價格繼續下跌申匯市況再略好轉
page 7	股票市況績趨下游各股價格多告不支
