page 2	社評天津英日事件興反侵略
page 3	英閣密切注視津局商財外三部擬就復辦法日態度頑強聲言採新手段
page 3	美報的呼籲促政府負起責任
page 3	第四日封鎖糧食問題愈嚴重
page 3	我空軍顯威在贛粵各地炸Ｘ
page 3	內黃激戰Ｘ我隔河對峙
page 3	贛北兒童全受着抗Ｘ教育準備為國家出力秀金寄自修水
page 3	侵華第二年Ｘ經濟窘狀一切生產海況愈下失業人數達二百萬
page 3	血肉築成的滇緬路下本報記者滇緬視察記二
page 3	巾幗之賢上饒婦人愛國願送長子入伍
page 3	偽軍一部在鄂反正殺Ｘ
page 3	方策視察豫東各縣
page 3	Ｘ機亂飛窺伺閩粵等省
page 3	粵積極整理營工業將召各廠長赴韶報告
page 3	梁逆鴻志傳已毒斃命
page 3	瞿紹伊受傷經過情形良好
page 3	中條山Ｘ軍疲鈍我向安運推進中
page 4	英法對保衛遠東將進一步合作定本週在新加坡開會
page 4	莫斯科談話今日將繼續舉行蘇方仍堅持原議
page 4	美大選問題羅斯福外交政策受擁護雙方競爭點將偏重內政
page 4	戈培爾已抵但澤
page 4	葡總統訪問南非開歷史上先例
page 4	英內閣外委會定今日開會檢討歐來五般局勢
page 4	羅外長聘希目的謀東南歐和平並求鞏固巴爾幹同盟希望保國無條件加入
page 4	英王遊紐芬蘭受當地人民率真歡迎金氏盛讚加遊之成功
page 4	劉文輝與西康續西康踏入記二徐盈
page 4	巴勒士丁問題國聯委任紡委會正研究英白皮書
page 4	墨西哥政府決購飛機原屬西共和政府已向奈格林接洽
page 4	伯林姆新中立法已提交從院將擇定日期討論可望予決通過
page 4	一件意外的事在禁運軍火赴日聲中美商竟出賣了練鋼廠
page 4	埃外長抵土興土政府舉行政治談話事畢將續訪巴爾幹各國
page 4	滬水果業拒絕統制Ｘ偽壟繼米糧民食感到恐慌
page 4	津Ｘ導演強奪蘇聯領館蘇方提出抗議
page 4	滬綸昌工潮偽方派人幹旋已遭嚴厲拒絕
page 4	慰勞代表明日由渝出發為擴大慰勞影響電各地共襄盛舉
page 4	毒案餘波寧Ｘ搜索居民
page 4	短評小心上當
page 4	爭相入伍
page 5	粵禁煙會成立依限禁絕全省煙毒調查煙民實行領照售吸設強民工廠教謀生方法
page 5	軍校畢業同學調查處辦同學遺族工廠在成都沅陵桂林貴陽西安昆明集中學員入廠准攜帶十歲以下子女一名
page 5	梅程兩江河水暴漲梅縣市區多成澤國
page 5	美人計江Ｘ婦女喬裝控軍情
page 5	水利專家蒲得利屍體撈獲已棺殮國府褒揚經部厚卹遺柩運返荷蘭原籍
page 5	戰雲籠罩的中山沿海視察記續完
page 5	茂名衛生運動
page 5	陽江槍決漢奸
page 6	本港立案中學畢業考試辦法寄至督學張資模已分寄各校三十七校參加日期規定
page 6	八十餘工團精神總動員大會定期本月二十五日舉行扒定集賢等工會為籌委
page 6	學生賑濟會女學團昨成立國民宣誓典禮同時舉行王考英致詞勉刻苦耐勞
page 6	新界農業會計劃發展新界農業
page 6	中華主邇昨午行開學禮
page 6	文藝晚會形色
page 6	生活書店成立讀者顧問部發行生活推荐書
page 6	九龍城蒲崗村民五十餘戶被迫拆遷今日謁華代表求援自香港政府規訂之防止
page 6	港澳兩埠互視為霍亂症埠澳門今日實行檢疫規例來往旅客均須備證明書
page 6	業聯文協昨赴清水灣海浴
page 7	本年度足球季盛況將勝過往年東沙利華塞斯將加入比賽英國哥靈登亦有來港可能
page 7	前捷克網球家黑希特將為美國效力
page 7	學界排球各級冠軍產生
page 7	二十世紀一英裏賽伍特遜遭慘敗美國選手包辦前四名芬克斯又厭倒克銀漢
page 7	乙組籃球今晚比賽二場
page 7	鏗泉杯乒乓明夜開始半決賽
page 7	昨日棒球聯賽西洋擊退南華友啤隊創造得分新紀錄廿三比零香港一敗塗地
page 7	西貢網球賽伯特勒冠軍三比二勝克拉姆
page 7	本港膠鞋業蒸蒸日上正月至四月出口量激增運銷英國西印度為最多
page 7	我大量採辦運輸工具促進國產外輸本年由港出口亦達七百餘萬元
