page 2	再談學術文化事業之救濟
page 3	襄河兩岸加緊掃蕩南漳附近漸次肅清鄂東我軍向武漢外圍挺進一部進抵孝感切斷平漢路
page 3	皖南迫灣沚撲荻港晉南克要點攻陽城
page 3	中條山俠義之士張慶山忠勇不屈權致和慷慨輸穀
page 3	中華農學會年會在渝開幕孔副院長以三點勉勵各會員
page 3	振委會補助滇慈善團體由渝匯款一萬元
page 3	桂參議會三次大會開幕
page 3	王逆克敏辭職遺缺由王逆揖唐繼任
page 3	偽組織內鬨醜態百出互相殘殺演全武行
page 3	前兩屆統一招生成績最佳中學教部正式公布予以獎勵
page 3	近衛談新政黨不受軍人干涉談何容易剖心懇談不過說說罷了 
page 3	僑慰二分團抵閩備受歡迎
page 3	蓉市散發優待穀折金
page 3	于斌抵長沙日內赴前線慰勞
page 3	溫逆宗堯之姪在滬被狙擊彈貫胸部傷勢極嚴重傳擬赴粵籌設偽軍校
page 3	比使紀佑穆由滬赴平避暑
page 3	日新軍艦津輕號下水及川自嗚得意
page 3	滬綁架案陳上達被架往滬西
page 3	日偽高唱發還工廠全係欺人之談
page 3	農林部下月一日成立
page 3	政務巡視團定今日赴贛南陝甘組已出發
page 3	日機又襲渝被擊落一架上月份平民死傷七百餘
page 3	最近上海金融劇變之原因及影響上
page 3	粵中我軍繼續南追重克花縣進迫增城
page 4	松末河下游鏖戰聯軍猛烈抵抗魏剛宣稱形勢甚好
page 4	法方陣線增強挫弱德軍進展
page 4	德軍猛烈進攻佔領若干據點
page 4	法機出動轟炸掩護陸軍作戰 
page 4	大批德機空襲英格蘭六個城市發出警報
page 4	美義兩首揆不斷交換意見意在阻止歐戰再擴大義宣佈在領海佈水雷
page 4	傳蘇聯進行大規模動員莫斯科車站軍運忙碌均向高加索方面開出
page 4	愛聯合黨副領袖聲言抵抗侵略愛國防部長促民眾準備保衛國家而戰
page 4	近衛將出馬
page 4	德軍新攻勢
page 4	本港物價問題
page 4	立陶宛總理定期赴蘇徇莫洛克托夫之請 
page 4	法國更易突尼斯總督由貝羅敦繼任賴邦改調使蘇
page 4	挪北聯軍續有進展沿鐵礦區鐵路推進
page 4	黃金滾滾流入美國造成空前現象
page 4	克里浦斯任駐蘇聯大使已獲英王批准
page 4	英國努力擴充空軍力量大量推進飛機製造海外廣設航空學校
page 4	美門羅主義包括全美洲參眾兩院外委會通過不承認任何領土更易 
page 4	法內閣改組萊諾負責益重兼攬外長及國防部長達拉第不大新閣之內
page 5	粵海日艦　聚南路形勢呈緊張遂溪梅菉各地又遭日機轟炸
page 5	饑餓的北平置身鐵蹄下無處不可憐滿街失業群遍地流毒品
page 5	滬市民沉湎聲色消耗品輸入驚人
page 5	古井附近各地日偽已肅清江會日軍續有增加
page 5	粵中學校畢業考試廿一日起舉行 
page 5	教部積極推進音樂戲劇教育擬定辦法七項通令施行
page 5	平準基金委會實力益雄厚最近購進外匯二百萬鎊法幣上漲信用愈見堅強
page 5	巴達維亞華僑捐獻婚喪費迄今已有三萬餘元
page 5	西康日記一○二
page 6	本港政府決定增加捐助英國戰費代輔政司那魯麟昨公布已電呈殖民部等候批示 
page 6	四大僑團籌款助英
page 6	傷兵之友捐款總計約四十萬元港九學界共計三萬餘元紅磡推進會國幣萬餘元
page 6	海上禁區船舶行駛須領通行證
page 6	海軍義勇隊徵用練習艦大興輪被徵入塢配置武裝防空救護員學習消防技術
page 6	當局注意非法墮胎廣告字句令人可疑將派員調查女醫師
page 6	大興戎裝入伍
page 6	英國人的生活和思想三英國的青年下
page 6	勸誡居民慎言
page 6	六絃琴演奏會明晚在青年支會舉行
page 6	學生振濟會重新分配職員以前積欠達一千七百元決定舉行募捐以資清償
page 6	嶺大參加學業競試初選生人名一覽該校已呈報教育部備案並送複試區將參加複試 
page 6	歐戰發生後本港米珠薪桂一般物價平均增漲一倍中下之家益感生活壓迫
page 6	救護隊學消防
page 6	美國女伶寶娜由菲偷渡來港旅港美僑籌款資遣回國美僑會主席談美國女郎的幻想
page 6	關於編印廣東民族英雄集的商榷馮康侯等致廣東叢書編印委員會的公開信
page 7	協會討論入會問題發生劇烈爭辯算賬不清還須要一番審查十二日再開會議解決
page 7	溫爾網比之布頓球賽謎 
page 7	滬小型球友誼賽中華逢勁敵四比四戰和俄羅斯先盛後衰險遭不測
page 7	夏令籃球賽開始報名
page 7	球藝略評
page 7	申匯市況趨勢仍好英匯沉寂美匯略緊
page 7	八九金市先靜後穩 
page 7	滬外匯市益形穩定
page 7	國幣價格昨略回漲人心仍多趨好
page 7	股票市況靜寂人心仍淡買賣寥落
page 7	傑志小球隊定九日征澳門
page 7	華人游泳會積極訓練人材開訓練班有志游泳者請報名向美定購游泳畫片公開放映 
page 7	易邊以後
page 7	戰局經過
page 7	十六分鐘
