page 2	社評整理田賦與新縣制
page 3	英蘇成立軍事協定
page 3	決採取聯合行動對德不單獨媾和美國已詳知協定締結經過蘇德前線又展開猛烈戰事
page 3	義大利的悲哀趙顯譯自六月九日時報週刊
page 3	敘利亞休戰協定雙方代表已簽字
page 3	中東英機炸北非沿岸的黎波里港義輪受重創義機曾想飛抵抗被擊落
page 3	美再度徵用丹輪十六艘
page 3	華維爾將軍已安抵印度印當局將發表重要宣言
page 3	多此一舉維希增防達卡爾以防美國之占領
page 3	英機繼續掃蕩法北淪陷區投彈噸數創最高紀錄航運交通線受損最鉅
page 3	英海長演說整個戰局愈形樂觀德國潛艇損失奇重
page 3	赤道國接受調停建議赤秘糾紛可望順利解決
page 3	馬夏爾主張維持強大陸軍充實西半球以外之實力惟未考慮組歐洲遠征隊
page 3	德領將離美惟如不乘輪回歐英國不予安全保證
page 4	贛北我軍出擊南昌附近發生激戰晉南蘇浙我軍亦活躍
page 4	日圖藉口壓逼越南英方正密切注意荷印考慮組織遠征軍
page 4	滇省戰債勸募各方熱烈競賽旬日間已達三千餘萬元豫料三個月內超出一倍
page 4	敵機襲渝董顯光私邸被毀
page 4	川湘推行節約獻糧
page 4	皖南促進生產發放農貸總數達千三百萬元
page 4	義大利的悲哀以上接第三版
page 4	胡老虎一門忠義蔣委長傳令嘉獎
page 4	甘省教育漸上正軌
page 4	美總統答謝林主席賀電
page 4	漢法租界血案越警與日人械鬥各有死傷日方稱將有嚴重事態發生
page 4	德義教士不願撤退
page 4	國粹與國學一
page 4	重慶大雨熱浪消減
page 4	敵艦中水雷去年被毀八十餘艘日兵死亡二三千人
page 4	越南扣留蘇僑
page 4	粵府澄清吏治嚴懲貪官污吏稅務局長多人免職查辦
page 4	英蘇協定成立
page 4	川崎信口開河
page 4	一邱之貉有何不同川崎信口開河
page 4	英經濟作戰部在泰設辦事處
page 4	駐日蘇使訪晤松岡建川訪蘇外次
page 5	江門敵軍蠢動犯篁莊被擊退
page 5	各級官吏應嚴守職責不得侵害人民生命財產自由並准人民依法告訴主管機關
page 5	國產菸酒類稅暫行條例國府制定公布
page 5	柳江與其水力二
page 5	粵省新穀行將登場澈底調查各縣情形準備大舉收購以盈濟虛
page 5	粵省募債運動風起雲湧各縣支隊成立定期完成工作新聞界發動各行商舉行義賣
page 5	粵促進社會事業將在民廳內增設社會科規定鄉鎮公所充實設備
page 5	粵省人口最近統計
page 5	廣州灣海面運輸貨物重申規定檢查辦法
page 6	港界外各據點敵軍大部已抽調他去留駐部隊僅剩三百餘人鯊魚涌敵軍未完全撤退
page 6	菓菜行同意政府規定菜價菜欄代為發售日內即答覆司徒永覺菓菜工商會昨晚會議
page 6	昔日廣州百萬富翁昨在青山投海自殺妻子財產在廣州被炸燬在港又遇騙侍妾亦去幃
page 6	一碗飯運動八月一日開始飯券每張二元購者踴躍負責人分別訪問各酒家
page 6	今日世界語誕生五十四週年港學會昨隆重紀念
page 6	黃炎培下月再來港積極推動募債華商會勸募隊今出發新界商會亦熱烈進行
page 6	華商工廠工人要求加薪談判結果頗為圓滿
page 6	學生振濟會組織文化工作委員會決定工作計劃十六項譚惠英等九人任常委
page 6	僑校教師暑期討論會報名時間今日截止二十二日起舉行討論會每日下午二時開始討論
page 7	中西游泳慈善賽華會代表選定水隊員待甄別後即可產生推出職員五人何少庵任領隊
page 7	南華足球在檳城痛擊軍聯隊十一比零戰成一面倒惠堂獨取七關博好評
page 7	星東三戰全澳五比二奏凱歌
